_id,ValueID,value,timeStamp,progName,toolNo
5df737678e15b328ac1d3d90,12430012063.Channel1.Feed_Axis,37335.9919915365,2019-12-16 07:50:00.516,REIBEN.MPF,RA_12H7
5df737678e15b328ac1d3d97,12430012063.Channel1.Program_Feed,40000.0,2019-12-16 07:50:00.539,REIBEN.MPF,RA_12H7
5df737678e15b328ac1d3d98,12430012063.Channel1.Spindle_Speed,0.0,2019-12-16 07:50:00.540,REIBEN.MPF,RA_12H7
5df737678e15b328ac1d3d9f,12430012063.Channel1.Feed_Axis,40000.0,2019-12-16 07:50:00.545,REIBEN.MPF,RA_12H7
5df737678e15b328ac1d3da1,12430012063.Channel1.Program_Feed,28100.8373714755,2019-12-16 07:50:00.613,REIBEN.MPF,RA_12H7
5df737678e15b328ac1d3da7,12430012063.Channel1.Feed_Axis,5159.20656676881,2019-12-16 07:50:00.687,REIBEN.MPF,RA_12H7
5df737678e15b328ac1d3daf,12430012063.Channel1.Program_Feed,3493.97309260362,2019-12-16 07:50:00.811,REIBEN.MPF,RA_12H7
5df737678e15b328ac1d3db0,12430012063.Channel1.Feed_Axis,25119.2404407438,2019-12-16 07:50:00.885,REIBEN.MPF,RA_12H7
5df737678e15b328ac1d3dbd,12430012063.Channel1.Program_Feed,40105.2926148258,2019-12-16 07:50:01.016,REIBEN.MPF,RA_12H7
5df737678e15b328ac1d3dbe,12430012063.Channel1.Feed_Axis,40105.2926148258,2019-12-16 07:50:01.080,REIBEN.MPF,RA_12H7
5df737688e15b328ac1d3dd2,12430012063.Channel1.Feed_Axis,39762.2452580631,2019-12-16 07:50:01.491,REIBEN.MPF,RA_12H7
5df737688e15b328ac1d3ddd,12430012063.Channel1.Program_Feed,8673.26784299415,2019-12-16 07:50:01.612,REIBEN.MPF,RA_12H7
5df737688e15b328ac1d3dde,12430012063.Channel1.Feed_Axis,0.0,2019-12-16 07:50:01.686,REIBEN.MPF,RA_12H7
5df737688e15b328ac1d3dec,12430012063.Channel1.Program_Feed,0.0,2019-12-16 07:50:01.809,REIBEN.MPF,RA_12H7
5df7376d8e15b328ac1d3e45,12430012063.Channel1.Feed_Axis,4276.61819087709,2019-12-16 07:50:06.587,REIBEN.MPF,RA_12H7
5df7376d8e15b328ac1d3e47,12430012063.Channel1.Program_Feed,13097.1432095611,2019-12-16 07:50:06.611,REIBEN.MPF,RA_12H7
5df7376d8e15b328ac1d3e48,12430012063.Channel1.Spindle_Speed,317.535400390625,2019-12-16 07:50:06.622,REIBEN.MPF,RA_12H7
5df7376d8e15b328ac1d3e56,12430012063.Channel1.Feed_Axis,41248.2464397867,2019-12-16 07:50:06.793,REIBEN.MPF,RA_12H7
5df7376d8e15b328ac1d3e57,12430012063.Channel1.Program_Feed,41248.2464397867,2019-12-16 07:50:06.807,REIBEN.MPF,RA_12H7
