,Unnamed: 0,12430012063.A1_Axis.Actual_Power,12430012063.Energy_Savings.Active_Power_Spindle1,12430012063.Energy_Savings.Active_Power_Z1,12430012063.Main_Spindle.Actual_Position_MCS,12430012063.Main_Spindle.Actual_Power,12430012063.Main_Spindle.Actual_Speed_Rate,12430012063.Main_Spindle.MPC_Peak,12430012063.Main_Spindle.MPC_Veff_Total,12430012063.Main_Spindle.Temperature_Spindle,12430012063.Maintenance_Package.Tool_Usage_Main_lubriTOOL,12430012063.Tool_Control_Center.Axial_Force_Compression,12430012063.Tool_Control_Center.Axial_Force_Tension,12430012063.Tool_Control_Center.Bending_Moment,12430012063.Tool_Control_Center.Symmetry,12430012063.X1_Axis.Actual_Feed_Rate,12430012063.X1_Axis.Actual_Position_MCS,12430012063.X1_Axis.Actual_Power,12430012063.Y1_Axis.Actual_Power,12430012063.Y1_Axis.Temperature_Y_Slide,12430012063.Z1_Axis.Actual_Feed_Rate,12430012063.Z1_Axis.Actual_Position_MCS,12430012063.Z1_Axis.Actual_Power,timeStamp,12430012063.Energy_Savings.Active_Power_X1,12430012063.C1_Axis.Actual_Power,12430012063.Energy_Savings.Active_Power_Y1,12430012063.Y1_Axis.Actual_Feed_Rate,12430012063.Y1_Axis.Actual_Position_MCS,Messschraube,Messtaster,Grenzlehrdorn,Ebene,Bohrung
0,0,6.5,27.392571428571426,553.6959999999998,181.42727272727268,0.7619047619047619,317.5,0.5,0.5,26.605,74.71,0.042857142857142864,0.22000000000000006,4.166666666666667,0.1541176470588235,6099.0,352.47,37.0,0.3333333333333333,19.894000000000002,3021.5,-318.11800000000005,15.416666666666664,2019-12-16 07:50:08.017,,,,,,i.O.,n.i.O.,i.O.,22,1
1,1,6.5,23.9685,399.2518,167.6797222222223,0.875,317.1111111111111,2.0,1.0,26.602,,,0.5777777777777777,4.5,0.1973684210526316,4135.5,370.525,2.333333333333333,0.8,19.89,-13.230769230769232,-312.3302857142857,19.571428571428573,2019-12-16 07:50:14.610,79.175,,,,,i.O.,i.O.,i.O.,22,2
2,2,6.6,20.544392857142856,174.25185714285718,175.4782857142857,0.9166666666666666,317.1111111111111,1.8333333333333333,0.5,26.60666666666667,,,0.94,3.6666666666666665,0.191875,0.0,380.33,0.3333333333333333,0.8333333333333334,19.89,242.7142857142857,-314.98470588235296,19.666666666666668,2019-12-16 07:50:21.812,-106.92,,,,,i.O.,i.O.,i.O.,22,3
3,3,6.5,19.79329032258065,192.82084615384625,181.56555555555562,0.7727272727272727,317.5,1.8333333333333333,0.8333333333333334,26.6,,,1.2900000000000005,3.5,0.15812500000000002,1209.0,395.51666666666665,12.5,0.75,,-105.08333333333331,-312.3422857142857,14.214285714285715,2019-12-16 07:50:28.823,36.5425,3.5,,,,i.O.,i.O.,i.O.,22,4
4,4,6.4,21.158379310344827,357.0076666666667,179.30999999999992,0.6428571428571429,317.3636363636364,2.25,1.0,,,,1.4636363636363634,0.0,0.15833333333333333,4477.0,414.07,8.0,1.0,,-119.84615384615385,-312.35171428571425,18.63636363636364,2019-12-16 07:50:36.009,-116.39399999999999,,,,,i.O.,i.O.,i.O.,22,5
5,5,6.666666666666668,23.435777777777773,257.38128571428575,183.1094285714286,0.7368421052631579,317.14285714285717,2.0,0.5,,,0.05714285714285715,0.3666666666666665,,0.2352941176470588,0.0,425.33,0.4,1.0,,312.72727272727275,-314.9873529411765,19.4,2019-12-16 07:50:43.245,0.0,,,,,i.O.,i.O.,i.O.,22,6
6,6,6.5,25.33807142857143,343.34454545454537,183.19277777777768,0.8,317.25,2.25,0.75,,74.7,0.05,0.05000000000000001,,0.2377777777777777,1319.0,440.16,7.25,0.7142857142857143,,-59.85714285714285,-315.0205882352942,16.285714285714285,2019-12-16 07:50:50.212,-143.01133333333334,,,,,i.O.,i.O.,i.O.,22,7
7,7,6.333333333333332,28.123066666666666,-102.689,170.9363888888889,0.9333333333333332,317.3333333333333,2.75,0.5,26.575,,0.06363636363636363,0.05,,0.18647058823529408,4252.0,457.895,12.0,1.0,,-183.375,-311.82323529411764,16.46153846153846,2019-12-16 07:50:57.417,375.5735,,,,,i.O.,i.O.,i.O.,22,8
8,8,7.0,26.07764,120.51300000000002,170.16600000000003,0.7894736842105263,317.5,1.0,1.0,26.57,,0.05,0.05,,0.23,0.0,470.33,0.4,1.0,,224.58333333333331,-315.0026470588235,19.33333333333333,2019-12-16 07:51:04.620,0.0,,,,,i.O.,i.O.,i.O.,22,9
9,9,6.8,23.43585185185185,74.31638461538459,174.8189189189189,0.8333333333333334,317.1666666666667,2.333333333333333,0.8333333333333334,,,0.06666666666666668,0.05,,0.2029411764705882,-12006.0,381.66666666666674,17.571428571428573,2.375,19.925,31.2,-315.0532352941177,16.625,2019-12-16 07:51:11.703,1245.5963333333332,,85.286,1501.0,-401.5966666666666,i.O.,n.i.O.,i.O.,22,10
10,10,6.4,29.446964285714284,137.08350000000002,184.17388888888888,0.9444444444444444,317.5555555555556,2.333333333333333,1.0,26.542857142857148,,0.09333333333333337,0.05,0.6,0.1647368421052632,2037.666666666667,366.4,17.0,0.8,,-259.25,-311.819705882353,13.466666666666667,2019-12-16 07:51:19.021,415.4995,,,,,i.O.,i.O.,i.O.,22,11
11,11,6.5,20.4531,253.02941666666663,181.92,0.7692307692307693,317.14285714285717,2.0,1.0,,,0.045454545454545456,,0.5,0.19555555555555554,4135.5,385.525,1.6,0.8,19.925,5.0588235294117645,-312.334,19.5,2019-12-16 07:51:26.214,-127.22133333333332,,,,,i.O.,i.O.,i.O.,22,12
12,12,6.666666666666668,19.79335483870968,-112.95381249999996,185.14885714285717,0.8421052631578947,317.25,2.5,0.0,,74.69,0.10000000000000002,0.05000000000000001,0.5,0.10133333333333333,0.0,395.33,0.3333333333333333,0.75,19.925,265.6,-314.98558823529413,19.75,2019-12-16 07:51:33.418,0.0,,,,,i.O.,i.O.,i.O.,22,13
13,13,,30.131821428571428,211.47153846153847,175.80388888888885,0.8333333333333334,317.07692307692315,1.8333333333333333,0.8,26.5,,0.0909090909090909,0.05,0.5,0.17000000000000004,1209.0,410.51666666666665,16.0,0.5,19.928,-105.08333333333331,-312.33942857142847,14.066666666666665,2019-12-16 07:51:40.429,368.13,,,,,i.O.,i.O.,i.O.,22,14
