Unnamed: 0,12430012063.A1_Axis.Actual_Power,12430012063.C1_Axis.Actual_Power,12430012063.Energy_Savings.Active_Power_Spindle1,12430012063.Energy_Savings.Active_Power_Z1,12430012063.Main_Spindle.Actual_Position_MCS,12430012063.Main_Spindle.Actual_Power,12430012063.Main_Spindle.Actual_Speed_Rate,12430012063.Main_Spindle.MPC_Peak,12430012063.Main_Spindle.MPC_Veff_Total,12430012063.Main_Spindle.Temperature_Spindle,12430012063.Tool_Control_Center.Axial_Force_Tension,12430012063.Tool_Control_Center.Bending_Moment,12430012063.X1_Axis.Actual_Power,12430012063.Y1_Axis.Actual_Power,12430012063.Z1_Axis.Actual_Feed_Rate,12430012063.Z1_Axis.Actual_Position_MCS,12430012063.Z1_Axis.Actual_Power,timeStamp,12430012063.Energy_Savings.Active_Power_X1,12430012063.Maintenance_Package.Tool_Usage_Main_lubriTOOL,12430012063.X1_Axis.Actual_Feed_Rate,12430012063.X1_Axis.Actual_Position_MCS,12430012063.Tool_Control_Center.Axial_Force_Compression,12430012063.Y1_Axis.Temperature_Y_Slide,12430012063.Energy_Savings.Active_Power_Y1,12430012063.Y1_Axis.Actual_Feed_Rate,12430012063.Y1_Axis.Actual_Position_MCS,Messschraube,Messtaster,Grenzlehrdorn,Ebene,Bohrung
15,7.2,,6.3916875000000015,285.35745454545446,180.69028571428575,0.5,317.2105263157895,1.5,0.0,,,0.5,9.666666666666666,0.75,140.46666666666667,-318.8898550724638,15.857142857142858,2019-11-27 11:03:42.921,360.686,,533.0,441.605,0.15769230769230774,,,,,i.O.,n.i.O.,i.O.,10,16
16,7.5,,6.902940000000001,-129.93391666666665,170.68528571428567,0.5128205128205128,317.27777777777777,2.0,1.0,27.386000000000006,,0.5217391304347826,4.2,0.8,86.1,-318.9168115942028,13.294117647058822,2019-11-27 11:03:56.919,21.6545,73.64,3980.5,454.64,0.15652173913043485,,,,,i.O.,n.i.O.,i.O.,10,17
17,7.5,2.5,4.3045714285714265,91.54450000000004,173.2504225352112,0.4878048780487805,317.26666666666665,2.2,1.0,27.39,,0.5,2.2,0.8,-129.68421052631578,-318.9085507246377,15.789473684210524,2019-11-27 11:04:10.918,1892.079,,2290.6666666666665,467.68,0.15769230769230774,,,,,i.O.,n.i.O.,i.O.,10,18
18,6.8,2.5,7.6699,546.4688181818182,181.15169014084512,0.5135135135135135,317.3333333333333,1.3333333333333333,1.0,,,0.5,20.285714285714285,1.5,-18.25,-318.87710144927536,17.25,2019-11-27 11:04:25.128,904.9856666666667,,-17816.5,378.3250000000001,0.15217391304347833,,44.52700000000001,1496.0,-384.3566666666666,i.O.,n.i.O.,i.O.,10,19
19,7.0,,7.043877551020409,188.8035384615385,186.3678571428571,0.5,317.3157894736842,2.0,1.0,27.355,,0.5,22.0,0.6153846153846154,150.5,-318.9017391304347,15.666666666666664,2019-11-27 11:04:39.323,391.13800000000003,73.63,1763.5,366.24,0.16206896551724145,,,,,i.O.,n.i.O.,i.O.,10,20
20,7.5,,6.391627450980392,-119.65207692307692,169.85323943661973,0.5,317.1111111111111,2.4,1.0,27.352857142857147,,0.4736842105263158,0.5,0.6,-56.35,-317.508,14.0,2019-11-27 11:04:53.337,,,4146.333333333333,379.45333333333326,0.188,,,,,i.O.,n.i.O.,i.O.,10,21
21,7.5,,11.240413793103446,197.077,177.67314285714284,0.5,317.04761904761904,1.1666666666666667,0.6,27.322857142857146,,0.5172413793103449,2.071428571428572,0.7142857142857143,-122.53846153846152,-318.72970588235285,17.42105263157895,2019-11-27 11:05:07.528,-265.27,,0.0,396.68,0.16129032258064516,,,,,i.O.,i.O.,i.O.,10,22
22,7.0,,6.519419999999999,516.6275454545455,177.95714285714283,0.5,317.25,1.5,1.0,27.325,,0.5,6.0,0.6,59.055555555555564,-318.88536231884046,16.2,2019-11-27 11:05:21.530,216.547,73.62,140.5,411.67,0.15238095238095245,,,,,i.O.,n.i.O.,i.O.,10,23
23,7.5,,4.357954545454546,125.29945454545458,183.3824285714286,0.4878048780487805,317.5,2.5,0.5,,,0.5,4.428571428571429,0.7142857142857143,271.45454545454544,-318.9156521739131,13.954545454545455,2019-11-27 11:05:35.529,81.205,,3584.5,425.145,0.16818181818181824,,,,,i.O.,n.i.O.,i.O.,10,24
24,7.5,,4.135745098039217,-62.480124999999994,181.4277464788732,0.5111111111111111,317.23809523809524,2.5,1.0,,,0.5,3.6,1.0,23.210526315789476,-318.9110144927537,14.636363636363635,2019-11-27 11:05:49.537,-100.15299999999999,73.61,2884.333333333333,438.0466666666666,0.16428571428571434,,,,,i.O.,n.i.O.,i.O.,10,25
25,7.2857142857142865,,4.2185000000000015,318.15183333333334,174.6921428571429,0.5,317.3,2.5,1.0,27.287142857142857,,0.48,0.875,0.75,-68.0,-318.88391304347823,16.761904761904766,2019-11-27 11:06:03.753,-117.0705,,0.0,456.68,0.15555555555555564,25.745,,,,i.O.,n.i.O.,i.O.,10,26
26,7.363636363636362,,4.793729166666667,391.20083333333326,178.24271428571438,0.4871794871794872,317.53846153846155,1.75,0.5,27.290000000000006,,0.52,8.0,0.75,266.85714285714283,-318.86652173913035,14.44,2019-11-27 11:06:17.741,416.853,,939.0,471.51,0.1566666666666667,25.745,,,,i.O.,n.i.O.,i.O.,10,27
27,7.0,,6.036555555555554,52.48871428571425,185.63430555555541,0.5,317.25,2.0,1.0,,,0.4666666666666667,1.7777777777777777,2.75,28.83333333333333,-317.50157142857137,13.833333333333336,2019-11-27 11:06:31.754,67.21966666666667,73.6,-7239.5,380.14,0.17200000000000004,25.745,48.2945,1504.0,-370.3566666666666,i.O.,n.i.O.,i.O.,10,28
28,7.5,,10.807690909090908,-118.43258333333333,186.97314285714282,0.5,317.04761904761904,1.3333333333333333,1.0,,,0.5,8.0,0.5,-51.26315789473684,-318.70544117647063,16.5,2019-11-27 11:06:46.138,-198.27599999999998,,360.0,366.72,0.17222222222222228,25.74636363636364,,,,i.O.,n.i.O.,i.O.,10,29
29,7.0,,11.279254901960785,297.5651818181819,177.71299999999997,0.5365853658536586,317.0,2.333333333333333,0.6,27.253636363636364,,0.5,3.5,0.625,42.7,-318.8828985507247,18.6,2019-11-27 11:07:00.181,78.4985,,0.0,381.68,0.17142857142857146,25.745,,,,i.O.,n.i.O.,i.O.,10,30
30,7.5,,7.374923076923077,597.2404444444445,179.1752857142857,0.5,317.1111111111111,1.5,1.0,27.255,,0.5,10.5,0.8,241.61538461538458,-318.8750724637681,14.578947368421053,2019-11-27 11:07:14.154,293.692,73.59,939.0,396.51,0.16428571428571434,25.745,,,,i.O.,n.i.O.,i.O.,10,31
31,7.5,,3.906,84.23949999999995,183.56492957746482,0.5,317.5,2.5,1.0,,,0.5161290322580645,1.0,0.6428571428571429,-22.88888888888889,-317.47757142857137,14.047619047619047,2019-11-27 11:07:28.155,,,5361.0,411.12333333333333,0.1551724137931035,25.745,,,,i.O.,n.i.O.,i.O.,10,32
32,7.5,,4.7936875,-203.44916666666663,189.7152857142856,0.5,317.5,1.0,0.6666666666666666,,,0.5,4.166666666666667,0.5,-215.375,-318.7307352941176,19.0,2019-11-27 11:07:42.361,-260.533,73.58,705.5,426.79,0.15151515151515155,,,,,i.O.,n.i.O.,i.O.,10,33
33,7.2,,5.992187500000001,214.1735833333333,169.42171428571433,0.5,317.1333333333333,1.5,0.5,,,0.4615384615384616,6.0,0.75,185.26666666666668,-318.8857971014492,16.272727272727273,2019-11-27 11:07:56.366,248.3525,,0.0,441.68,0.16153846153846158,25.745,,,,i.O.,i.O.,i.O.,10,34
34,7.5,,4.971277777777779,444.4632307692309,172.45720588235298,0.5,317.23076923076917,1.1666666666666667,0.3333333333333333,,,0.5454545454545454,2.357142857142857,0.8,102.6153846153846,-318.8186764705883,14.095238095238097,2019-11-27 11:08:10.457,81.205,,2073.5,449.73,0.16363636363636366,,,,,i.O.,n.i.O.,i.O.,10,35
35,7.5,,7.9200869565217396,424.4925,171.11223880597012,0.5,317.5,1.5,0.5,27.225,,0.4705882352941176,1.3888888888888888,2.8,-481.08333333333326,-320.14061538461544,15.294117647058822,2019-11-27 11:08:24.443,2015.24,73.57,-9696.0,463.0333333333333,0.168421052631579,,191.123,1166.0,-362.77,i.O.,n.i.O.,i.O.,10,36
36,7.0,,8.715872727272728,-157.75474999999997,182.4081428571429,0.5,317.27272727272725,2.333333333333333,0.6666666666666666,27.223333333333336,,0.5,15.111111111111109,1.4,-12.357142857142858,-318.77970588235286,17.63157894736842,2019-11-27 11:08:38.847,-1256.649,,-3402.5,352.845,0.17,,-18.496,1670.5,-350.75,i.O.,n.i.O.,i.O.,10,37
37,7.0,,8.112423076923076,284.89116666666666,176.94985074626862,0.5,317.27272727272725,1.4,0.3333333333333333,,,0.5454545454545454,19.5,0.6,271.3076923076923,-318.65378787878785,14.809523809523812,2019-11-27 11:08:52.945,280.60866666666664,,3305.0,363.46,0.15000000000000002,,,,,i.O.,n.i.O.,i.O.,10,38
38,7.5,2.5,10.565714285714282,349.2363333333333,173.30571428571432,0.5121951219512195,317.1818181818182,1.5,0.8333333333333334,27.195,,0.5,2.6666666666666665,0.75,2654.2727272727275,-317.9323188405797,13.695652173913045,2019-11-27 11:09:07.104,0.0,73.56,0.0,381.68,0.17777777777777778,,,,,i.O.,n.i.O.,i.O.,10,39
39,7.5,,8.389020833333335,6.683166666666657,177.9459701492537,0.4871794871794872,317.1666666666667,1.6666666666666667,0.0,27.19333333333334,,0.5,8.0,0.8,-207.0,-318.56060606060606,18.0,2019-11-27 11:09:21.085,-244.9685,,721.5,396.565,0.15000000000000002,,,,,i.O.,n.i.O.,i.O.,10,40
40,7.2857142857142865,,4.985520000000001,6.443000000000002,179.2347058823529,0.5,317.2105263157895,1.3333333333333333,1.0,,,0.8333333333333334,4.0,0.6,144.94117647058823,-318.74514705882353,16.043478260869566,2019-11-27 11:09:35.081,153.613,73.55,4261.0,409.09,0.1705882352941177,,,,,i.O.,n.i.O.,i.O.,10,41
41,7.5,,10.256302325581396,354.63192857142855,188.9305970149254,0.5,317.09090909090907,2.5,1.0,27.195,,0.5,17.5,0.5555555555555556,78.11764705882355,-318.69090909090914,14.944444444444445,2019-11-27 11:09:49.082,165.794,,3049.5,420.245,0.17272727272727273,,,,,i.O.,i.O.,i.O.,10,42
42,7.5,,5.965533333333334,204.3818333333334,170.61367647058825,0.5111111111111111,317.35,1.5,0.0,,,0.4705882352941176,3.25,0.6923076923076923,69.0,-318.7267164179105,14.882352941176471,2019-11-27 11:10:03.053,-11.504000000000001,,14.5,441.68,0.14545454545454548,,,,,i.O.,n.i.O.,i.O.,10,43
43,7.5,,6.7467407407407425,-175.4871818181818,172.6407575757576,0.5,317.2105263157895,0.0,0.8333333333333334,,,0.5,4.75,0.8,-122.2,-318.32609375,18.176470588235293,2019-11-27 11:10:17.291,45.11399999999998,73.54,2096.0,456.115,0.15000000000000005,,,,,i.O.,i.O.,i.O.,10,44
44,7.2857142857142865,,13.353928571428574,216.50491666666667,175.75484848484845,0.5,317.1818181818182,1.6,1.0,,,0.5,3.571428571428572,0.8,149.30769230769232,-318.5727272727272,17.470588235294116,2019-11-27 11:10:31.236,302.48900000000003,,4477.0,467.915,0.15333333333333338,,,,,i.O.,i.O.,i.O.,10,45
45,7.0,,9.188000000000002,502.38509090909105,199.7761764705881,0.4848484848484849,317.2142857142857,2.333333333333333,0.3333333333333333,27.165,,0.5454545454545454,5.125,1.3333333333333333,128.8,-318.84196969696967,14.0,2019-11-27 11:10:45.225,-443.921,,-11998.0,402.2466666666666,0.1461538461538462,,16.440666666666665,1497.333333333333,-341.56,i.O.,i.O.,i.O.,10,46
46,7.5,,5.4785306122448985,108.04150000000004,174.44085714285717,0.5,317.17857142857144,1.4,0.75,27.165,,0.5,4.25,0.7272727272727273,-67.8888888888889,-318.90088235294115,13.833333333333336,2019-11-27 11:10:59.529,-22.3315,73.53,23.0,366.675,0.15000000000000002,,,,,i.O.,n.i.O.,i.O.,10,47
47,7.0,,10.354440000000002,-42.39946666666665,179.93617647058826,0.5,317.3333333333333,0.5,1.0,27.164,,0.5,7.0,0.6666666666666666,32.333333333333336,-318.64363636363635,18.444444444444443,2019-11-27 11:11:13.728,-180.6815,,2775.0,380.79,0.16428571428571434,,,,,i.O.,i.O.,i.O.,10,48
48,7.2857142857142865,,6.252717391304348,461.29675,181.12897058823518,0.5128205128205128,317.3,2.0,,27.165000000000006,,0.4545454545454545,1.75,0.7142857142857143,880.3076923076923,-318.8177611940298,14.38095238095238,2019-11-27 11:11:27.897,288.278,73.52,4477.0,392.915,0.15000000000000002,,,,,i.O.,i.O.,i.O.,10,49
49,7.5,,5.162480769230769,242.03007692307696,189.35529411764702,0.5,317.35714285714283,1.5,1.0,,,0.6,19.0,0.5714285714285714,180.0714285714286,-318.8325373134328,14.444444444444445,2019-11-27 11:11:41.777,226.6975,,3049.5,405.245,0.1466666666666667,,,,,i.O.,i.O.,i.O.,10,50
50,7.5,,5.162461538461538,-234.85669230769238,170.92739130434774,0.4871794871794872,317.1875,0.0,1.0,,,0.4705882352941176,1.0,0.6923076923076923,-65.71428571428571,-317.29161764705884,15.2,2019-11-27 11:11:55.702,-534.6,,129.5,419.185,0.15000000000000005,25.775,,,,i.O.,n.i.O.,i.O.,10,51
51,7.5,,7.086369565217392,388.714,181.64328358208957,0.5,317.3333333333333,2.0,0.5,,,0.5294117647058824,6.25,0.6666666666666666,-124.83333333333331,-318.49121212121213,16.296296296296298,2019-11-27 11:12:10.031,-267.3,73.51,1460.0,441.35,0.15000000000000005,25.775,,,,i.O.,i.O.,i.O.,10,52
52,7.2,,6.275436363636365,427.247,184.37144927536235,0.5,317.1818181818182,2.0,1.0,,0.1,0.5,3.4,0.7142857142857143,6.0,-318.5750000000001,17.0,2019-11-27 11:12:24.058,199.62900000000002,,4426.5,453.51,0.13333333333333333,25.775,,,,i.O.,n.i.O.,i.O.,10,53
53,7.5,,6.902919999999999,158.02327272727268,177.94279411764708,0.5,317.0,2.75,0.5,27.130000000000006,0.05,0.4705882352941176,3.8461538461538463,1.5,169.625,-318.7598529411765,15.923076923076925,2019-11-27 11:12:37.956,640.618,73.5,2280.333333333333,467.82333333333327,0.08181818181818183,25.775,117.14,1166.0,-325.46,i.O.,n.i.O.,i.O.,10,54
54,7.0,,9.58744230769231,-108.44114285714286,174.9491304347827,0.5,317.5,1.5,1.0,27.129999999999995,0.1,0.5263157894736842,1.4545454545454546,1.2,-10.7,-317.0586567164179,13.8,2019-11-27 11:12:52.242,-198.9525,,-17597.5,375.96,0.05,25.775,0.0,1670.5,-320.54,i.O.,n.i.O.,i.O.,10,55
55,7.5,,10.092017543859649,424.20233333333334,179.6922857142857,0.5128205128205128,317.3478260869565,1.6666666666666667,1.0,27.127777777777773,0.03333333333333333,0.4615384615384616,8.0,1.0,-149.23076923076925,-318.8407246376812,17.4375,2019-11-27 11:13:06.284,-198.9525,,721.5,366.565,0.05,25.77615384615385,,,,i.O.,i.O.,i.O.,10,56
56,7.166666666666668,,4.887764705882356,288.2267692307692,184.70194029850742,0.4838709677419355,317.38461538461536,1.0,0.0,27.13,0.05,0.5384615384615384,2.0,0.7142857142857143,54.111111111111114,-318.7307462686568,17.043478260869566,2019-11-27 11:13:20.450,29.775,73.49,3980.5,379.64,0.08571428571428573,25.775,,,,i.O.,n.i.O.,i.O.,10,57
57,7.5,,7.006153846153847,-53.93183333333332,182.98191176470596,0.5161290322580645,317.1363636363636,1.6,1.0,,,0.5,9.0,0.5,161.25,-318.86,15.529411764705882,2019-11-27 11:13:34.491,386.401,,2884.333333333333,393.0466666666666,0.04444444444444445,25.775,,,,i.O.,n.i.O.,i.O.,10,58
58,7.5,,11.437631578947368,49.26925000000006,175.0752112676057,0.4857142857142857,317.23529411764713,1.3333333333333333,1.0,,,0.5,0.0,0.8571428571428571,75.21428571428571,-317.50571428571425,14.041666666666664,2019-11-27 11:13:48.357,,,0.0,411.68,0.13076923076923078,,,,,i.O.,n.i.O.,i.O.,10,59
59,7.5,,8.849923076923076,500.6894545454545,183.55059701492542,0.5,317.0588235294117,2.333333333333333,0.5,,,0.5,4.833333333333333,0.75,-1426.666666666667,-318.81338461538456,15.166666666666664,2019-11-27 11:14:02.566,-257.82599999999996,73.48,939.0,426.51,0.15000000000000002,,,,,i.O.,i.O.,i.O.,10,60
60,7.2,,10.354420000000003,217.1971818181818,188.31470588235297,0.5,317.2857142857143,2.333333333333333,0.5,,0.06000000000000001,0.4615384615384616,5.0,0.6153846153846154,191.53333333333333,-318.8085074626865,17.047619047619047,2019-11-27 11:14:16.697,198.27599999999998,,4358.5,438.805,0.08888888888888888,,,,,i.O.,i.O.,i.O.,10,61
61,7.5,,9.399470588235292,-207.024,188.8765217391304,0.5,317.2142857142857,1.5,0.5,,0.05,0.5,15.0,0.5555555555555556,72.41176470588233,-318.8925,13.944444444444445,2019-11-27 11:14:30.613,118.42399999999999,,2748.5,450.055,0.05,,,,,i.O.,n.i.O.,i.O.,10,62
62,7.5,,6.015627450980393,37.8845,177.2954285714286,0.5,317.5,2.0,1.0,,0.05000000000000001,0.5333333333333333,1.1578947368421053,1.25,-216.25,-318.90382352941174,15.0,2019-11-27 11:14:44.521,-20.3015,73.47,14.5,471.68,0.05,,,,-319.99,i.O.,n.i.O.,i.O.,10,63
63,7.333333333333332,,3.195791666666666,361.959,181.62217391304344,0.5142857142857142,317.25,1.5,0.0,,0.05,0.5,8.8,3.0,-56.875,-318.7914925373134,18.235294117647054,2019-11-27 11:14:58.812,1312.816,,-12002.333333333336,382.21,0.05,,54.80233333333333,1495.0,-306.745,i.O.,n.i.O.,i.O.,10,64
64,6.5,,2.9179130434782605,301.9567,185.74455882352947,0.4864864864864865,317.23076923076917,2.0,0.5,,0.05000000000000001,0.5,1.0,1.0,1011.9444444444445,-318.86865671641795,15.333333333333336,2019-11-27 11:15:13.308,408.0555,73.46,4422.0,362.32,0.05,,,,,i.O.,n.i.O.,i.O.,10,65
65,7.5,,7.895509803921572,-242.1735384615385,185.34499999999989,0.5121951219512195,317.38461538461536,2.0,1.0,,0.05000000000000001,0.5,4.333333333333333,0.75,104.52941176470587,-317.47753623188413,13.0,2019-11-27 11:15:26.931,4.0605,,1166.5,374.41,12.014285714285714,,,,,i.O.,n.i.O.,i.O.,10,66
66,7.5,,8.647490196078431,125.10400000000004,169.58073529411763,0.5,317.26666666666665,2.0,0.5,,0.05,0.4444444444444444,5.5,0.7142857142857143,-162.1818181818182,-318.7173134328359,16.772727272727273,2019-11-27 11:15:41.169,-203.013,,373.5,396.635,0.05,,,,,i.O.,n.i.O.,i.O.,10,67
67,7.2,,9.768339622641513,522.3922727272727,170.07264705882352,0.4864864864864865,317.25,2.25,0.3333333333333333,27.095,0.05,0.5263157894736842,3.0,0.7142857142857143,68.5625,-318.7416417910448,16.17391304347826,2019-11-27 11:15:55.338,224.6673333333333,73.45,5030.666666666667,411.32666666666665,0.075,,,,,i.O.,n.i.O.,i.O.,10,68
68,7.5,,9.406509433962263,294.1741818181818,176.34898550724637,0.5,317.23076923076917,1.5,1.0,27.095,0.03333333333333333,0.4545454545454545,3.3076923076923075,0.6,95.44444444444444,-318.757794117647,14.473684210526313,2019-11-27 11:16:09.283,0.0,,0.0,426.68,0.05,,,,,i.O.,n.i.O.,i.O.,10,69
69,7.5,,10.1301320754717,-156.32772727272732,185.65774647887332,0.5151515151515151,317.2608695652174,2.5,1.0,27.095,0.054545454545454536,0.5384615384615384,2.5,0.6923076923076923,-111.25,-318.884347826087,14.4,2019-11-27 11:16:23.368,-4.737,,230.5,434.2000000000001,0.05,,,,,i.O.,n.i.O.,i.O.,10,70
70,7.5,,6.5194800000000015,304.34736363636375,185.01426470588243,0.5,317.17391304347825,1.0,1.0,27.092857142857138,0.04444444444444445,0.4705882352941176,2.2,0.8,-57.72727272727273,-318.87208955223883,17.88235294117647,2019-11-27 11:16:37.403,-234.81799999999998,73.44,1460.0,456.35,0.05,25.805,,,,i.O.,i.O.,i.O.,10,71
71,7.2,,10.491886792452833,325.38492307692314,168.9980597014925,0.5,317.4,2.5,1.0,27.095,0.06666666666666668,0.5,5.4,0.6363636363636364,134.21428571428572,-318.6222727272726,15.782608695652176,2019-11-27 11:16:51.383,244.0663333333333,,4466.5,468.215,0.05,25.805,,,,i.O.,i.O.,i.O.,10,72
72,7.0,,12.271920000000005,308.4844,179.43911764705882,0.5135135135135135,317.04761904761904,1.5,0.5,,0.06000000000000001,0.5,2.357142857142857,1.6666666666666667,3512.125,-319.13060606060606,12.909090909090908,2019-11-27 11:17:05.693,-312.63966666666664,73.43,-11998.0,402.2466666666666,0.05,25.805,21.236,1504.666666666667,-293.8566666666666,i.O.,i.O.,i.O.,10,73
73,,,5.835847826086956,3.885666666666716,180.65357142857138,0.5128205128205128,317.23076923076917,1.5,1.0,,0.05,0.5,5.25,0.8571428571428571,-86.3888888888889,-318.8004411764705,15.304347826086955,2019-11-27 11:17:19.587,-50.753,,67.5,366.675,0.05,25.805,,,,i.O.,n.i.O.,i.O.,10,74
74,7.0,,9.761763636363641,369.28614285714286,188.20130434782607,0.4857142857142857,317.26666666666665,0.0,0.5,27.065,0.05,0.5294117647058824,2.5,0.7142857142857143,-48.85714285714285,-318.86161764705884,21.363636363636363,2019-11-27 11:17:34.003,-72.408,,3073.5,380.595,0.05,25.805,,,,i.O.,n.i.O.,i.O.,10,75
