_id,ValueID,value,timeStamp
5dde55ba8e15b3086c0e65f4,12430012063.Z1_Axis.Actual_Position_MCS,-413.03,2019-11-27 10:55:03.659
5dde55ba8e15b3086c0e660a,12430012063.Z1_Axis.Actual_Position_MCS,-412.77,2019-11-27 10:55:03.866
5dde55ba8e15b3086c0e661c,12430012063.Z1_Axis.Actual_Position_MCS,-421.42,2019-11-27 10:55:04.070
5dde55ba8e15b3086c0e6631,12430012063.Z1_Axis.Actual_Position_MCS,-424.01,2019-11-27 10:55:04.264
5dde55bb8e15b3086c0e6642,12430012063.Z1_Axis.Actual_Position_MCS,-424.77,2019-11-27 10:55:04.466
5dde55bf8e15b3086c0e6744,12430012063.Z1_Axis.Actual_Position_MCS,-424.54,2019-11-27 10:55:08.891
5dde55bf8e15b3086c0e6759,12430012063.Z1_Axis.Actual_Position_MCS,-412.77,2019-11-27 10:55:09.059
5dde55c08e15b3086c0e677c,12430012063.Z1_Axis.Actual_Position_MCS,-423.77,2019-11-27 10:55:09.582
5dde55c08e15b3086c0e678d,12430012063.Z1_Axis.Actual_Position_MCS,-424.77,2019-11-27 10:55:09.703
5dde55c48e15b3086c0e6892,12430012063.Z1_Axis.Actual_Position_MCS,-417.82,2019-11-27 10:55:14.269
5dde55c58e15b3086c0e68a3,12430012063.Z1_Axis.Actual_Position_MCS,-412.77,2019-11-27 10:55:14.465
5dde55c58e15b3086c0e68c7,12430012063.Z1_Axis.Actual_Position_MCS,-413.89,2019-11-27 10:55:14.864
5dde55c58e15b3086c0e68da,12430012063.Z1_Axis.Actual_Position_MCS,-423.77,2019-11-27 10:55:15.076
5dde55c58e15b3086c0e68ea,12430012063.Z1_Axis.Actual_Position_MCS,-424.77,2019-11-27 10:55:15.258
5dde55ca8e15b3086c0e69fa,12430012063.Z1_Axis.Actual_Position_MCS,-413.03,2019-11-27 10:55:19.864
5dde55ca8e15b3086c0e6a0b,12430012063.Z1_Axis.Actual_Position_MCS,-412.77,2019-11-27 10:55:20.069
5dde55ca8e15b3086c0e6a1e,12430012063.Z1_Axis.Actual_Position_MCS,-421.42,2019-11-27 10:55:20.264
5dde55cb8e15b3086c0e6a34,12430012063.Z1_Axis.Actual_Position_MCS,-424.01,2019-11-27 10:55:20.465
5dde55cb8e15b3086c0e6a42,12430012063.Z1_Axis.Actual_Position_MCS,-424.77,2019-11-27 10:55:20.684
5dde55cf8e15b3086c0e6b4c,12430012063.Z1_Axis.Actual_Position_MCS,-424.54,2019-11-27 10:55:25.065
5dde55cf8e15b3086c0e6b5e,12430012063.Z1_Axis.Actual_Position_MCS,-412.77,2019-11-27 10:55:25.260
5dde55d08e15b3086c0e6b81,12430012063.Z1_Axis.Actual_Position_MCS,-423.77,2019-11-27 10:55:25.674
5dde55d08e15b3086c0e6b92,12430012063.Z1_Axis.Actual_Position_MCS,-424.77,2019-11-27 10:55:25.874
5dde55d58e15b3086c0e6c92,12430012063.Z1_Axis.Actual_Position_MCS,-417.82,2019-11-27 10:55:30.473
