,Bezeichnung Bohrung,Klassifizierung nach Grenzlehrdorn,Klassifizierung nach Messchraube,Klassifizierung nach Messtaster,Messwert Innenmessschraube,Messwert Messtaster,Unnamed: 0,Unnamed: 6
409,,i.O.,i.O.,n.i.O.,12.015,12.022,1220.0,
410,,i.O.,i.O.,n.i.O.,12.015,12.026,1221.0,
411,,i.O.,i.O.,n.i.O.,12.015999999999998,12.022,1222.0,
412,,i.O.,i.O.,n.i.O.,12.017000000000001,12.025,1223.0,
413,,i.O.,i.O.,n.i.O.,12.015999999999998,12.027000000000001,1224.0,
414,,i.O.,n.i.O.,n.i.O.,12.02,12.03,1225.0,
415,,i.O.,i.O.,n.i.O.,12.017000000000001,12.026,1226.0,
416,,i.O.,i.O.,n.i.O.,12.014000000000001,12.024000000000001,1227.0,
417,,i.O.,n.i.O.,n.i.O.,12.02,12.04,1228.0,
418,,i.O.,i.O.,n.i.O.,12.015999999999998,12.027000000000001,1229.0,
419,,i.O.,i.O.,n.i.O.,12.015,12.040999999999999,1230.0,
420,,i.O.,i.O.,n.i.O.,12.013,12.039000000000001,1231.0,
421,,i.O.,i.O.,n.i.O.,12.015999999999998,12.027000000000001,1232.0,
422,,i.O.,i.O.,n.i.O.,12.015999999999998,12.049000000000001,1233.0,
423,,i.O.,i.O.,n.i.O.,12.015,12.023,1234.0,
424,,i.O.,i.O.,n.i.O.,12.012,12.026,1235.0,
425,,i.O.,i.O.,n.i.O.,12.017999999999999,12.03,1236.0,
426,,i.O.,i.O.,n.i.O.,12.015999999999998,12.027000000000001,1237.0,
427,,i.O.,i.O.,n.i.O.,12.015999999999998,12.025,1238.0,
428,,i.O.,i.O.,n.i.O.,12.017000000000001,12.04,1239.0,
429,,i.O.,i.O.,n.i.O.,12.015,12.024000000000001,1240.0,
430,,i.O.,i.O.,n.i.O.,12.015999999999998,12.03,1241.0,
431,,i.O.,i.O.,n.i.O.,12.015,12.033,1242.0,
432,,i.O.,i.O.,n.i.O.,12.014000000000001,12.027000000000001,1243.0,
433,,i.O.,i.O.,n.i.O.,12.017000000000001,12.038,1244.0,
434,,i.O.,i.O.,n.i.O.,12.015999999999998,12.029000000000002,1245.0,
435,,i.O.,i.O.,n.i.O.,12.015,12.023,1246.0,
436,,i.O.,i.O.,n.i.O.,12.015999999999998,12.026,1247.0,
437,,i.O.,i.O.,n.i.O.,12.014000000000001,12.03,1248.0,
438,,i.O.,i.O.,n.i.O.,12.014000000000001,12.024000000000001,1249.0,
439,,i.O.,i.O.,n.i.O.,12.014000000000001,12.025,1250.0,
440,,i.O.,i.O.,n.i.O.,12.015999999999998,12.026,1251.0,
441,,i.O.,i.O.,n.i.O.,12.017999999999999,12.029000000000002,1252.0,
442,,i.O.,i.O.,n.i.O.,12.017000000000001,12.023,1253.0,
443,,i.O.,i.O.,n.i.O.,12.013,12.022,1254.0,
444,,i.O.,i.O.,n.i.O.,12.014000000000001,12.030999999999999,1255.0,
445,,i.O.,i.O.,n.i.O.,12.012,12.020999999999999,1256.0,
446,,i.O.,i.O.,n.i.O.,12.013,12.026,1257.0,
447,,i.O.,i.O.,n.i.O.,12.014000000000001,12.027000000000001,1258.0,
448,,i.O.,i.O.,n.i.O.,12.015,12.026,1259.0,
449,,i.O.,i.O.,n.i.O.,12.015999999999998,12.023,1260.0,
450,,i.O.,i.O.,n.i.O.,12.017999999999999,12.025,1261.0,
451,,i.O.,i.O.,n.i.O.,12.014000000000001,12.026,1262.0,
452,,i.O.,i.O.,n.i.O.,12.017999999999999,12.035,1263.0,
453,,i.O.,i.O.,n.i.O.,12.015999999999998,12.029000000000002,1264.0,
454,,i.O.,i.O.,n.i.O.,12.015999999999998,12.03,1265.0,
455,,i.O.,i.O.,n.i.O.,12.014000000000001,12.024000000000001,1266.0,
