_id,ValueID,value,timeStamp
5dd4f7a68e15b312f812368e,12430012063.Z1_Axis.Actual_Position_MCS,-3.3,2019-11-20 08:23:13.494
5dd4f7a78e15b312f812369d,12430012063.Z1_Axis.Actual_Position_MCS,-3.72,2019-11-20 08:23:13.957
5dd4f7b38e15b312f8123741,12430012063.Z1_Axis.Actual_Position_MCS,-4.9,2019-11-20 08:23:25.929
5dd4f7b38e15b312f8123751,12430012063.Z1_Axis.Actual_Position_MCS,-11.56,2019-11-20 08:23:26.110
5dd4f7b38e15b312f812375a,12430012063.Z1_Axis.Actual_Position_MCS,-18.23,2019-11-20 08:23:26.308
5dd4f7b38e15b312f8123761,12430012063.Z1_Axis.Actual_Position_MCS,-24.89,2019-11-20 08:23:26.537
5dd4f7b48e15b312f8123768,12430012063.Z1_Axis.Actual_Position_MCS,-31.56,2019-11-20 08:23:26.857
5dd4f7b48e15b312f8123773,12430012063.Z1_Axis.Actual_Position_MCS,-38.23,2019-11-20 08:23:26.907
5dd4f7b48e15b312f812377c,12430012063.Z1_Axis.Actual_Position_MCS,-44.89,2019-11-20 08:23:27.099
5dd4f7b48e15b312f8123785,12430012063.Z1_Axis.Actual_Position_MCS,-51.56,2019-11-20 08:23:27.304
5dd4f7b48e15b312f812378d,12430012063.Z1_Axis.Actual_Position_MCS,-58.23,2019-11-20 08:23:27.504
5dd4f7b48e15b312f8123791,12430012063.Z1_Axis.Actual_Position_MCS,-64.89,2019-11-20 08:23:27.692
5dd4f7b58e15b312f8123796,12430012063.Z1_Axis.Actual_Position_MCS,-71.56,2019-11-20 08:23:27.905
5dd4f7b58e15b312f812379c,12430012063.Z1_Axis.Actual_Position_MCS,-78.23,2019-11-20 08:23:28.162
5dd4f7b58e15b312f81237a4,12430012063.Z1_Axis.Actual_Position_MCS,-84.89,2019-11-20 08:23:28.345
5dd4f7b58e15b312f81237a8,12430012063.Z1_Axis.Actual_Position_MCS,-91.56,2019-11-20 08:23:28.501
5dd4f7b58e15b312f81237ad,12430012063.Z1_Axis.Actual_Position_MCS,-98.23,2019-11-20 08:23:28.706
5dd4f7b68e15b312f81237b2,12430012063.Z1_Axis.Actual_Position_MCS,-104.89,2019-11-20 08:23:28.905
5dd4f7b68e15b312f81237b6,12430012063.Z1_Axis.Actual_Position_MCS,-111.56,2019-11-20 08:23:29.102
5dd4f7b68e15b312f81237bc,12430012063.Z1_Axis.Actual_Position_MCS,-118.23,2019-11-20 08:23:29.303
5dd4f7b68e15b312f81237c3,12430012063.Z1_Axis.Actual_Position_MCS,-124.89,2019-11-20 08:23:29.518
5dd4f7b68e15b312f81237c9,12430012063.Z1_Axis.Actual_Position_MCS,-131.56,2019-11-20 08:23:29.747
