,Unnamed: 0,12430012063.A1_Axis.Actual_Power,12430012063.Energy_Savings.Active_Power_Spindle1,12430012063.Energy_Savings.Active_Power_X1,12430012063.Energy_Savings.Active_Power_Z1,12430012063.Main_Spindle.Actual_Position_MCS,12430012063.Main_Spindle.Actual_Power,12430012063.Main_Spindle.Actual_Speed_Rate,12430012063.Main_Spindle.MPC_Peak,12430012063.Main_Spindle.MPC_Veff_Total,12430012063.Tool_Control_Center.Axial_Force_Tension,12430012063.Tool_Control_Center.Bending_Moment,12430012063.Tool_Control_Center.Symmetry,12430012063.X1_Axis.Actual_Feed_Rate,12430012063.X1_Axis.Actual_Position_MCS,12430012063.X1_Axis.Actual_Power,12430012063.Y1_Axis.Actual_Power,12430012063.Z1_Axis.Actual_Feed_Rate,12430012063.Z1_Axis.Actual_Position_MCS,12430012063.Z1_Axis.Actual_Power,timeStamp,12430012063.Maintenance_Package.Tool_Usage_Main_lubriTOOL,12430012063.Y1_Axis.Temperature_Y_Slide,12430012063.Main_Spindle.Temperature_Spindle,12430012063.Tool_Control_Center.Axial_Force_Compression,12430012063.Energy_Savings.Active_Power_Y1,12430012063.Y1_Axis.Actual_Feed_Rate,12430012063.Y1_Axis.Actual_Position_MCS,12430012063.C1_Axis.Actual_Power,Messschraube,Messtaster,Grenzlehrdorn,Ebene,Bohrung
59,59,3.5,0.7374999999999999,334.2943333333333,-194.98554545454544,165.70592592592595,0.5217391304347826,635.4545454545455,1.2857142857142858,1.0,,0.42857142857142855,0.4521428571428571,4131.333333333333,420.96,13.2,0.9,232.22222222222226,-290.16291666666666,15.5,2019-12-09 08:24:50.907,,,27.872000000000003,0.13333333333333336,,,,,i.O.,n.i.O.,i.O.,15,60
60,60,,2.212576923076925,0.0,148.08740000000006,178.32576923076923,0.4705882352941176,635.4347826086956,1.3333333333333333,1.0,,1.0,0.32461538461538464,230.5,440.33,1.0,0.5,224.11111111111111,-286.2392000000001,15.166666666666664,2019-12-09 08:24:56.221,,,27.875,0.16153846153846158,,,,,n.i.O.,n.i.O.,i.O.,15,61
61,61,,-5.7524000000000015,,664.9014999999998,183.61038461538465,0.5,635.4782608695652,1.0,0.5,,0.5,0.5525,0.0,455.33,0.0,0.8,-176.85714285714286,-289.9404166666667,14.818181818181818,2019-12-09 08:25:01.513,,,,0.16153846153846158,,,,,n.i.O.,n.i.O.,i.O.,15,62
62,62,,7.669920000000001,-74.438,710.5958888888887,175.0503846153846,0.5,635.5,1.0,0.6,,0.5,0.4208333333333332,242.5,470.005,5.25,0.6666666666666666,-170.44444444444446,-290.6120833333334,19.384615384615387,2019-12-09 08:25:06.607,74.28,23.045,,0.15000000000000002,,,,3.5,i.O.,n.i.O.,i.O.,15,63
63,63,3.75,2.8408148148148107,1203.189,263.13191666666665,184.19535714285718,0.5,635.5,1.0,0.0,,0.8333333333333334,0.2671428571428571,-6931.75,377.955,13.875,2.1818181818181817,-48.555555555555564,-286.6964,21.4,2019-12-09 08:25:11.955,,23.045,27.84,0.15555555555555556,45.89666666666667,1502.666666666667,-312.0,,i.O.,n.i.O.,i.O.,15,64
64,64,3.5,-8.715863636363636,386.401,-148.69781818181818,177.51307692307694,0.5555555555555556,635.5,1.0,1.0,,0.42857142857142855,0.25230769230769234,4351.5,366.615,4.0,0.875,370.66666666666674,-287.6908,20.75,2019-12-09 08:25:17.446,,23.05,,0.15000000000000002,,,,,i.O.,n.i.O.,i.O.,15,65
65,65,4.0,-2.2124615384615374,165.11700000000002,-235.9327,168.9530769230769,0.5,635.6,1.0,1.0,0.05,0.6666666666666666,0.3684615384615385,2748.5,380.495,12.0,0.8571428571428571,274.75,-286.9479166666667,17.666666666666668,2019-12-09 08:25:22.684,,23.042857142857148,,0.1444444444444445,,,,,i.O.,n.i.O.,i.O.,15,66
66,66,,1.4750384615384629,0.0,39.84509090909094,198.01080000000005,0.4545454545454545,635.4285714285714,1.0,1.0,,0.4545454545454545,0.44692307692307703,0.0,395.33,0.6,0.7142857142857143,152.57142857142858,-290.3175,14.846153846153848,2019-12-09 08:25:27.899,,23.04714285714286,,0.15,,,,,i.O.,n.i.O.,i.O.,15,67
67,67,,-3.1958333333333315,0.6765,445.92400000000004,183.99333333333328,0.5,635.5,1.0,0.6,,0.5454545454545454,0.4884615384615385,518.5,410.33,2.5,0.7142857142857143,176.45454545454547,-289.60833333333335,14.181818181818182,2019-12-09 08:25:33.066,,23.045,,0.15000000000000002,,,,,i.O.,n.i.O.,i.O.,15,68
68,68,,4.601959999999999,-32.482,604.795,157.1246153846154,0.5,635.4166666666666,1.0,0.5,,0.5,0.38333333333333336,67.5,425.16,2.833333333333333,0.6666666666666666,-173.11111111111111,-287.00840000000005,18.5,2019-12-09 08:25:38.289,,23.045,,0.15000000000000002,,,,,i.O.,n.i.O.,i.O.,15,69
69,69,3.0,2.1306296296296314,-187.223,410.6909,190.77074074074073,0.5,635.5217391304348,1.0,0.8333333333333334,,0.5,0.3038461538461538,3504.666666666666,442.1566666666667,5.8,0.8571428571428571,50.27272727272727,-287.1544,22.23076923076923,2019-12-09 08:25:43.558,,,,0.15714285714285714,,,,,i.O.,n.i.O.,i.O.,15,70
70,70,4.0,-7.1905,0.0,-32.535333333333355,180.4876,0.5454545454545454,635.4761904761905,1.0,0.8,,0.5,0.4166666666666666,0.0,455.33,0.5,0.8333333333333334,185.28571428571428,-290.325,22.272727272727273,2019-12-09 08:25:48.816,74.27,,27.81,0.12222222222222225,,,,,i.O.,n.i.O.,i.O.,15,71
71,71,3.5,-0.7669599999999991,337.67800000000005,-323.0734444444445,172.9873076923077,0.5,635.5,0.4,1.2857142857142858,,0.5,0.36692307692307696,4464.0,464.59,8.0,0.875,289.75,-290.40208333333334,17.384615384615387,2019-12-09 08:25:53.904,,,27.815,0.17500000000000002,,,,,i.O.,n.i.O.,i.O.,15,72
72,72,3.5,-2.0543214285714284,-607.3465,-14.777076923076878,185.09964285714287,0.4782608695652174,635.6666666666666,1.4,0.5,,0.5,0.4107692307692308,-8549.25,388.915,14.333333333333336,1.5,209.33333333333331,-286.5736,14.142857142857142,2019-12-09 08:25:59.157,,,,0.15454545454545454,21.236,1474.0,-299.11000000000007,,i.O.,n.i.O.,i.O.,15,73
73,73,,2.9500769230769235,0.0,299.7186,175.45000000000005,0.5,635.4615384615385,1.0,0.6,,0.5,0.2757142857142857,0.0,365.33,0.7142857142857143,0.6666666666666666,147.33333333333334,-286.4488,14.769230769230768,2019-12-09 08:26:04.694,,,,0.1461538461538462,,,,3.5,i.O.,n.i.O.,i.O.,15,74
74,74,,-6.135880000000002,-12.181,528.5951666666666,180.7373076923077,0.5,635.5,1.0,0.5,,0.5,0.5161538461538462,7.0,384.94,4.0,0.7,-183.375,-287.05,15.3125,2019-12-09 08:26:09.973,,,,0.15,,,,,i.O.,n.i.O.,i.O.,15,75
75,75,,-4.3580000000000005,-244.292,814.341,199.87384615384616,0.5,635.5,0.5,0.8,,0.4444444444444444,0.2545454545454545,939.0,395.33,5.5,0.6666666666666666,19.0,-291.5424,21.25,2019-12-09 08:26:15.207,,,,0.17,,,,,i.O.,n.i.O.,i.O.,15,76
76,76,3.5,-3.9947916666666656,-109.62700000000001,247.3565,163.6203846153846,0.5454545454545454,635.5,1.0,0.8571428571428571,,1.0,0.3346153846153846,3343.5,408.025,3.0,1.0,7.25,-289.6662500000001,20.857142857142858,2019-12-09 08:26:20.246,,,,0.15000000000000005,,,,,i.O.,n.i.O.,i.O.,15,77
77,77,3.5,-7.101703703703705,426.778,-269.3176,169.06074074074073,0.48,635.3571428571429,1.0,1.0,,0.5,0.4284615384615385,5498.0,422.8133333333333,8.571428571428571,0.8888888888888888,260.1111111111111,-286.3264000000001,17.866666666666667,2019-12-09 08:26:25.656,74.26,,27.78,0.1444444444444445,,,,,n.i.O.,n.i.O.,i.O.,15,78
78,78,,-6.391583333333332,36.5425,-187.0166363636364,190.91000000000003,0.5,635.4,1.0,1.0,,0.5,0.2669230769230769,1440.0,440.4,11.5,0.875,260.625,-287.1532,15.545454545454545,2019-12-09 08:26:30.852,,,27.773333333333333,0.15000000000000002,,,,,n.i.O.,n.i.O.,i.O.,15,79
79,79,,-0.7670000000000009,0.0,147.15500000000003,182.35,0.5333333333333333,635.5,1.4,0.6,,0.4444444444444444,0.3030769230769231,57.5,455.33,0.5,0.875,106.0,-287.50200000000007,14.642857142857142,2019-12-09 08:26:36.104,,23.1,,0.17500000000000002,,,,,i.O.,n.i.O.,i.O.,15,80
80,80,,-3.550814814814812,-1.3535,547.0283,173.79038461538462,0.5454545454545454,635.3,1.2,0.5,,0.5384615384615384,0.4215384615384616,0.0,470.33,1.25,0.7142857142857143,-155.125,-291.6384,14.615384615384615,2019-12-09 08:26:41.349,,23.07333333333333,,0.15000000000000002,,,,,i.O.,n.i.O.,i.O.,15,81
