_id,ValueID,value,timeStamp
5dedff5a8e15b3086c29c7fc,12430012063.Z1_Axis.Actual_Position_MCS,-353.72,2019-12-09 08:00:00.002
5dedff5a8e15b3086c29c806,12430012063.Z1_Axis.Actual_Position_MCS,-355.5,2019-12-09 08:00:00.080
5dedff5a8e15b3086c29c810,12430012063.Z1_Axis.Actual_Position_MCS,-357.28,2019-12-09 08:00:00.287
5dedff5a8e15b3086c29c81c,12430012063.Z1_Axis.Actual_Position_MCS,-359.05,2019-12-09 08:00:00.480
5dedff5b8e15b3086c29c827,12430012063.Z1_Axis.Actual_Position_MCS,-359.09,2019-12-09 08:00:00.690
5dedff5b8e15b3086c29c83e,12430012063.Z1_Axis.Actual_Position_MCS,-358.25,2019-12-09 08:00:01.334
5dedff5b8e15b3086c29c84c,12430012063.Z1_Axis.Actual_Position_MCS,-360.03,2019-12-09 08:00:01.481
5dedff5c8e15b3086c29c856,12430012063.Z1_Axis.Actual_Position_MCS,-361.61,2019-12-09 08:00:01.684
5dedff5c8e15b3086c29c875,12430012063.Z1_Axis.Actual_Position_MCS,-361.02,2019-12-09 08:00:02.517
5dedff5d8e15b3086c29c87f,12430012063.Z1_Axis.Actual_Position_MCS,-362.81,2019-12-09 08:00:02.684
5dedff5d8e15b3086c29c888,12430012063.Z1_Axis.Actual_Position_MCS,-364.13,2019-12-09 08:00:03.075
5dedff5d8e15b3086c29c89e,12430012063.Z1_Axis.Actual_Position_MCS,-364.0,2019-12-09 08:00:03.487
5dedff5e8e15b3086c29c8aa,12430012063.Z1_Axis.Actual_Position_MCS,-301.72,2019-12-09 08:00:03.682
5dedff5e8e15b3086c29c8bc,12430012063.Z1_Axis.Actual_Position_MCS,-282.13,2019-12-09 08:00:03.892
5dedff5e8e15b3086c29c8df,12430012063.Z1_Axis.Actual_Position_MCS,-284.17,2019-12-09 08:00:04.365
5dedff5e8e15b3086c29c8ef,12430012063.Z1_Axis.Actual_Position_MCS,-301.5,2019-12-09 08:00:04.549
5dedff5f8e15b3086c29c8f8,12430012063.Z1_Axis.Actual_Position_MCS,-303.11,2019-12-09 08:00:04.745
5dedff5f8e15b3086c29c905,12430012063.Z1_Axis.Actual_Position_MCS,-304.71,2019-12-09 08:00:04.880
5dedff5f8e15b3086c29c911,12430012063.Z1_Axis.Actual_Position_MCS,-306.32,2019-12-09 08:00:05.085
5dedff5f8e15b3086c29c91c,12430012063.Z1_Axis.Actual_Position_MCS,-307.92,2019-12-09 08:00:05.279
5dedff5f8e15b3086c29c92c,12430012063.Z1_Axis.Actual_Position_MCS,-309.52,2019-12-09 08:00:05.485
5dedff608e15b3086c29c933,12430012063.Z1_Axis.Actual_Position_MCS,-311.13,2019-12-09 08:00:05.688
5dedff608e15b3086c29c93f,12430012063.Z1_Axis.Actual_Position_MCS,-312.13,2019-12-09 08:00:05.963
5dedff608e15b3086c29c95b,12430012063.Z1_Axis.Actual_Position_MCS,-311.36,2019-12-09 08:00:06.485
5dedff618e15b3086c29c966,12430012063.Z1_Axis.Actual_Position_MCS,-312.01,2019-12-09 08:00:06.694
5dedff618e15b3086c29c972,12430012063.Z1_Axis.Actual_Position_MCS,-313.79,2019-12-09 08:00:06.897
5dedff618e15b3086c29c980,12430012063.Z1_Axis.Actual_Position_MCS,-315.58,2019-12-09 08:00:07.092
5dedff618e15b3086c29c98b,12430012063.Z1_Axis.Actual_Position_MCS,-317.36,2019-12-09 08:00:07.285
5dedff618e15b3086c29c997,12430012063.Z1_Axis.Actual_Position_MCS,-319.14,2019-12-09 08:00:07.489
5dedff628e15b3086c29c9a1,12430012063.Z1_Axis.Actual_Position_MCS,-320.92,2019-12-09 08:00:07.725
5dedff628e15b3086c29c9b0,12430012063.Z1_Axis.Actual_Position_MCS,-321.13,2019-12-09 08:00:07.889
5dedff628e15b3086c29c9c9,12430012063.Z1_Axis.Actual_Position_MCS,-320.28,2019-12-09 08:00:08.490
5dedff638e15b3086c29c9d4,12430012063.Z1_Axis.Actual_Position_MCS,-322.07,2019-12-09 08:00:08.685
5dedff638e15b3086c29c9e2,12430012063.Z1_Axis.Actual_Position_MCS,-323.85,2019-12-09 08:00:08.899
5dedff638e15b3086c29c9ec,12430012063.Z1_Axis.Actual_Position_MCS,-325.63,2019-12-09 08:00:09.182
5dedff638e15b3086c29c9f7,12430012063.Z1_Axis.Actual_Position_MCS,-327.41,2019-12-09 08:00:09.334
5dedff638e15b3086c29ca02,12430012063.Z1_Axis.Actual_Position_MCS,-329.19,2019-12-09 08:00:09.486
5dedff648e15b3086c29ca0e,12430012063.Z1_Axis.Actual_Position_MCS,-329.23,2019-12-09 08:00:09.681
5dedff648e15b3086c29ca2a,12430012063.Z1_Axis.Actual_Position_MCS,-328.4,2019-12-09 08:00:10.289
5dedff648e15b3086c29ca38,12430012063.Z1_Axis.Actual_Position_MCS,-330.18,2019-12-09 08:00:10.536
5dedff658e15b3086c29ca43,12430012063.Z1_Axis.Actual_Position_MCS,-331.96,2019-12-09 08:00:10.730
5dedff658e15b3086c29ca4d,12430012063.Z1_Axis.Actual_Position_MCS,-333.75,2019-12-09 08:00:10.912
5dedff658e15b3086c29ca58,12430012063.Z1_Axis.Actual_Position_MCS,-335.53,2019-12-09 08:00:11.085
5dedff658e15b3086c29ca64,12430012063.Z1_Axis.Actual_Position_MCS,-336.52,2019-12-09 08:00:11.279
5dedff668e15b3086c29ca84,12430012063.Z1_Axis.Actual_Position_MCS,-335.41,2019-12-09 08:00:11.895
5dedff668e15b3086c29ca8d,12430012063.Z1_Axis.Actual_Position_MCS,-336.51,2019-12-09 08:00:12.078
5dedff668e15b3086c29ca9a,12430012063.Z1_Axis.Actual_Position_MCS,-338.29,2019-12-09 08:00:12.282
5dedff668e15b3086c29caa7,12430012063.Z1_Axis.Actual_Position_MCS,-340.07,2019-12-09 08:00:12.520
5dedff678e15b3086c29cab2,12430012063.Z1_Axis.Actual_Position_MCS,-341.86,2019-12-09 08:00:12.686
5dedff678e15b3086c29cabc,12430012063.Z1_Axis.Actual_Position_MCS,-343.09,2019-12-09 08:00:12.891
5dedff678e15b3086c29cada,12430012063.Z1_Axis.Actual_Position_MCS,-342.67,2019-12-09 08:00:13.485
5dedff688e15b3086c29cae7,12430012063.Z1_Axis.Actual_Position_MCS,-342.85,2019-12-09 08:00:13.770
5dedff688e15b3086c29caf6,12430012063.Z1_Axis.Actual_Position_MCS,-344.64,2019-12-09 08:00:13.884
5dedff688e15b3086c29cb03,12430012063.Z1_Axis.Actual_Position_MCS,-346.42,2019-12-09 08:00:14.089
5dedff688e15b3086c29cb0f,12430012063.Z1_Axis.Actual_Position_MCS,-348.2,2019-12-09 08:00:14.283
5dedff688e15b3086c29cb1e,12430012063.Z1_Axis.Actual_Position_MCS,-348.99,2019-12-09 08:00:14.484
5dedff698e15b3086c29cb38,12430012063.Z1_Axis.Actual_Position_MCS,-347.6,2019-12-09 08:00:15.138
5dedff698e15b3086c29cb43,12430012063.Z1_Axis.Actual_Position_MCS,-349.15,2019-12-09 08:00:15.420
5dedff698e15b3086c29cb51,12430012063.Z1_Axis.Actual_Position_MCS,-350.93,2019-12-09 08:00:15.528
5dedff6a8e15b3086c29cb5f,12430012063.Z1_Axis.Actual_Position_MCS,-352.72,2019-12-09 08:00:15.682
5dedff6a8e15b3086c29cb6c,12430012063.Z1_Axis.Actual_Position_MCS,-354.3,2019-12-09 08:00:15.880
5dedff6b8e15b3086c29cb93,12430012063.Z1_Axis.Actual_Position_MCS,-353.72,2019-12-09 08:00:16.721
5dedff6b8e15b3086c29cb9a,12430012063.Z1_Axis.Actual_Position_MCS,-355.5,2019-12-09 08:00:16.883
5dedff6b8e15b3086c29cba5,12430012063.Z1_Axis.Actual_Position_MCS,-357.28,2019-12-09 08:00:17.089
5dedff6b8e15b3086c29cbae,12430012063.Z1_Axis.Actual_Position_MCS,-359.06,2019-12-09 08:00:17.280
5dedff6b8e15b3086c29cbba,12430012063.Z1_Axis.Actual_Position_MCS,-359.09,2019-12-09 08:00:17.487
5dedff6c8e15b3086c29cbd3,12430012063.Z1_Axis.Actual_Position_MCS,-358.29,2019-12-09 08:00:18.089
5dedff6c8e15b3086c29cbdf,12430012063.Z1_Axis.Actual_Position_MCS,-360.07,2019-12-09 08:00:18.285
5dedff6c8e15b3086c29cbec,12430012063.Z1_Axis.Actual_Position_MCS,-361.61,2019-12-09 08:00:18.521
5dedff6d8e15b3086c29cc13,12430012063.Z1_Axis.Actual_Position_MCS,-361.06,2019-12-09 08:00:19.293
5dedff6d8e15b3086c29cc1d,12430012063.Z1_Axis.Actual_Position_MCS,-362.84,2019-12-09 08:00:19.490
5dedff6e8e15b3086c29cc26,12430012063.Z1_Axis.Actual_Position_MCS,-364.13,2019-12-09 08:00:19.683
5dedff6e8e15b3086c29cc3b,12430012063.Z1_Axis.Actual_Position_MCS,-363.91,2019-12-09 08:00:20.281
5dedff6e8e15b3086c29cc47,12430012063.Z1_Axis.Actual_Position_MCS,-300.16,2019-12-09 08:00:20.486
5dedff6f8e15b3086c29cc59,12430012063.Z1_Axis.Actual_Position_MCS,-282.13,2019-12-09 08:00:20.694
5dedff6f8e15b3086c29cc6a,12430012063.Z1_Axis.Actual_Position_MCS,-284.73,2019-12-09 08:00:20.886
5dedff6f8e15b3086c29cc7e,12430012063.Z1_Axis.Actual_Position_MCS,-301.54,2019-12-09 08:00:21.100
5dedff6f8e15b3086c29cc88,12430012063.Z1_Axis.Actual_Position_MCS,-303.14,2019-12-09 08:00:21.365
5dedff6f8e15b3086c29cc95,12430012063.Z1_Axis.Actual_Position_MCS,-304.75,2019-12-09 08:00:21.527
5dedff708e15b3086c29cca5,12430012063.Z1_Axis.Actual_Position_MCS,-306.35,2019-12-09 08:00:21.758
5dedff708e15b3086c29ccb2,12430012063.Z1_Axis.Actual_Position_MCS,-307.96,2019-12-09 08:00:21.910
5dedff708e15b3086c29ccbc,12430012063.Z1_Axis.Actual_Position_MCS,-309.56,2019-12-09 08:00:22.093
5dedff708e15b3086c29ccc2,12430012063.Z1_Axis.Actual_Position_MCS,-311.17,2019-12-09 08:00:22.294
5dedff708e15b3086c29cccd,12430012063.Z1_Axis.Actual_Position_MCS,-312.13,2019-12-09 08:00:22.492
5dedff718e15b3086c29cced,12430012063.Z1_Axis.Actual_Position_MCS,-311.24,2019-12-09 08:00:23.125
5dedff718e15b3086c29ccf5,12430012063.Z1_Axis.Actual_Position_MCS,-312.05,2019-12-09 08:00:23.290
5dedff718e15b3086c29cd03,12430012063.Z1_Axis.Actual_Position_MCS,-313.83,2019-12-09 08:00:23.489
5dedff728e15b3086c29cd0f,12430012063.Z1_Axis.Actual_Position_MCS,-315.61,2019-12-09 08:00:23.681
5dedff728e15b3086c29cd1a,12430012063.Z1_Axis.Actual_Position_MCS,-317.39,2019-12-09 08:00:23.887
5dedff728e15b3086c29cd24,12430012063.Z1_Axis.Actual_Position_MCS,-319.18,2019-12-09 08:00:24.090
5dedff728e15b3086c29cd32,12430012063.Z1_Axis.Actual_Position_MCS,-320.96,2019-12-09 08:00:24.286
5dedff738e15b3086c29cd3f,12430012063.Z1_Axis.Actual_Position_MCS,-321.13,2019-12-09 08:00:24.590
5dedff738e15b3086c29cd59,12430012063.Z1_Axis.Actual_Position_MCS,-320.32,2019-12-09 08:00:25.096
5dedff738e15b3086c29cd67,12430012063.Z1_Axis.Actual_Position_MCS,-322.1,2019-12-09 08:00:25.317
5dedff738e15b3086c29cd72,12430012063.Z1_Axis.Actual_Position_MCS,-323.88,2019-12-09 08:00:25.481
5dedff748e15b3086c29cd7f,12430012063.Z1_Axis.Actual_Position_MCS,-325.67,2019-12-09 08:00:25.686
5dedff748e15b3086c29cd8d,12430012063.Z1_Axis.Actual_Position_MCS,-327.45,2019-12-09 08:00:25.954
5dedff748e15b3086c29cd99,12430012063.Z1_Axis.Actual_Position_MCS,-329.22,2019-12-09 08:00:26.274
5dedff748e15b3086c29cda3,12430012063.Z1_Axis.Actual_Position_MCS,-329.23,2019-12-09 08:00:26.309
5dedff758e15b3086c29cdbe,12430012063.Z1_Axis.Actual_Position_MCS,-328.43,2019-12-09 08:00:26.888
5dedff758e15b3086c29cdce,12430012063.Z1_Axis.Actual_Position_MCS,-330.22,2019-12-09 08:00:27.095
5dedff758e15b3086c29cdde,12430012063.Z1_Axis.Actual_Position_MCS,-332.0,2019-12-09 08:00:27.302
5dedff758e15b3086c29cde6,12430012063.Z1_Axis.Actual_Position_MCS,-333.78,2019-12-09 08:00:27.576
5dedff768e15b3086c29cdf2,12430012063.Z1_Axis.Actual_Position_MCS,-335.56,2019-12-09 08:00:27.762
5dedff768e15b3086c29cdfe,12430012063.Z1_Axis.Actual_Position_MCS,-336.52,2019-12-09 08:00:27.887
5dedff768e15b3086c29ce1c,12430012063.Z1_Axis.Actual_Position_MCS,-335.32,2019-12-09 08:00:28.493
5dedff778e15b3086c29ce27,12430012063.Z1_Axis.Actual_Position_MCS,-336.54,2019-12-09 08:00:28.686
5dedff778e15b3086c29ce35,12430012063.Z1_Axis.Actual_Position_MCS,-338.33,2019-12-09 08:00:28.950
5dedff778e15b3086c29ce41,12430012063.Z1_Axis.Actual_Position_MCS,-340.11,2019-12-09 08:00:29.153
5dedff778e15b3086c29ce49,12430012063.Z1_Axis.Actual_Position_MCS,-341.89,2019-12-09 08:00:29.324
5dedff778e15b3086c29ce58,12430012063.Z1_Axis.Actual_Position_MCS,-343.09,2019-12-09 08:00:29.482
5dedff788e15b3086c29ce71,12430012063.Z1_Axis.Actual_Position_MCS,-342.67,2019-12-09 08:00:30.091
5dedff788e15b3086c29ce80,12430012063.Z1_Axis.Actual_Position_MCS,-342.85,2019-12-09 08:00:30.287
5dedff788e15b3086c29ce89,12430012063.Z1_Axis.Actual_Position_MCS,-344.64,2019-12-09 08:00:30.501
5dedff798e15b3086c29ce99,12430012063.Z1_Axis.Actual_Position_MCS,-346.42,2019-12-09 08:00:30.824
5dedff798e15b3086c29cea2,12430012063.Z1_Axis.Actual_Position_MCS,-348.2,2019-12-09 08:00:30.917
5dedff798e15b3086c29ceb0,12430012063.Z1_Axis.Actual_Position_MCS,-348.99,2019-12-09 08:00:31.083
5dedff7a8e15b3086c29ceca,12430012063.Z1_Axis.Actual_Position_MCS,-347.6,2019-12-09 08:00:31.683
5dedff7a8e15b3086c29ced5,12430012063.Z1_Axis.Actual_Position_MCS,-349.15,2019-12-09 08:00:31.885
5dedff7a8e15b3086c29cee1,12430012063.Z1_Axis.Actual_Position_MCS,-350.93,2019-12-09 08:00:32.089
5dedff7a8e15b3086c29cef0,12430012063.Z1_Axis.Actual_Position_MCS,-352.72,2019-12-09 08:00:32.346
5dedff7a8e15b3086c29ceff,12430012063.Z1_Axis.Actual_Position_MCS,-354.3,2019-12-09 08:00:32.490
5dedff7b8e15b3086c29cf24,12430012063.Z1_Axis.Actual_Position_MCS,-353.72,2019-12-09 08:00:33.286
5dedff7b8e15b3086c29cf32,12430012063.Z1_Axis.Actual_Position_MCS,-355.5,2019-12-09 08:00:33.482
5dedff7c8e15b3086c29cf3d,12430012063.Z1_Axis.Actual_Position_MCS,-357.28,2019-12-09 08:00:33.754
5dedff7c8e15b3086c29cf45,12430012063.Z1_Axis.Actual_Position_MCS,-359.06,2019-12-09 08:00:33.889
5dedff7c8e15b3086c29cf4f,12430012063.Z1_Axis.Actual_Position_MCS,-359.09,2019-12-09 08:00:34.096
5dedff7d8e15b3086c29cf65,12430012063.Z1_Axis.Actual_Position_MCS,-358.29,2019-12-09 08:00:34.688
5dedff7d8e15b3086c29cf6f,12430012063.Z1_Axis.Actual_Position_MCS,-360.07,2019-12-09 08:00:34.893
5dedff7d8e15b3086c29cf7a,12430012063.Z1_Axis.Actual_Position_MCS,-361.61,2019-12-09 08:00:35.155
5dedff7e8e15b3086c29cf97,12430012063.Z1_Axis.Actual_Position_MCS,-361.1,2019-12-09 08:00:35.921
5dedff7e8e15b3086c29cfa1,12430012063.Z1_Axis.Actual_Position_MCS,-361.81,2019-12-09 08:00:35.982
5dedff7e8e15b3086c29cfa8,12430012063.Z1_Axis.Actual_Position_MCS,-363.66,2019-12-09 08:00:36.201
5dedff7e8e15b3086c29cfb4,12430012063.Z1_Axis.Actual_Position_MCS,-364.13,2019-12-09 08:00:36.384
5dedff7f8e15b3086c29cfcc,12430012063.Z1_Axis.Actual_Position_MCS,-347.38,2019-12-09 08:00:37.129
5dedff7f8e15b3086c29cfd6,12430012063.Z1_Axis.Actual_Position_MCS,-282.45,2019-12-09 08:00:37.225
5dedff7f8e15b3086c29cfe3,12430012063.Z1_Axis.Actual_Position_MCS,-282.13,2019-12-09 08:00:37.382
5dedff808e15b3086c29cff7,12430012063.Z1_Axis.Actual_Position_MCS,-298.78,2019-12-09 08:00:37.589
5dedff808e15b3086c29d003,12430012063.Z1_Axis.Actual_Position_MCS,-302.28,2019-12-09 08:00:37.775
5dedff808e15b3086c29d00e,12430012063.Z1_Axis.Actual_Position_MCS,-303.88,2019-12-09 08:00:37.983
5dedff808e15b3086c29d01c,12430012063.Z1_Axis.Actual_Position_MCS,-305.49,2019-12-09 08:00:38.177
5dedff808e15b3086c29d029,12430012063.Z1_Axis.Actual_Position_MCS,-307.09,2019-12-09 08:00:38.412
5dedff818e15b3086c29d030,12430012063.Z1_Axis.Actual_Position_MCS,-308.7,2019-12-09 08:00:38.633
5dedff818e15b3086c29d03b,12430012063.Z1_Axis.Actual_Position_MCS,-310.3,2019-12-09 08:00:38.795
5dedff818e15b3086c29d045,12430012063.Z1_Axis.Actual_Position_MCS,-311.9,2019-12-09 08:00:38.989
5dedff818e15b3086c29d055,12430012063.Z1_Axis.Actual_Position_MCS,-312.13,2019-12-09 08:00:39.195
5dedff828e15b3086c29d06c,12430012063.Z1_Axis.Actual_Position_MCS,-311.12,2019-12-09 08:00:39.796
5dedff828e15b3086c29d078,12430012063.Z1_Axis.Actual_Position_MCS,-312.9,2019-12-09 08:00:40.010
5dedff828e15b3086c29d083,12430012063.Z1_Axis.Actual_Position_MCS,-314.68,2019-12-09 08:00:40.364
5dedff828e15b3086c29d08f,12430012063.Z1_Axis.Actual_Position_MCS,-316.47,2019-12-09 08:00:40.442
5dedff828e15b3086c29d098,12430012063.Z1_Axis.Actual_Position_MCS,-318.25,2019-12-09 08:00:40.583
5dedff838e15b3086c29d0a1,12430012063.Z1_Axis.Actual_Position_MCS,-320.03,2019-12-09 08:00:40.785
5dedff838e15b3086c29d0af,12430012063.Z1_Axis.Actual_Position_MCS,-321.13,2019-12-09 08:00:40.989
5dedff848e15b3086c29d0c9,12430012063.Z1_Axis.Actual_Position_MCS,-320.35,2019-12-09 08:00:41.618
5dedff848e15b3086c29d0d6,12430012063.Z1_Axis.Actual_Position_MCS,-321.17,2019-12-09 08:00:41.793
5dedff848e15b3086c29d0e3,12430012063.Z1_Axis.Actual_Position_MCS,-322.96,2019-12-09 08:00:41.985
5dedff848e15b3086c29d0f0,12430012063.Z1_Axis.Actual_Position_MCS,-324.74,2019-12-09 08:00:42.179
5dedff848e15b3086c29d0fc,12430012063.Z1_Axis.Actual_Position_MCS,-326.52,2019-12-09 08:00:42.384
5dedff858e15b3086c29d107,12430012063.Z1_Axis.Actual_Position_MCS,-328.31,2019-12-09 08:00:42.585
5dedff858e15b3086c29d10f,12430012063.Z1_Axis.Actual_Position_MCS,-329.23,2019-12-09 08:00:42.791
5dedff858e15b3086c29d12a,12430012063.Z1_Axis.Actual_Position_MCS,-327.96,2019-12-09 08:00:43.410
5dedff868e15b3086c29d136,12430012063.Z1_Axis.Actual_Position_MCS,-329.29,2019-12-09 08:00:43.603
5dedff868e15b3086c29d140,12430012063.Z1_Axis.Actual_Position_MCS,-331.07,2019-12-09 08:00:43.785
5dedff868e15b3086c29d14e,12430012063.Z1_Axis.Actual_Position_MCS,-332.85,2019-12-09 08:00:43.981
5dedff868e15b3086c29d15a,12430012063.Z1_Axis.Actual_Position_MCS,-334.64,2019-12-09 08:00:44.186
5dedff868e15b3086c29d166,12430012063.Z1_Axis.Actual_Position_MCS,-336.42,2019-12-09 08:00:44.390
5dedff878e15b3086c29d176,12430012063.Z1_Axis.Actual_Position_MCS,-336.52,2019-12-09 08:00:44.598
5dedff878e15b3086c29d190,12430012063.Z1_Axis.Actual_Position_MCS,-335.62,2019-12-09 08:00:45.196
5dedff878e15b3086c29d19e,12430012063.Z1_Axis.Actual_Position_MCS,-337.4,2019-12-09 08:00:45.388
5dedff888e15b3086c29d1aa,12430012063.Z1_Axis.Actual_Position_MCS,-339.18,2019-12-09 08:00:45.589
5dedff888e15b3086c29d1b8,12430012063.Z1_Axis.Actual_Position_MCS,-340.96,2019-12-09 08:00:45.785
5dedff888e15b3086c29d1c3,12430012063.Z1_Axis.Actual_Position_MCS,-342.75,2019-12-09 08:00:45.980
5dedff888e15b3086c29d1cf,12430012063.Z1_Axis.Actual_Position_MCS,-343.09,2019-12-09 08:00:46.190
5dedff898e15b3086c29d1ef,12430012063.Z1_Axis.Actual_Position_MCS,-341.96,2019-12-09 08:00:46.793
