,Unnamed: 0,12430012063.A1_Axis.Actual_Power,12430012063.Energy_Savings.Active_Power_Spindle1,12430012063.Energy_Savings.Active_Power_X1,12430012063.Energy_Savings.Active_Power_Z1,12430012063.Main_Spindle.Actual_Position_MCS,12430012063.Main_Spindle.Actual_Power,12430012063.Main_Spindle.Actual_Speed_Rate,12430012063.Main_Spindle.MPC_Peak,12430012063.Main_Spindle.MPC_Veff_Total,12430012063.Tool_Control_Center.Axial_Force_Compression,12430012063.Tool_Control_Center.Axial_Force_Tension,12430012063.Tool_Control_Center.Bending_Moment,12430012063.Tool_Control_Center.Symmetry,12430012063.X1_Axis.Actual_Power,12430012063.Y1_Axis.Actual_Power,12430012063.Z1_Axis.Actual_Feed_Rate,12430012063.Z1_Axis.Actual_Position_MCS,12430012063.Z1_Axis.Actual_Power,timeStamp,12430012063.Main_Spindle.Temperature_Spindle,12430012063.X1_Axis.Actual_Feed_Rate,12430012063.X1_Axis.Actual_Position_MCS,12430012063.Y1_Axis.Temperature_Y_Slide,12430012063.Maintenance_Package.Tool_Usage_Main_lubriTOOL,12430012063.Y1_Axis.Actual_Feed_Rate,12430012063.Y1_Axis.Actual_Position_MCS,12430012063.Energy_Savings.Active_Power_Y1,12430012063.C1_Axis.Actual_Power,12430012063.Maintenance_Package.Tool_Changer_Main,Messschraube,Messtaster,Grenzlehrdorn,Ebene,Bohrung
15,15,6.5,-10.272214285714286,115.7175,-15.637846153846095,178.11034482758626,0.5384615384615384,951.5,2.2,0.0,0.06999999999999999,0.05,0.5,0.2257142857142857,2.0,1.0,279.125,-309.48142857142864,24.91666666666667,2019-12-16 08:26:37.431,,3584.5,438.8,,,,,,,,i.O.,n.i.O.,i.O.,23,16
16,16,7.0,-12.783185185185184,0.0,452.8152142857143,186.4525,0.5,951.5,1.6,1.0,0.05000000000000001,0.05,0.5,0.16461538461538466,0.5,0.5,189.0,-312.7596296296296,20.8,2019-12-16 08:26:43.323,26.705,721.5,455.215,,,,,,,,i.O.,n.i.O.,i.O.,23,17
17,17,,-5.3690000000000015,-160.60566666666668,301.6103571428572,172.62689655172412,0.4444444444444444,951.5,2.2,0.75,0.05,0.05,0.75,0.17142857142857146,5.166666666666667,0.5,11.875,-309.5071428571428,15.454545454545455,2019-12-16 08:26:48.829,26.7,129.5,462.84,20.728,,90.0,,,,,i.O.,n.i.O.,i.O.,23,18
18,18,6.571428571428571,-16.43546428571429,401.06299999999993,-142.98933333333332,191.65700000000004,0.5,951.5,2.0,0.8333333333333334,0.11,,0.4,0.13076923076923078,12.25,1.8571428571428568,162.0,-308.74185185185183,15.7,2019-12-16 08:26:54.633,26.705,-12002.0,400.1033333333333,20.725,74.43,2199.5,-386.31,53.4325,,,n.i.O.,n.i.O.,i.O.,23,19
19,19,6.4,-9.942518518518519,257.82599999999996,-136.39939999999996,185.03103448275863,0.5,951.4375,2.0,1.0,0.1,,0.5555555555555556,0.21357142857142855,7.666666666666668,0.8,62.444444444444436,-309.5207142857144,21.0,2019-12-16 08:27:00.656,,4422.0,360.975,20.721999999999998,,,,,,,i.O.,n.i.O.,i.O.,23,20
20,20,6.5,-6.8481071428571445,-175.2675,345.35100000000006,177.44793103448276,0.5,951.5,1.6,1.0,0.08333333333333333,0.05,0.5,0.2107142857142857,2.5,0.8,406.0,-309.4825,25.0,2019-12-16 08:27:06.433,,3584.5,378.8,20.728,,,,,,,i.O.,n.i.O.,i.O.,23,21
21,21,6.666666666666668,-16.33414814814815,0.0,527.3876923076923,184.46249999999995,0.5,951.375,1.75,1.0,0.05000000000000001,0.05,0.5,0.1928571428571429,0.3333333333333333,0.5,273.5,-312.75703703703704,20.6,2019-12-16 08:27:12.275,26.675,721.5,395.215,,,,,,3.5,,i.O.,n.i.O.,i.O.,23,22
22,22,,-5.478535714285713,-50.97899999999999,181.8455625,171.96689655172418,0.5,951.5333333333333,2.2,0.3333333333333333,0.08333333333333333,,0.5,0.16071428571428573,7.25,0.75,115.88888888888887,-309.5042857142857,14.769230769230768,2019-12-16 08:27:17.832,26.672857142857147,129.5,402.84,,,,,,,,i.O.,n.i.O.,i.O.,23,23
23,23,,-4.26092592592593,291.6615,-129.75621428571426,189.21413793103446,0.5,951.4615384615383,2.2,1.0,0.1,,0.5,0.12923076923076926,13.0,1.0,-26.625,-308.7551851851852,15.636363636363635,2019-12-16 08:27:23.630,26.675,2418.5,418.535,,,,,,,,i.O.,i.O.,i.O.,23,24
24,24,6.0,5.162423076923082,0.0,116.72316666666666,181.6320689655172,0.5,951.5,2.0,0.3333333333333333,0.08,,0.5,0.13333333333333336,7.666666666666668,0.8,61.77777777777778,-309.52392857142866,20.30769230769231,2019-12-16 08:27:29.433,,4422.0,435.975,,,,,,,,i.O.,n.i.O.,i.O.,23,25
