,Unnamed: 0,12430012063.A1_Axis.Actual_Power,12430012063.Energy_Savings.Active_Power_Spindle1,12430012063.Energy_Savings.Active_Power_Z1,12430012063.Main_Spindle.Actual_Position_MCS,12430012063.Main_Spindle.Actual_Power,12430012063.Main_Spindle.Actual_Speed_Rate,12430012063.Main_Spindle.MPC_Peak,12430012063.Main_Spindle.MPC_Veff_Total,12430012063.Tool_Control_Center.Axial_Force_Tension,12430012063.Tool_Control_Center.Bending_Moment,12430012063.Tool_Control_Center.Symmetry,12430012063.X1_Axis.Actual_Power,12430012063.Y1_Axis.Actual_Power,12430012063.Z1_Axis.Actual_Feed_Rate,12430012063.Z1_Axis.Actual_Position_MCS,12430012063.Z1_Axis.Actual_Power,timeStamp,12430012063.Energy_Savings.Active_Power_X1,12430012063.X1_Axis.Actual_Feed_Rate,12430012063.X1_Axis.Actual_Position_MCS,12430012063.Main_Spindle.Temperature_Spindle,12430012063.Maintenance_Package.Tool_Usage_Main_lubriTOOL,12430012063.Tool_Control_Center.Axial_Force_Compression,12430012063.Y1_Axis.Actual_Feed_Rate,12430012063.Y1_Axis.Temperature_Y_Slide,12430012063.Energy_Savings.Active_Power_Y1,12430012063.Y1_Axis.Actual_Position_MCS,Messschraube,Messtaster,Grenzlehrdorn,Ebene,Bohrung
0,0,5.5,14.870326530612244,502.046,180.06852941176473,0.5,317.27777777777777,1.5,0.5,0.3611111111111111,2.333333333333333,0.17193548387096774,1.5,0.4,1832.3529411764707,-300.12692307692305,19.09090909090909,2019-11-26 12:47:55.117,,,,,,,,,,,i.O.,n.i.O.,i.O.,6,1
1,1,5.5,8.715872727272728,283.18149999999986,173.26699999999997,0.5277777777777778,317.1904761904762,1.0,1.0,0.7136363636363637,2.5,0.15742857142857142,9.5,0.6666666666666666,73.28571428571429,-297.7686956521739,16.130434782608695,2019-11-26 12:48:08.732,-69.0245,2096.0,365.145,,,,,,,,i.O.,n.i.O.,i.O.,6,2
2,2,5.5,3.195851851851852,-110.47015384615385,173.55028571428582,0.5,317.23529411764713,2.2857142857142856,1.0,0.38,0.7857142857142857,0.13806451612903226,8.666666666666666,0.8333333333333334,215.25,-297.7675362318841,14.695652173913045,2019-11-26 12:48:22.742,410.7625,4464.0,376.19,28.33363636363636,72.8,0.07777777777777778,,,,,i.O.,n.i.O.,i.O.,6,3
3,3,5.6,7.669920000000001,115.16874999999996,179.4160563380281,0.5238095238095238,317.5,1.3333333333333333,1.0,0.06000000000000001,0.5,0.1354285714285714,4.166666666666667,0.4,90.0,-297.79275362318845,12.65625,2019-11-26 12:48:36.745,4.0605,1440.0,389.29,,,0.06666666666666668,,,,,i.O.,i.O.,i.O.,6,4
4,4,5.333333333333333,13.493407407407409,494.24641666666673,182.208,0.5128205128205128,317.23076923076917,1.5,1.0,0.03333333333333333,0.5,0.1771428571428572,7.666666666666668,0.8333333333333334,-97.47368421052632,-297.7363768115942,14.214285714285715,2019-11-26 12:48:50.945,-78.4985,242.5,411.655,28.29333333333333,,0.10000000000000002,,,,,i.O.,n.i.O.,i.O.,6,5
5,5,5.6,14.663117647058822,412.8611818181818,179.32600000000005,0.5333333333333333,317.5,2.0,0.5,,0.5,0.12352941176470587,0.8571428571428571,0.7142857142857143,-26.73684210526316,-297.74666666666667,17.291666666666668,2019-11-26 12:49:04.990,-98.7995,3343.5,425.38,28.265,72.79,0.11,,,,,i.O.,n.i.O.,i.O.,6,6
6,6,5.5,16.28056603773585,-17.789923076923035,175.95385714285715,0.5588235294117647,317.3,2.4,1.0,,0.5,0.1465714285714286,5.0,0.8571428571428571,19.61111111111111,-297.7992753623189,16.652173913043477,2019-11-26 12:49:18.957,248.3525,4426.5,438.215,28.255,,0.15000000000000002,,,,,i.O.,n.i.O.,i.O.,6,7
7,7,5.5,3.2638297872340427,-216.68845454545453,186.0415492957747,0.5,317.22222222222223,1.5,0.5,,0.5,0.16393939393939394,4.5,0.8,243.0,-297.693768115942,13.59375,2019-11-26 12:49:32.960,240.45733333333337,2991.333333333333,452.79333333333335,28.235,72.78,0.15000000000000008,,,,,i.O.,i.O.,i.O.,6,8
8,8,5.5,5.752483333333334,195.83355555555562,179.1664285714286,0.4888888888888889,317.22222222222223,2.5,1.0,,0.5,0.14333333333333334,0.6153846153846154,2.0,66.0,-297.73550724637687,12.769230769230768,2019-11-26 12:49:47.162,0.0,0.0,471.68,28.2,,0.15000000000000002,1440.0,26.62,,,i.O.,n.i.O.,i.O.,6,9
9,9,5.5,10.607382978723408,484.9211538461538,179.73718309859157,0.5277777777777778,317.29411764705884,2.25,1.0,,0.5,0.16470588235294115,7.5,0.8571428571428571,-170.0,-297.77420289855075,14.0,2019-11-26 12:50:01.175,1262.7396666666666,-11969.0,374.22,28.17,,0.15000000000000005,1535.5,26.62,85.286,-399.765,i.O.,n.i.O.,i.O.,6,10
10,10,5.5,9.587392857142856,277.2754166666667,182.69464788732398,0.5142857142857142,317.2,2.5,1.0,,0.5,0.1357142857142857,12.666666666666664,0.42857142857142855,-85.15789473684211,-296.3880000000001,17.318181818181817,2019-11-26 12:50:15.372,118.19833333333332,4826.0,368.25,28.162857142857145,72.77,0.15555555555555556,,26.620000000000005,,,i.O.,n.i.O.,i.O.,6,11
