,12430012063.Energy_Savings.Active_Power_Spindle1,12430012063.Energy_Savings.Active_Power_Z1,12430012063.Main_Spindle.Actual_Position_MCS,12430012063.Main_Spindle.Actual_Power,12430012063.Main_Spindle.Actual_Speed_Rate,12430012063.Main_Spindle.MPC_Peak,12430012063.Main_Spindle.MPC_Veff_Total,12430012063.Maintenance_Package.Tool_Usage_Main_lubriTOOL,12430012063.Tool_Control_Center.Axial_Force_Tension,12430012063.Tool_Control_Center.Bending_Moment,12430012063.Tool_Control_Center.Symmetry,12430012063.X1_Axis.Actual_Power,12430012063.Y1_Axis.Actual_Power,12430012063.Z1_Axis.Actual_Feed_Rate,12430012063.Z1_Axis.Actual_Position_MCS,12430012063.Z1_Axis.Actual_Power,timeStamp,12430012063.A1_Axis.Actual_Power,12430012063.Energy_Savings.Active_Power_X1,12430012063.X1_Axis.Actual_Feed_Rate,12430012063.X1_Axis.Actual_Position_MCS,12430012063.Main_Spindle.Temperature_Spindle,12430012063.Y1_Axis.Temperature_Y_Slide,12430012063.Energy_Savings.Active_Power_Y1,12430012063.Y1_Axis.Actual_Feed_Rate,12430012063.Tool_Control_Center.Axial_Force_Compression,12430012063.Y1_Axis.Actual_Position_MCS,12430012063.C1_Axis.Actual_Power,Label
0,34.78209302325582,483.86699999999996,179.01666666666674,0.5909090909090909,951.5,0.8333333333333334,0.0,74.47,0.16,2.0,0.5328571428571428,0.5,1.0,5953.15,-303.0950000000001,22.733333333333334,2019-12-11 09:57:08.006,,,,,,,,,,,,-
1,-4.601960000000003,331.90670833333337,180.54526315789474,0.5217391304347826,951.4814814814815,1.6,0.5,,0.39999999999999997,2.5,0.5262500000000001,5.857142857142857,0.75,6.666666666666667,-292.71869565217395,21.96551724137931,2019-12-11 09:57:10.711,6.5,72.00199999999998,3603.2,359.46999999999997,,,,,,,,-
2,6.727982456140356,267.20399999999995,175.82757575757574,0.4782608695652174,951.5,1.0,1.0,,0.6499999999999999,,0.43714285714285717,8.4,1.0,-25.033333333333335,-296.8794117647059,21.03125,2019-12-11 09:57:14.148,6.5,97.71679999999998,3600.8,375.03999999999996,,,,,,,,-
3,-10.614696428571431,256.1593103448276,179.74076923076922,0.5,951.5,1.75,0.5,,0.8222222222222223,2.5,0.6111111111111112,7.111111111111111,0.8333333333333334,-181.2962962962963,-296.9184313725489,20.47222222222222,2019-12-11 09:57:17.607,6.5,101.2358,3601.2,389.68199999999996,,,,,,,,-
4,-9.94255555555556,269.19337037037036,173.59031746031744,0.5833333333333334,951.5,1.3333333333333333,0.5,,0.9,2.5,0.6085714285714285,10.25,0.75,-185.85714285714286,-295.248085106383,21.821428571428573,2019-12-11 09:57:21.054,7.0,53.3246,3598.2,404.92,27.24,23.895,,,,,,-
5,5.566870967741942,268.62821212121213,174.7355714285715,0.5,951.5,0.5,1.1666666666666667,,1.0333333333333332,3.0,0.5188888888888887,8.0,0.75,16.054054054054053,-296.33181818181833,19.525,2019-12-11 09:57:24.499,7.0,64.9642,3002.5,420.07,27.21,23.895,,,,,,-
6,-1.653017241379302,278.3473448275862,177.96718749999997,0.5217391304347826,951.5238095238095,1.75,0.0,,1.12,2.3333333333333335,0.42142857142857143,9.375,0.8333333333333334,-146.96296296296296,-295.9511320754717,20.34285714285714,2019-12-11 09:57:28.006,7.0,52.5126,4490.5,434.92,,,,,,,,-
7,-1.369666666666672,-138.29225925925934,189.83122807017546,0.47619047619047616,951.4782608695652,0.3333333333333333,1.0,,1.25,2.5,0.3022222222222222,9.5,0.8333333333333334,-3484.9310344827586,-297.2936170212767,18.833333333333332,2019-12-11 09:57:31.561,7.0,74.70879999999997,3044.6666666666665,450.526,,,,,,,,-
8,-11.939000000000007,181.81092592592594,172.11409090909092,0.5833333333333334,951.4615384615385,1.2,1.1428571428571428,,1.2833333333333332,1.3333333333333333,0.4766666666666667,9.833333333333334,1.7142857142857142,-260.13793103448273,-296.34888888888884,19.870967741935484,2019-12-11 09:57:34.919,7.166666666666667,99.0702,3541.4,465.515,,23.900000000000002,8.22,4.0,,,,-
9,-9.115819672131146,291.0243846153845,176.74437500000008,0.52,951.5217391304348,1.0,0.8,,0.4166666666666667,0.5,0.5475,28.3,2.75,-135.19230769230768,-295.33229166666666,20.53125,2019-12-11 09:57:38.506,7.5,531.7241250000002,-19869.285714285714,392.62,,23.892,58.42328571428572,2483.5714285714284,0.05,-402.9685714285714,,-
10,4.880818181818167,8.859166666666628,176.73227272727266,0.48,951.48,1.0,1.0,,0.0,0.5,0.6766666666666667,8.4,0.75,-1686.896551724138,-300.6237254901961,19.0,2019-12-11 09:57:42.015,6.5,57.114200000000004,3017.6666666666665,361.004,,23.900000000000002,,,0.05,,,-
11,-21.22925,272.10893103448274,187.9395384615385,0.5,951.5,1.3333333333333333,0.5,,0.05,,0.36166666666666664,3.2857142857142856,0.8,-130.22222222222223,-296.8419230769231,20.93548387096774,2019-12-11 09:57:45.543,6.5,47.91119999999999,4469.25,375.2175,,23.892,,,0.06000000000000001,,,-
12,-3.617886792452828,-110.79966666666668,188.68412698412692,0.5769230769230769,951.4615384615385,1.0,0.8,74.46,0.05,,0.504,2.6666666666666665,0.8333333333333334,-2882.409090909091,-299.2644897959183,18.84375,2019-12-11 09:57:48.922,7.0,110.16819999999998,3599.4,389.322,,23.900000000000002,,,0.04,,,-
