Unnamed: 0,12430012063.Energy_Savings.Active_Power_Spindle1,12430012063.Energy_Savings.Active_Power_Z1,12430012063.Main_Spindle.Actual_Position_MCS,12430012063.Main_Spindle.Actual_Power,12430012063.Main_Spindle.Actual_Speed_Rate,12430012063.Main_Spindle.MPC_Peak,12430012063.Main_Spindle.MPC_Veff_Total,12430012063.Maintenance_Package.Tool_Usage_Main_lubriTOOL,12430012063.Tool_Control_Center.Axial_Force_Tension,12430012063.Tool_Control_Center.Bending_Moment,12430012063.Tool_Control_Center.Symmetry,12430012063.X1_Axis.Actual_Power,12430012063.Y1_Axis.Actual_Power,12430012063.Z1_Axis.Actual_Feed_Rate,12430012063.Z1_Axis.Actual_Position_MCS,12430012063.Z1_Axis.Actual_Power,timeStamp,12430012063.A1_Axis.Actual_Power,12430012063.Energy_Savings.Active_Power_X1,12430012063.X1_Axis.Actual_Feed_Rate,12430012063.X1_Axis.Actual_Position_MCS,12430012063.Main_Spindle.Temperature_Spindle,12430012063.Y1_Axis.Temperature_Y_Slide,12430012063.Energy_Savings.Active_Power_Y1,12430012063.Y1_Axis.Actual_Feed_Rate,12430012063.Tool_Control_Center.Axial_Force_Compression,12430012063.Y1_Axis.Actual_Position_MCS,12430012063.C1_Axis.Actual_Power,Messschraube,Messtaster,Grenzlehrdorn,Ebene,Bohrung
0,34.78209302325582,483.867,179.01666666666677,0.5909090909090909,951.5,0.8333333333333334,0.0,74.47,0.16,2.0,0.5328571428571428,0.5,1.0,5953.15,-303.09500000000014,22.73333333333333,2019-12-11 09:57:08.006,,,,,,,,,,,,i.O.,n.i.O.,i.O.,21,1
1,-4.601960000000003,331.90670833333337,180.54526315789474,0.5217391304347826,951.4814814814816,1.6,0.5,,0.4,2.5,0.5262500000000001,5.857142857142858,0.75,6.666666666666668,-292.7186956521739,21.96551724137931,2019-12-11 09:57:10.711,6.5,72.00199999999998,3603.2,359.47,,,,,,,,n.i.O.,n.i.O.,i.O.,21,2
2,6.7279824561403565,267.20399999999995,175.82757575757577,0.4782608695652174,951.5,1.0,1.0,,0.6499999999999999,,0.4371428571428572,8.4,1.0,-25.03333333333333,-296.8794117647059,21.03125,2019-12-11 09:57:14.148,6.5,97.71679999999998,3600.8,375.04,,,,,,,,i.O.,n.i.O.,i.O.,21,3
3,-10.614696428571431,256.1593103448276,179.74076923076925,0.5,951.5,1.75,0.5,,0.8222222222222223,2.5,0.6111111111111112,7.111111111111112,0.8333333333333334,-181.2962962962963,-296.91843137254887,20.472222222222218,2019-12-11 09:57:17.607,6.5,101.2358,3601.2,389.682,,,,,,,,n.i.O.,n.i.O.,i.O.,21,4
4,-9.942555555555561,269.1933703703704,173.5903174603174,0.5833333333333334,951.5,1.3333333333333333,0.5,,0.9,2.5,0.6085714285714285,10.25,0.75,-185.85714285714286,-295.24808510638303,21.821428571428577,2019-12-11 09:57:21.054,7.0,53.3246,3598.2,404.92,27.24,23.895,,,,,,n.i.O.,n.i.O.,i.O.,21,5
5,5.5668709677419415,268.62821212121213,174.73557142857152,0.5,951.5,0.5,1.1666666666666667,,1.0333333333333332,3.0,0.5188888888888887,8.0,0.75,16.054054054054053,-296.3318181818184,19.525,2019-12-11 09:57:24.499,7.0,64.9642,3002.5,420.07,27.21,23.895,,,,,,n.i.O.,n.i.O.,i.O.,21,6
6,-1.6530172413793018,278.3473448275862,177.96718749999997,0.5217391304347826,951.5238095238096,1.75,0.0,,1.12,2.333333333333333,0.4214285714285714,9.375,0.8333333333333334,-146.96296296296296,-295.95113207547166,20.34285714285714,2019-12-11 09:57:28.006,7.0,52.5126,4490.5,434.92,,,,,,,,n.i.O.,n.i.O.,i.O.,21,7
7,-1.3696666666666721,-138.29225925925934,189.83122807017543,0.4761904761904762,951.4782608695652,0.3333333333333333,1.0,,1.25,2.5,0.3022222222222222,9.5,0.8333333333333334,-3484.9310344827586,-297.2936170212767,18.83333333333333,2019-12-11 09:57:31.561,7.0,74.70879999999997,3044.666666666666,450.526,,,,,,,,n.i.O.,n.i.O.,i.O.,21,8
8,-11.939000000000007,181.81092592592597,172.11409090909092,0.5833333333333334,951.4615384615383,1.2,1.1428571428571428,,1.2833333333333332,1.3333333333333333,0.4766666666666667,9.833333333333334,1.7142857142857142,-260.1379310344828,-296.34888888888884,19.870967741935484,2019-12-11 09:57:34.919,7.166666666666668,99.0702,3541.4,465.515,,23.9,8.22,4.0,,,,n.i.O.,n.i.O.,i.O.,21,9
9,-9.115819672131146,291.02438461538446,176.74437500000008,0.52,951.5217391304348,1.0,0.8,,0.4166666666666667,0.5,0.5475,28.3,2.75,-135.19230769230768,-295.33229166666666,20.53125,2019-12-11 09:57:38.506,7.5,531.7241250000002,-19869.285714285714,392.62,,23.892,58.42328571428572,2483.5714285714284,0.05,-402.9685714285714,,n.i.O.,n.i.O.,i.O.,21,10
10,4.880818181818167,8.859166666666628,176.73227272727266,0.48,951.48,1.0,1.0,,0.0,0.5,0.6766666666666667,8.4,0.75,-1686.896551724138,-300.62372549019614,19.0,2019-12-11 09:57:42.015,6.5,57.1142,3017.666666666666,361.004,,23.9,,,0.05,,,n.i.O.,n.i.O.,n.i.O.,21,11
11,-21.22925,272.10893103448274,187.93953846153852,0.5,951.5,1.3333333333333333,0.5,,0.05,,0.3616666666666665,3.2857142857142856,0.8,-130.22222222222223,-296.84192307692314,20.93548387096774,2019-12-11 09:57:45.543,6.5,47.911199999999994,4469.25,375.2175,,23.892,,,0.06000000000000001,,,n.i.O.,n.i.O.,i.O.,21,12
12,-3.617886792452828,-110.79966666666668,188.6841269841269,0.5769230769230769,951.4615384615383,1.0,0.8,74.46,0.05,,0.504,2.6666666666666665,0.8333333333333334,-2882.409090909091,-299.26448979591834,18.84375,2019-12-11 09:57:48.922,7.0,110.16819999999998,3599.4,389.32199999999995,,23.9,,,0.04,,,n.i.O.,n.i.O.,i.O.,21,13
13,-19.898396226415095,237.85618749999992,176.30693548387097,0.5,951.4814814814816,1.0,1.0,,,,0.5562499999999999,10.375,0.8,-3.4814814814814814,-295.40833333333336,21.181818181818183,2019-12-11 09:57:52.459,7.0,90.4084,3600.8,404.44199999999995,,23.895,,,0.1,,,i.O.,n.i.O.,i.O.,21,14
14,6.62396363636364,118.40270967741932,187.8750769230769,0.5,951.52,1.0,1.0,,0.05,,0.5262500000000001,8.5,0.8333333333333334,-2678.3214285714284,-300.58313725490206,18.818181818181817,2019-12-11 09:57:55.864,7.0,92.8446,3600.8,419.44199999999995,,23.895,,,0.05000000000000001,,,i.O.,n.i.O.,i.O.,21,15
15,-10.248551724137924,246.37125806451604,180.2263076923077,0.52,951.4782608695652,1.0,0.5,,0.05,0.5,0.42777777777777776,8.5,0.8571428571428571,-265.2121212121212,-294.8654901960785,18.65714285714286,2019-12-11 09:57:59.327,7.166666666666668,87.70139999999998,3077.166666666666,435.23,,23.892,,,0.1,,,n.i.O.,n.i.O.,i.O.,21,16
16,-6.746666666666666,198.2512592592593,180.67507692307697,0.4782608695652174,951.4615384615383,2.0,0.5,,0.05,0.5,0.4844444444444445,13.5,0.8,-3.294117647058824,-297.8047272727273,22.66666666666667,2019-12-11 09:58:02.812,7.166666666666668,105.90524999999998,4382.75,450.96,27.195,23.91,,,,,,i.O.,n.i.O.,i.O.,21,17
17,-2.8943773584905683,385.3545,185.52140625,0.52,951.4782608695652,1.1666666666666667,1.0,,0.05,,0.4950000000000001,9.333333333333334,0.8,-1028.5625,-299.54648148148146,20.516129032258068,2019-12-11 09:58:06.262,7.5,94.19800000000002,3600.8,464.44199999999995,27.195,23.895,,,0.05,,,n.i.O.,n.i.O.,i.O.,21,18
18,-6.3915833333333305,253.57341666666667,169.6393939393939,0.4814814814814815,951.5,1.0,1.0,,0.05,,0.6177777777777776,24.0,2.526315789473684,-1495.142857142857,-299.4867924528301,19.193548387096776,2019-12-11 09:58:09.674,7.5,541.217,-16000.333333333336,404.40222222222224,27.19,23.895,53.68925,2000.0,0.05000000000000001,-389.4422222222222,,i.O.,n.i.O.,i.O.,21,19
