_id,ValueID,value,timeStamp
5df0b0c78e15b328ac0e9058,12430012063.Z1_Axis.Actual_Position_MCS,-0.78,2019-12-11 09:02:17.441
5df0b0c78e15b328ac0e906c,12430012063.Z1_Axis.Actual_Position_MCS,-3.72,2019-12-11 09:02:17.493
5df0b0d08e15b328ac0e927f,12430012063.Z1_Axis.Actual_Position_MCS,-4.39,2019-12-11 09:02:26.664
5df0b0d08e15b328ac0e928f,12430012063.Z1_Axis.Actual_Position_MCS,-11.61,2019-12-11 09:02:26.714
5df0b0d08e15b328ac0e929a,12430012063.Z1_Axis.Actual_Position_MCS,-25.89,2019-12-11 09:02:26.839
5df0b0d08e15b328ac0e92a8,12430012063.Z1_Axis.Actual_Position_MCS,-42.29,2019-12-11 09:02:26.864
5df0b0d08e15b328ac0e92b5,12430012063.Z1_Axis.Actual_Position_MCS,-51.15,2019-12-11 09:02:26.900
5df0b0d08e15b328ac0e92c0,12430012063.Z1_Axis.Actual_Position_MCS,-52.87,2019-12-11 09:02:27.054
5df0b0d08e15b328ac0e92cb,12430012063.Z1_Axis.Actual_Position_MCS,-77.23,2019-12-11 09:02:27.078
5df0b0d18e15b328ac0e92e1,12430012063.Z1_Axis.Actual_Position_MCS,-94.43,2019-12-11 09:02:27.293
5df0b0d18e15b328ac0e92ec,12430012063.Z1_Axis.Actual_Position_MCS,-117.65,2019-12-11 09:02:27.330
5df0b0d18e15b328ac0e92f6,12430012063.Z1_Axis.Actual_Position_MCS,-118.29,2019-12-11 09:02:27.432
5df0b0d18e15b328ac0e9301,12430012063.Z1_Axis.Actual_Position_MCS,-122.94,2019-12-11 09:02:27.476
5df0b0d18e15b328ac0e930f,12430012063.Z1_Axis.Actual_Position_MCS,-132.69,2019-12-11 09:02:27.525
5df0b0d18e15b328ac0e9319,12430012063.Z1_Axis.Actual_Position_MCS,-145.35,2019-12-11 09:02:27.547
5df0b0d18e15b328ac0e9322,12430012063.Z1_Axis.Actual_Position_MCS,-159.21,2019-12-11 09:02:27.600
5df0b0d18e15b328ac0e932e,12430012063.Z1_Axis.Actual_Position_MCS,-172.01,2019-12-11 09:02:27.690
5df0b0d18e15b328ac0e9335,12430012063.Z1_Axis.Actual_Position_MCS,-185.88,2019-12-11 09:02:27.721
5df0b0d18e15b328ac0e933b,12430012063.Z1_Axis.Actual_Position_MCS,-198.68,2019-12-11 09:02:27.753
5df0b0d18e15b328ac0e9344,12430012063.Z1_Axis.Actual_Position_MCS,-212.55,2019-12-11 09:02:27.793
5df0b0d18e15b328ac0e934b,12430012063.Z1_Axis.Actual_Position_MCS,-225.35,2019-12-11 09:02:27.833
5df0b0d18e15b328ac0e9356,12430012063.Z1_Axis.Actual_Position_MCS,-239.17,2019-12-11 09:02:27.885
5df0b0d18e15b328ac0e9363,12430012063.Z1_Axis.Actual_Position_MCS,-249.33,2019-12-11 09:02:27.944
