Date,Time,Program,Workpiece no.,Testpoint,Plane,Probe no.,Cycle,S_MVAR,Measuring variant,Results,Setpoint,Measured,Difference,Unit
2019-11-20,12:15:20,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,X           ,75.0,74.984,-0.016,mm
2019-11-20,12:15:20,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Y           ,30.0,30.006,0.006,mm
2019-11-20,12:15:20,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Diameter    ,12.009,12.019,0.01,mm
2019-11-20,12:15:25,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,X           ,90.0,89.998,-0.002,mm
2019-11-20,12:15:25,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Y           ,30.0,30.009,0.009,mm
2019-11-20,12:15:25,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Diameter    ,12.009,12.019,0.01,mm
2019-11-20,12:15:30,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,X           ,105.0,104.994,-0.006,mm
2019-11-20,12:15:30,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Y           ,30.0,30.0,-0.0,mm
2019-11-20,12:15:30,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Diameter    ,12.009,12.017,0.008,mm
2019-11-20,12:15:35,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,X           ,120.0,119.992,-0.008,mm
2019-11-20,12:15:35,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Y           ,30.0,30.011,0.011,mm
2019-11-20,12:15:35,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Diameter    ,12.009,12.017,0.008,mm
2019-11-20,12:15:40,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,X           ,135.0,135.012,0.012,mm
2019-11-20,12:15:40,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Y           ,30.0,29.994,-0.006,mm
2019-11-20,12:15:40,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Diameter    ,12.009,12.021,0.012,mm
2019-11-20,12:15:48,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,X           ,15.0,14.998,-0.002,mm
2019-11-20,12:15:48,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Y           ,45.0,45.001,0.001,mm
2019-11-20,12:15:48,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Diameter    ,12.009,12.021,0.012,mm
2019-11-20,12:15:53,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,X           ,30.0,30.002,0.002,mm
2019-11-20,12:15:53,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Y           ,45.0,44.993,-0.007,mm
2019-11-20,12:15:53,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Diameter    ,12.009,12.021,0.012,mm
2019-11-20,12:15:58,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,X           ,45.0,44.99,-0.01,mm
2019-11-20,12:15:58,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Y           ,45.0,45.008,0.008,mm
2019-11-20,12:15:58,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Diameter    ,12.009,12.016,0.007,mm
2019-11-20,12:16:02,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,X           ,60.0,60.007,0.007,mm
2019-11-20,12:16:02,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Y           ,45.0,45.013,0.013,mm
2019-11-20,12:16:02,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Diameter    ,12.009,12.017,0.008,mm
2019-11-20,12:16:07,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,X           ,75.0,74.984,-0.016,mm
2019-11-20,12:16:07,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Y           ,45.0,45.014,0.014,mm
2019-11-20,12:16:07,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Diameter    ,12.009,12.02,0.011,mm
2019-11-20,12:16:12,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,X           ,90.0,89.996,-0.004,mm
2019-11-20,12:16:12,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Y           ,45.0,44.998,-0.002,mm
2019-11-20,12:16:12,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Diameter    ,12.009,12.017,0.008,mm
2019-11-20,12:16:17,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,X           ,105.0,105.002,0.002,mm
2019-11-20,12:16:17,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Y           ,45.0,44.996,-0.004,mm
2019-11-20,12:16:17,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Diameter    ,12.009,12.019,0.01,mm
2019-11-20,12:16:22,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,X           ,120.0,120.002,0.002,mm
2019-11-20,12:16:22,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Y           ,45.0,44.994,-0.006,mm
2019-11-20,12:16:22,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Diameter    ,12.009,12.019,0.01,mm
2019-11-20,12:16:27,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,X           ,135.0,135.005,0.005,mm
2019-11-20,12:16:27,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Y           ,45.0,44.999,-0.0,mm
2019-11-20,12:16:27,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Diameter    ,12.009,12.019,0.01,mm
2019-11-20,12:16:35,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,X           ,15.0,14.99,-0.01,mm
2019-11-20,12:16:35,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Y           ,60.0,60.002,0.002,mm
2019-11-20,12:16:35,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Diameter    ,12.009,12.019,0.01,mm
2019-11-20,12:16:40,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,X           ,30.0,29.987,-0.013,mm
2019-11-20,12:16:40,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Y           ,60.0,60.002,0.002,mm
2019-11-20,12:16:40,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Diameter    ,12.009,12.019,0.01,mm
2019-11-20,12:16:45,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,X           ,45.0,44.98,-0.02,mm
2019-11-20,12:16:45,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Y           ,60.0,60.005,0.005,mm
2019-11-20,12:16:45,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Diameter    ,12.009,12.018,0.009,mm
2019-11-20,12:16:50,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,X           ,60.0,60.006,0.006,mm
2019-11-20,12:16:50,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Y           ,60.0,60.001,0.001,mm
2019-11-20,12:16:50,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Diameter    ,12.009,12.019,0.01,mm
2019-11-20,12:16:54,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,X           ,75.0,74.99,-0.01,mm
2019-11-20,12:16:54,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Y           ,60.0,60.01,0.01,mm
2019-11-20,12:16:54,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Diameter    ,12.009,12.016,0.007,mm
2019-11-20,12:16:59,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,X           ,90.0,89.982,-0.018,mm
2019-11-20,12:16:59,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Y           ,60.0,59.985,-0.015,mm
2019-11-20,12:16:59,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Diameter    ,12.009,12.018,0.009,mm
2019-11-20,12:17:04,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,X           ,105.0,104.986,-0.014,mm
2019-11-20,12:17:04,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Y           ,60.0,60.0,0.0,mm
2019-11-20,12:17:04,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Diameter    ,12.009,12.02,0.011,mm
2019-11-20,12:17:09,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,X           ,120.0,119.992,-0.008,mm
2019-11-20,12:17:09,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Y           ,60.0,59.998,-0.002,mm
