Messungen Bohrung 12H7;;;;;;;;
Bezeichnung:;;;;;;;;
0101;;;> Ebene 1 Bohrung 1;;;;;
0102;;;> Ebene 1 Bohrung 2;;;;;
0201;;;> Ebene 2 Bohrung 1;;;;;
;;;;;;;;
;;;;;;;;
Bezeichnung Bohrung;Ebene;Bohrung;Messwert Innenmessschraube;Messwert Messtaster;Klassifizierung nach Messchraube;Klassifizierung nach Messtaster;Klassifizierung nach Grenzlehrdorn;
0602;6;2;12,013;12,022;i.O.;n.i.O.;i.O.;
0603;6;3;12,013;12,02;i.O.;n.i.O.;i.O.;
0604;6;4;12,011;12,017;i.O.;i.O.;i.O.;
0605;6;5;12,013;12,021;i.O.;n.i.O.;i.O.;
0606;6;6;12,012;12,019;i.O.;n.i.O.;i.O.;
0607;6;7;12,012;12,022;i.O.;n.i.O.;i.O.;
0608;6;8;12,012;12,018;i.O.;i.O.;i.O.;
0609;6;9;12,014;12,023;i.O.;n.i.O.;i.O.;
0610;6;10;12,012;12,022;i.O.;n.i.O.;i.O.;
0611;6;11;12,012;12,022;i.O.;n.i.O.;i.O.;
0612;6;12;12,013;12,022;i.O.;n.i.O.;i.O.;
0613;6;13;12,013;12,017;i.O.;i.O.;i.O.;
0614;6;14;12,011;12,018;i.O.;i.O.;i.O.;
0615;6;15;12,011;12,021;i.O.;n.i.O.;i.O.;
0616;6;16;12,012;12,021;i.O.;n.i.O.;i.O.;
0617;6;17;12,012;12,021;i.O.;n.i.O.;i.O.;
0618;6;18;12,012;12,018;i.O.;i.O.;i.O.;
0619;6;19;12,012;12,019;i.O.;n.i.O.;i.O.;
0620;6;20;12,012;12,022;i.O.;n.i.O.;i.O.;
0621;6;21;12,012;12,02;i.O.;n.i.O.;i.O.;
0622;6;22;12,012;12,022;i.O.;n.i.O.;i.O.;
0623;6;23;12,013;12,021;i.O.;n.i.O.;i.O.;
0624;6;24;12,012;12,024;i.O.;n.i.O.;i.O.;
0625;6;25;12,011;12,023;i.O.;n.i.O.;i.O.;
0626;6;26;12,011;12,021;i.O.;n.i.O.;i.O.;
0627;6;27;12,012;12,022;i.O.;n.i.O.;i.O.;
0628;6;28;12,012;12,026;i.O.;n.i.O.;i.O.;
0629;6;29;12,011;12,02;i.O.;n.i.O.;i.O.;
0630;6;30;12,011;12,021;i.O.;n.i.O.;i.O.;
0631;6;31;12,011;12,017;i.O.;i.O.;i.O.;
0632;6;32;12,01;12,02;i.O.;n.i.O.;i.O.;
0633;6;33;12,011;12,017;i.O.;i.O.;i.O.;
0634;6;34;12,01;12,019;i.O.;n.i.O.;i.O.;
0635;6;35;12,011;12,02;i.O.;n.i.O.;i.O.;
0636;6;36;12,012;12,018;i.O.;i.O.;i.O.;
0637;6;37;12,012;12,023;i.O.;n.i.O.;i.O.;
0638;6;38;12,011;12,02;i.O.;n.i.O.;i.O.;
0639;6;39;12,013;12,022;i.O.;n.i.O.;i.O.;
0640;6;40;12,013;12,02;i.O.;n.i.O.;i.O.;
0641;6;41;12,012;12,02;i.O.;n.i.O.;i.O.;
0642;6;42;12,012;12,021;i.O.;n.i.O.;i.O.;
0643;6;43;12,011;12,02;i.O.;n.i.O.;i.O.;
0644;6;44;12,012;12,019;i.O.;n.i.O.;i.O.;
0645;6;45;12,012;12,019;i.O.;n.i.O.;i.O.;
0646;6;46;12,011;12,021;i.O.;n.i.O.;i.O.;
0647;6;47;12,011;12,018;i.O.;i.O.;i.O.;
0648;6;48;12,011;12,021;i.O.;n.i.O.;i.O.;
0649;6;49;12,012;12,02;i.O.;n.i.O.;i.O.;
0650;6;50;12,012;12,02;i.O.;n.i.O.;i.O.;
0651;6;51;12,011;12,019;i.O.;n.i.O.;i.O.;
0652;6;52;12,011;12,021;i.O.;n.i.O.;i.O.;
0653;6;53;12,011;12,018;i.O.;i.O.;i.O.;
0654;6;54;12,01;12,021;i.O.;n.i.O.;i.O.;
0655;6;55;12,011;12,02;i.O.;n.i.O.;i.O.;
0656;6;56;12,01;12,023;i.O.;n.i.O.;i.O.;
0657;6;57;12,01;12,017;i.O.;i.O.;i.O.;
0658;6;58;12,01;12,017;i.O.;i.O.;i.O.;
0659;6;59;12,011;12,018;i.O.;i.O.;i.O.;
0660;6;60;12,01;12,017;i.O.;i.O.;i.O.;
0661;6;61;12,01;12,02;i.O.;n.i.O.;i.O.;
0662;6;62;12,01;12,015;i.O.;i.O.;i.O.;
0663;6;63;12,011;12,023;i.O.;n.i.O.;i.O.;
0664;6;64;12,011;12,019;i.O.;n.i.O.;i.O.;
0665;6;65;12,012;12,023;i.O.;n.i.O.;i.O.;
0666;6;66;12,01;12,019;i.O.;n.i.O.;i.O.;
0667;6;67;12,011;12,021;i.O.;n.i.O.;i.O.;
0668;6;68;12,01;12,016;i.O.;i.O.;i.O.;
0669;6;69;12,01;12,021;i.O.;n.i.O.;i.O.;
0670;6;70;12,011;12,022;i.O.;n.i.O.;i.O.;
0671;6;71;12,01;12,021;i.O.;n.i.O.;i.O.;
0672;6;72;12,01;12,018;i.O.;i.O.;i.O.;
0673;6;73;12,011;12,019;i.O.;n.i.O.;i.O.;
0674;6;74;12,012;12,016;i.O.;i.O.;i.O.;
0675;6;75;12,012;12,019;i.O.;n.i.O.;i.O.;
0676;6;76;12,012;12,019;i.O.;n.i.O.;i.O.;
0677;6;77;12,011;12,018;i.O.;i.O.;i.O.;
0678;6;78;12,011;12,023;i.O.;n.i.O.;i.O.;
0679;6;79;12,011;12,018;i.O.;i.O.;i.O.;
0680;6;80;12,011;12,019;i.O.;n.i.O.;i.O.;
0681;6;81;12,013;12,019;i.O.;n.i.O.;i.O.;
0701;7;1;12,012;12,022;i.O.;n.i.O.;i.O.;
0702;7;2;12,011;12,02;i.O.;n.i.O.;i.O.;
0703;7;3;12,011;12,019;i.O.;n.i.O.;i.O.;
0704;7;4;12,011;12,019;i.O.;n.i.O.;i.O.;
0705;7;5;12,01;12,02;i.O.;n.i.O.;i.O.;
0706;7;6;12,011;12,019;i.O.;n.i.O.;i.O.;
0707;7;7;12,01;12,027;i.O.;n.i.O.;i.O.;
0708;7;8;12,012;12,023;i.O.;n.i.O.;i.O.;
0709;7;9;12,011;12,021;i.O.;n.i.O.;i.O.;
0710;7;10;12,011;12,02;i.O.;n.i.O.;i.O.;
0711;7;11;12,012;12,021;i.O.;n.i.O.;i.O.;
0712;7;12;12,011;12,027;i.O.;n.i.O.;i.O.;
0713;7;13;12,012;12,022;i.O.;n.i.O.;i.O.;
0714;7;14;12,012;12,02;i.O.;n.i.O.;i.O.;
0715;7;15;12,011;12,025;i.O.;n.i.O.;i.O.;
0716;7;16;12,011;12,021;i.O.;n.i.O.;i.O.;
0717;7;17;12,011;12,022;i.O.;n.i.O.;i.O.;
0718;7;18;12,011;12,027;i.O.;n.i.O.;i.O.;
0719;7;19;12,011;12,02;i.O.;n.i.O.;i.O.;
0720;7;20;12,012;12,02;i.O.;n.i.O.;i.O.;
0721;7;21;12,013;12,021;i.O.;n.i.O.;i.O.;
0722;7;22;12,011;12,018;i.O.;i.O.;i.O.;
0723;7;23;12,011;12,021;i.O.;n.i.O.;i.O.;
0724;7;24;12,012;12,023;i.O.;n.i.O.;i.O.;
0725;7;25;12,012;12,028;i.O.;n.i.O.;i.O.;
0726;7;26;12,011;12,023;i.O.;n.i.O.;i.O.;
0727;7;27;12,011;12,018;i.O.;i.O.;i.O.;
0728;7;28;12,011;12,021;i.O.;n.i.O.;i.O.;
0729;7;29;12,01;12,02;i.O.;n.i.O.;i.O.;
0730;7;30;12,011;12,025;i.O.;n.i.O.;i.O.;
0731;7;31;12,011;12,021;i.O.;n.i.O.;i.O.;
0732;7;32;12,011;12,016;i.O.;i.O.;i.O.;
0733;7;33;12,011;12,023;i.O.;n.i.O.;i.O.;
0734;7;34;12,011;12,027;i.O.;n.i.O.;i.O.;
0735;7;35;12,011;12,02;i.O.;n.i.O.;i.O.;
0736;7;36;12,012;12,022;i.O.;n.i.O.;i.O.;
0737;7;37;12,012;12,02;i.O.;n.i.O.;i.O.;
0738;7;38;12,012;12,018;i.O.;i.O.;i.O.;
0739;7;39;12,01;12,017;i.O.;i.O.;i.O.;
0740;7;40;12,012;12,017;i.O.;i.O.;i.O.;
0741;7;41;12,012;12,019;i.O.;n.i.O.;i.O.;
0742;7;42;12,01;12,019;i.O.;n.i.O.;i.O.;
0743;7;43;12,009;12,018;i.O.;i.O.;i.O.;
0744;7;44;12,012;12,018;i.O.;i.O.;i.O.;
0745;7;45;12,012;12,018;i.O.;i.O.;i.O.;
0746;7;46;12,012;12,02;i.O.;n.i.O.;i.O.;
0747;7;47;12,012;12,024;i.O.;n.i.O.;i.O.;
0748;7;48;12,012;12,024;i.O.;n.i.O.;i.O.;
0749;7;49;12,012;12,022;i.O.;n.i.O.;i.O.;
0750;7;50;12,012;12,019;i.O.;n.i.O.;i.O.;
0751;7;51;12,012;12,023;i.O.;n.i.O.;i.O.;
0752;7;52;12,013;12,022;i.O.;n.i.O.;i.O.;
0753;7;53;12,011;12,021;i.O.;n.i.O.;i.O.;
0754;7;54;12,012;12,022;i.O.;n.i.O.;i.O.;
0755;7;55;12,012;12,02;i.O.;n.i.O.;i.O.;
0756;7;56;12,011;12,02;i.O.;n.i.O.;i.O.;
0757;7;57;12,012;12,019;i.O.;n.i.O.;i.O.;
0758;7;58;12,011;12,02;i.O.;n.i.O.;i.O.;
0759;7;59;12,013;12,02;i.O.;n.i.O.;i.O.;
0760;7;60;12,013;12,022;i.O.;n.i.O.;i.O.;
0761;7;61;12,013;12,02;i.O.;n.i.O.;i.O.;
0762;7;62;12,012;12,02;i.O.;n.i.O.;i.O.;
0763;7;63;12,014;12,019;i.O.;n.i.O.;i.O.;
0764;7;64;12,013;12,021;i.O.;n.i.O.;i.O.;
0765;7;65;12,014;12,022;i.O.;n.i.O.;i.O.;
0766;7;66;12,013;12,02;i.O.;n.i.O.;i.O.;
0767;7;67;12,012;12,021;i.O.;n.i.O.;i.O.;
0768;7;68;12,013;12,023;i.O.;n.i.O.;i.O.;
0769;7;69;12,014;12,021;i.O.;n.i.O.;i.O.;
0770;7;70;12,011;12,017;i.O.;i.O.;i.O.;
0771;7;71;12,012;12,021;i.O.;n.i.O.;i.O.;
0772;7;72;12,012;12,023;i.O.;n.i.O.;i.O.;
0773;7;73;12,012;12,018;i.O.;i.O.;i.O.;
0774;7;74;12,013;12,021;i.O.;n.i.O.;i.O.;
0775;7;75;12,012;12,023;i.O.;n.i.O.;i.O.;
0776;7;76;12,014;12,019;i.O.;n.i.O.;i.O.;
0777;7;77;12,013;12,019;i.O.;n.i.O.;i.O.;
0778;7;78;12,013;12,023;i.O.;n.i.O.;i.O.;
0779;7;79;12,012;12,02;i.O.;n.i.O.;i.O.;
0780;7;80;12,012;12,023;i.O.;n.i.O.;i.O.;
0781;7;81;12,012;12,02;i.O.;n.i.O.;i.O.;
0801;8;1;12,012;12,02;i.O.;n.i.O.;i.O.;
0802;8;2;12,014;12,023;i.O.;n.i.O.;i.O.;
0803;8;3;12,013;12,025;i.O.;n.i.O.;i.O.;
0804;8;4;12,013;12,021;i.O.;n.i.O.;i.O.;
0805;8;5;12,012;12,022;i.O.;n.i.O.;i.O.;
0806;8;6;12,013;12,018;i.O.;i.O.;i.O.;
0807;8;7;12,013;12,021;i.O.;n.i.O.;i.O.;
0808;8;8;12,012;12,019;i.O.;n.i.O.;i.O.;
0809;8;9;12,013;12,026;i.O.;n.i.O.;i.O.;
0810;8;10;12,012;12,021;i.O.;n.i.O.;i.O.;
0811;8;11;12,013;12,02;i.O.;n.i.O.;i.O.;
0812;8;12;12,013;12,019;i.O.;n.i.O.;i.O.;
0813;8;13;12,012;12,018;i.O.;i.O.;i.O.;
0814;8;14;12,012;12,019;i.O.;n.i.O.;i.O.;
0815;8;15;12,012;12,018;i.O.;i.O.;i.O.;
0816;8;16;12,013;12,019;i.O.;n.i.O.;i.O.;
0817;8;17;12,014;12,02;i.O.;n.i.O.;i.O.;
0818;8;18;12,013;12,023;i.O.;n.i.O.;i.O.;
0819;8;19;12,013;12,031;i.O.;n.i.O.;i.O.;
0820;8;20;12,013;12,021;i.O.;n.i.O.;i.O.;
0821;8;21;12,011;12,022;i.O.;n.i.O.;i.O.;
0822;8;22;12,012;12,022;i.O.;n.i.O.;i.O.;
0823;8;23;12,013;12,021;i.O.;n.i.O.;i.O.;
0824;8;24;12,013;12,021;i.O.;n.i.O.;i.O.;
0825;8;25;12,014;12,023;i.O.;n.i.O.;i.O.;
0826;8;26;12,012;12,021;i.O.;n.i.O.;i.O.;
0827;8;27;12,013;12,021;i.O.;n.i.O.;i.O.;
0828;8;28;12,014;12,019;i.O.;n.i.O.;i.O.;
0829;8;29;12,013;12,021;i.O.;n.i.O.;i.O.;
0830;8;30;12,012;12,019;i.O.;n.i.O.;i.O.;
0831;8;31;12,013;12,02;i.O.;n.i.O.;i.O.;
0832;8;32;12,012;12,025;i.O.;n.i.O.;i.O.;
0833;8;33;12,012;12,021;i.O.;n.i.O.;i.O.;
0834;8;34;12,011;12,02;i.O.;n.i.O.;i.O.;
0835;8;35;12,012;12,016;i.O.;i.O.;i.O.;
0836;8;36;12,013;12,019;i.O.;n.i.O.;i.O.;
0837;8;37;12,012;12,018;i.O.;i.O.;i.O.;
0838;8;38;12,013;12,02;i.O.;n.i.O.;i.O.;
0839;8;39;12,013;12,02;i.O.;n.i.O.;i.O.;
0840;8;40;12,011;12,018;i.O.;i.O.;i.O.;
0841;8;41;12,012;12,019;i.O.;n.i.O.;i.O.;
0842;8;42;12,012;12,019;i.O.;n.i.O.;i.O.;
0843;8;43;12,012;12,02;i.O.;n.i.O.;i.O.;
0844;8;44;12,012;12,019;i.O.;n.i.O.;i.O.;
0845;8;45;12,013;12,022;i.O.;n.i.O.;i.O.;
0846;8;46;12,011;12,019;i.O.;n.i.O.;i.O.;
0847;8;47;12,011;12,019;i.O.;n.i.O.;i.O.;
0848;8;48;12,012;12,02;i.O.;n.i.O.;i.O.;
0849;8;49;12,011;12,019;i.O.;n.i.O.;i.O.;
0850;8;50;12,013;12,021;i.O.;n.i.O.;i.O.;
0851;8;51;12,011;12,021;i.O.;n.i.O.;i.O.;
0852;8;52;12,012;12,02;i.O.;n.i.O.;i.O.;
0853;8;53;12,011;12,02;i.O.;n.i.O.;i.O.;
0854;8;54;12,013;12,021;i.O.;n.i.O.;i.O.;
0855;8;55;12,011;12,023;i.O.;n.i.O.;i.O.;
0856;8;56;12,011;12,021;i.O.;n.i.O.;i.O.;
0857;8;57;12,011;12,021;i.O.;n.i.O.;i.O.;
0858;8;58;12,012;12,02;i.O.;n.i.O.;i.O.;
0859;8;59;12,012;12,019;i.O.;n.i.O.;i.O.;
0860;8;60;12,012;12,021;i.O.;n.i.O.;i.O.;
0861;8;61;12,011;12,02;i.O.;n.i.O.;i.O.;
0862;8;62;12,012;12,02;i.O.;n.i.O.;i.O.;
0863;8;63;12,012;12,023;i.O.;n.i.O.;i.O.;
0864;8;64;12,013;12,02;i.O.;n.i.O.;i.O.;
0865;8;65;12,011;12,019;i.O.;n.i.O.;i.O.;
0866;8;66;12,012;12,019;i.O.;n.i.O.;i.O.;
0867;8;67;12,012;12,024;i.O.;n.i.O.;i.O.;
0868;8;68;12,012;12,019;i.O.;n.i.O.;i.O.;
0869;8;69;12,011;12,022;i.O.;n.i.O.;i.O.;
0870;8;70;12,011;12,021;i.O.;n.i.O.;i.O.;
0871;8;71;12,012;12,021;i.O.;n.i.O.;i.O.;
0872;8;72;12,012;12,022;i.O.;n.i.O.;i.O.;
0873;8;73;12,011;12,02;i.O.;n.i.O.;i.O.;
0874;8;74;12,013;12,018;i.O.;i.O.;i.O.;
0875;8;75;12,013;12,02;i.O.;n.i.O.;i.O.;
0876;8;76;12,014;12,022;i.O.;n.i.O.;i.O.;
0877;8;77;12,012;12,02;i.O.;n.i.O.;i.O.;
0878;8;78;12,01;12,017;i.O.;i.O.;i.O.;
0879;8;79;12,012;12,02;i.O.;n.i.O.;i.O.;
0880;8;80;12,012;12,018;i.O.;i.O.;i.O.;
0881;8;81;12,011;12,021;i.O.;n.i.O.;i.O.;
0901;9;1;12,012;12,026;i.O.;n.i.O.;i.O.;
0902;9;2;12,011;12,021;i.O.;n.i.O.;i.O.;
0903;9;3;12,014;12,022;i.O.;n.i.O.;i.O.;
0904;9;4;12,012;12,022;i.O.;n.i.O.;i.O.;
0905;9;5;12,013;12,023;i.O.;n.i.O.;i.O.;
0906;9;6;12,012;12,023;i.O.;n.i.O.;i.O.;
0907;9;7;12,014;12,022;i.O.;n.i.O.;i.O.;
0908;9;8;12,011;12,023;i.O.;n.i.O.;i.O.;
0909;9;9;12,012;12,02;i.O.;n.i.O.;i.O.;
0910;9;10;12,012;12,02;i.O.;n.i.O.;i.O.;
0911;9;11;12,013;12,027;i.O.;n.i.O.;i.O.;
0912;9;12;12,014;12,02;i.O.;n.i.O.;i.O.;
0913;9;13;12,012;12,024;i.O.;n.i.O.;i.O.;
0914;9;14;12,013;12,021;i.O.;n.i.O.;i.O.;
0915;9;15;12,012;12,022;i.O.;n.i.O.;i.O.;
0916;9;16;12,011;12,021;i.O.;n.i.O.;i.O.;
0917;9;17;12,011;12,021;i.O.;n.i.O.;i.O.;
0918;9;18;12,011;12,022;i.O.;n.i.O.;i.O.;
0919;9;19;12,012;12,017;i.O.;i.O.;i.O.;
0920;9;20;12,011;12,02;i.O.;n.i.O.;i.O.;
0921;9;21;12,011;12,019;i.O.;n.i.O.;i.O.;
0922;9;22;12,011;12,021;i.O.;n.i.O.;i.O.;
0923;9;23;12,012;12,019;i.O.;n.i.O.;i.O.;
0924;9;24;12,011;12,02;i.O.;n.i.O.;i.O.;
0925;9;25;12,011;12,024;i.O.;n.i.O.;i.O.;
0926;9;26;12,013;12,02;i.O.;n.i.O.;i.O.;
0927;9;27;12,012;12,019;i.O.;n.i.O.;i.O.;
0928;9;28;12,011;12,022;i.O.;n.i.O.;i.O.;
0929;9;29;12,012;12,021;i.O.;n.i.O.;i.O.;
0930;9;30;12,011;12,018;i.O.;i.O.;i.O.;
0931;9;31;12,011;12,018;i.O.;i.O.;i.O.;
0932;9;32;12,009;12,023;i.O.;n.i.O.;i.O.;
0933;9;33;12,011;12,02;i.O.;n.i.O.;i.O.;
0934;9;34;12,011;12,026;i.O.;n.i.O.;i.O.;
0935;9;35;12,012;12,019;i.O.;n.i.O.;i.O.;
0936;9;36;12,013;12,02;i.O.;n.i.O.;i.O.;
0937;9;37;12,013;12,017;i.O.;i.O.;i.O.;
0938;9;38;12,013;12,021;i.O.;n.i.O.;i.O.;
0939;9;39;12,012;12,02;i.O.;n.i.O.;i.O.;
0940;9;40;12,012;12,023;i.O.;n.i.O.;i.O.;
0941;9;41;12,013;12,021;i.O.;n.i.O.;i.O.;
0942;9;42;12,011;12,02;i.O.;n.i.O.;i.O.;
0943;9;43;12,012;12,018;i.O.;i.O.;i.O.;
0944;9;44;12,012;12,019;i.O.;n.i.O.;i.O.;
0945;9;45;12,012;12,019;i.O.;n.i.O.;i.O.;
0946;9;46;12,012;12,02;i.O.;n.i.O.;i.O.;
0947;9;47;12,012;12,021;i.O.;n.i.O.;i.O.;
0948;9;48;12,013;12,02;i.O.;n.i.O.;i.O.;
0949;9;49;12,012;12,02;i.O.;n.i.O.;i.O.;
0950;9;50;12,011;12,02;i.O.;n.i.O.;i.O.;
0951;9;51;12,012;12,021;i.O.;n.i.O.;i.O.;
0952;9;52;12,012;12,022;i.O.;n.i.O.;i.O.;
0953;9;53;12,012;12,023;i.O.;n.i.O.;i.O.;
0954;9;54;12,013;12,022;i.O.;n.i.O.;i.O.;
0955;9;55;12,012;12,022;i.O.;n.i.O.;i.O.;
0956;9;56;12,012;12,02;i.O.;n.i.O.;i.O.;
0957;9;57;12,012;12,018;i.O.;i.O.;i.O.;
0958;9;58;12,011;12,018;i.O.;i.O.;i.O.;
0959;9;59;12,013;12,02;i.O.;n.i.O.;i.O.;
0960;9;60;12,012;12,02;i.O.;n.i.O.;i.O.;
0961;9;61;12,012;12,02;i.O.;n.i.O.;i.O.;
0962;9;62;12,012;12,019;i.O.;n.i.O.;i.O.;
0963;9;63;12,011;12,017;i.O.;i.O.;i.O.;
0964;9;64;12,011;12,024;i.O.;n.i.O.;i.O.;
0965;9;65;12,014;12,02;i.O.;n.i.O.;i.O.;
0966;9;66;12,013;12,02;i.O.;n.i.O.;i.O.;
0967;9;67;12,012;12,019;i.O.;n.i.O.;i.O.;
0968;9;68;12,012;12,019;i.O.;n.i.O.;i.O.;
0969;9;69;12,011;12,015;i.O.;i.O.;i.O.;
0970;9;70;12,012;12,017;i.O.;i.O.;i.O.;
0971;9;71;12,012;12,018;i.O.;i.O.;i.O.;
0972;9;72;12,013;12,022;i.O.;n.i.O.;i.O.;
0973;9;73;12,013;12,02;i.O.;n.i.O.;i.O.;
0974;9;74;12,013;12,018;i.O.;i.O.;i.O.;
0975;9;75;12,013;12,017;i.O.;i.O.;i.O.;
0976;9;76;12,013;12,021;i.O.;n.i.O.;i.O.;
0977;9;77;12,013;12,018;i.O.;i.O.;i.O.;
0978;9;78;12,012;12,018;i.O.;i.O.;i.O.;
0979;9;79;12,012;12,021;i.O.;n.i.O.;i.O.;
0980;9;80;12,014;12,021;i.O.;n.i.O.;i.O.;
0981;9;81;12,013;12,017;i.O.;i.O.;i.O.;
1001;10;1;12,012;12,02;i.O.;n.i.O.;i.O.;
1002;10;2;12,011;12,02;i.O.;n.i.O.;i.O.;
1003;10;3;12,011;12,023;i.O.;n.i.O.;i.O.;
1004;10;4;12,011;12,024;i.O.;n.i.O.;i.O.;
1005;10;5;12,012;12,018;i.O.;i.O.;i.O.;
1006;10;6;12,011;12,02;i.O.;n.i.O.;i.O.;
1007;10;7;12,011;12,02;i.O.;n.i.O.;i.O.;
1008;10;8;12,012;12,019;i.O.;n.i.O.;i.O.;
1009;10;9;12,012;12,019;i.O.;n.i.O.;i.O.;
1010;10;10;12,012;12,024;i.O.;n.i.O.;i.O.;
1011;10;11;12,013;12,021;i.O.;n.i.O.;i.O.;
1012;10;12;12,011;12,019;i.O.;n.i.O.;i.O.;
1013;10;13;12,012;12,022;i.O.;n.i.O.;i.O.;
1014;10;14;12,012;12,019;i.O.;n.i.O.;i.O.;
1015;10;15;12,011;12,02;i.O.;n.i.O.;i.O.;
1016;10;16;12,012;12,02;i.O.;n.i.O.;i.O.;
1017;10;17;12,011;12,019;i.O.;n.i.O.;i.O.;
1018;10;18;12,011;12,022;i.O.;n.i.O.;i.O.;
1019;10;19;12,011;12,022;i.O.;n.i.O.;i.O.;
1020;10;20;12,012;12,028;i.O.;n.i.O.;i.O.;
1021;10;21;12,013;12,021;i.O.;n.i.O.;i.O.;
1022;10;22;12,012;12,018;i.O.;i.O.;i.O.;
1023;10;23;12,011;12,026;i.O.;n.i.O.;i.O.;
1024;10;24;12,013;12,022;i.O.;n.i.O.;i.O.;
1025;10;25;12,013;12,024;i.O.;n.i.O.;i.O.;
1026;10;26;12,013;12,022;i.O.;n.i.O.;i.O.;
1027;10;27;12,011;12,021;i.O.;n.i.O.;i.O.;
1028;10;28;12,013;12,022;i.O.;n.i.O.;i.O.;
1029;10;29;12,01;12,021;i.O.;n.i.O.;i.O.;
1030;10;30;12,011;12,022;i.O.;n.i.O.;i.O.;
1031;10;31;12,011;12,022;i.O.;n.i.O.;i.O.;
1032;10;32;12,012;12,022;i.O.;n.i.O.;i.O.;
1033;10;33;12,012;12,024;i.O.;n.i.O.;i.O.;
1034;10;34;12,01;12,016;i.O.;i.O.;i.O.;
1035;10;35;12,012;12,024;i.O.;n.i.O.;i.O.;
1036;10;36;12,012;12,021;i.O.;n.i.O.;i.O.;
1037;10;37;12,012;12,022;i.O.;n.i.O.;i.O.;
1038;10;38;12,012;12,022;i.O.;n.i.O.;i.O.;
1039;10;39;12,011;12,022;i.O.;n.i.O.;i.O.;
1040;10;40;12,013;12,019;i.O.;n.i.O.;i.O.;
1041;10;41;12,011;12,025;i.O.;n.i.O.;i.O.;
1042;10;42;12,012;12,018;i.O.;i.O.;i.O.;
1043;10;43;12,011;12,019;i.O.;n.i.O.;i.O.;
1044;10;44;12,012;12,017;i.O.;i.O.;i.O.;
1045;10;45;12,012;12,018;i.O.;i.O.;i.O.;
1046;10;46;12,011;12,018;i.O.;i.O.;i.O.;
1047;10;47;12,013;12,019;i.O.;n.i.O.;i.O.;
1048;10;48;12,012;12,011;i.O.;i.O.;i.O.;
1049;10;49;12,012;12,013;i.O.;i.O.;i.O.;
1050;10;50;12,012;12,015;i.O.;i.O.;i.O.;
1051;10;51;12,013;12,02;i.O.;n.i.O.;i.O.;
1052;10;52;12,012;12,011;i.O.;i.O.;i.O.;
1053;10;53;12,011;12,021;i.O.;n.i.O.;i.O.;
1054;10;54;12,012;12,025;i.O.;n.i.O.;i.O.;
1055;10;55;12,011;12,021;i.O.;n.i.O.;i.O.;
1056;10;56;12,01;12,017;i.O.;i.O.;i.O.;
1057;10;57;12,012;12,021;i.O.;n.i.O.;i.O.;
1058;10;58;12,012;12,022;i.O.;n.i.O.;i.O.;
1059;10;59;12,011;12,021;i.O.;n.i.O.;i.O.;
1060;10;60;12,013;12,018;i.O.;i.O.;i.O.;
1061;10;61;12,012;12,013;i.O.;i.O.;i.O.;
1062;10;62;12,01;12,02;i.O.;n.i.O.;i.O.;
1063;10;63;12,012;12,023;i.O.;n.i.O.;i.O.;
1064;10;64;12,013;12,023;i.O.;n.i.O.;i.O.;
1065;10;65;12,012;12,021;i.O.;n.i.O.;i.O.;
1066;10;66;12,012;12,022;i.O.;n.i.O.;i.O.;
1067;10;67;12,012;12,021;i.O.;n.i.O.;i.O.;
1068;10;68;12,012;12,019;i.O.;n.i.O.;i.O.;
1069;10;69;12,012;12,019;i.O.;n.i.O.;i.O.;
1070;10;70;12,012;12,021;i.O.;n.i.O.;i.O.;
1071;10;71;12,011;12,018;i.O.;i.O.;i.O.;
1072;10;72;12,011;12,018;i.O.;i.O.;i.O.;
1073;10;73;12,01;12,017;i.O.;i.O.;i.O.;
1074;10;74;12,013;12,022;i.O.;n.i.O.;i.O.;
1075;10;75;12,012;12,022;i.O.;n.i.O.;i.O.;
1076;10;76;12,013;12,025;i.O.;n.i.O.;i.O.;
1077;10;77;12,014;12,017;i.O.;i.O.;i.O.;
1078;10;78;12,013;12,02;i.O.;n.i.O.;i.O.;
1079;10;79;12,013;12,021;i.O.;n.i.O.;i.O.;
1080;10;80;12,011;12,021;i.O.;n.i.O.;i.O.;
1081;10;81;12,012;12,02;i.O.;n.i.O.;i.O.;
1101;11;1;12,012;12,014;i.O.;i.O.;i.O.;
1102;11;2;12,013;12,015;i.O.;i.O.;i.O.;
1103;11;3;12,014;12,015;i.O.;i.O.;i.O.;
1104;11;4;12,011;12,015;i.O.;i.O.;i.O.;
1105;11;5;12,012;12,015;i.O.;i.O.;i.O.;
1106;11;6;12,013;12,017;i.O.;i.O.;i.O.;
1107;11;7;12,013;12,015;i.O.;i.O.;i.O.;
1108;11;8;12,012;12,015;i.O.;i.O.;i.O.;
1109;11;9;12,013;12,016;i.O.;i.O.;i.O.;
1110;11;10;12,013;12,013;i.O.;i.O.;i.O.;
1111;11;11;12,011;12,016;i.O.;i.O.;i.O.;
1112;11;12;12,012;12,013;i.O.;i.O.;i.O.;
1113;11;13;12,013;12,015;i.O.;i.O.;i.O.;
1114;11;14;12,011;12,012;i.O.;i.O.;i.O.;
1115;11;15;12,012;12,016;i.O.;i.O.;i.O.;
1116;11;16;12,013;12,019;i.O.;n.i.O.;i.O.;
1117;11;17;12,011;12,013;i.O.;i.O.;i.O.;
1118;11;18;12,011;12,016;i.O.;i.O.;i.O.;
