_id,ValueID,value,timeStamp,progName,toolNo
5ddd208d8e15b3086c070169,12430012063.Channel1.Program_Feed,0.200095923261391,2019-11-26 12:55:58.110,REIBEN.MPF,RA_12H7
5ddd208d8e15b3086c07016a,12430012063.Channel1.Spindle_Speed,318.145751953125,2019-11-26 12:55:58.114,REIBEN.MPF,RA_12H7
5ddd208d8e15b3086c07016d,12430012063.Channel1.Feed_Axis,63.5601129353882,2019-11-26 12:55:58.299,REIBEN.MPF,RA_12H7
5ddd208d8e15b3086c07016e,12430012063.Channel1.Program_Feed,0.199974822915679,2019-11-26 12:55:58.307,REIBEN.MPF,RA_12H7
5ddd208d8e15b3086c07016f,12430012063.Channel1.Spindle_Speed,317.840576171875,2019-11-26 12:55:58.351,REIBEN.MPF,RA_12H7
5ddd208e8e15b3086c070174,12430012063.Channel1.Program_Feed,0.199712161189734,2019-11-26 12:55:58.605,REIBEN.MPF,RA_12H7
5ddd208e8e15b3086c070175,12430012063.Channel1.Spindle_Speed,318.069458007812,2019-11-26 12:55:58.609,REIBEN.MPF,RA_12H7
5ddd208e8e15b3086c07017b,12430012063.Channel1.Feed_Axis,63.5223388671875,2019-11-26 12:55:58.730,REIBEN.MPF,RA_12H7
5ddd208e8e15b3086c07017d,12430012063.Channel1.Program_Feed,0.200191917930362,2019-11-26 12:55:58.868,REIBEN.MPF,RA_12H7
5ddd208e8e15b3086c070182,12430012063.Channel1.Feed_Axis,63.6749348336546,2019-11-26 12:55:58.902,REIBEN.MPF,RA_12H7
5ddd208e8e15b3086c070183,12430012063.Channel1.Program_Feed,0.200047973135044,2019-11-26 12:55:58.910,REIBEN.MPF,RA_12H7
5ddd208e8e15b3086c070185,12430012063.Channel1.Feed_Axis,63.629150390625,2019-11-26 12:55:58.977,REIBEN.MPF,RA_12H7
5ddd208e8e15b3086c070189,12430012063.Channel1.Feed_Axis,63.5224113963822,2019-11-26 12:55:59.048,REIBEN.MPF,RA_12H7
5ddd208e8e15b3086c070188,12430012063.Channel1.Program_Feed,0.200000228358074,2019-11-26 12:55:59.051,REIBEN.MPF,RA_12H7
5ddd208e8e15b3086c07018a,12430012063.Channel1.Spindle_Speed,317.611694335938,2019-11-26 12:55:59.052,REIBEN.MPF,RA_12H7
5ddd208e8e15b3086c07018f,12430012063.Channel1.Feed_Axis,63.5072811242813,2019-11-26 12:55:59.362,REIBEN.MPF,RA_12H7
5ddd208e8e15b3086c070191,12430012063.Channel1.Program_Feed,0.199616938885415,2019-11-26 12:55:59.422,REIBEN.MPF,RA_12H7
5ddd208e8e15b3086c070192,12430012063.Channel1.Spindle_Speed,318.145751953125,2019-11-26 12:55:59.426,REIBEN.MPF,RA_12H7
5ddd208f8e15b3086c070197,12430012063.Channel1.Feed_Axis,63.6749267578125,2019-11-26 12:55:59.683,REIBEN.MPF,RA_12H7
5ddd208f8e15b3086c070198,12430012063.Channel1.Program_Feed,0.200143884892086,2019-11-26 12:55:59.712,REIBEN.MPF,RA_12H7
5ddd208f8e15b3086c07019e,12430012063.Channel1.Spindle_Speed,318.222045898438,2019-11-26 12:55:59.860,REIBEN.MPF,RA_12H7
5ddd208f8e15b3086c07019f,12430012063.Channel1.Feed_Axis,63.598761548033,2019-11-26 12:55:59.914,REIBEN.MPF,RA_12H7
5ddd208f8e15b3086c0701a0,12430012063.Channel1.Program_Feed,0.199856554150654,2019-11-26 12:55:59.928,REIBEN.MPF,RA_12H7
5ddd208f8e15b3086c0701a3,12430012063.Channel1.Spindle_Speed,317.68798828125,2019-11-26 12:55:59.972,REIBEN.MPF,RA_12H7
5ddd208f8e15b3086c0701a5,12430012063.Channel1.Feed_Axis,63.5681233102171,2019-11-26 12:56:00.215,REIBEN.MPF,RA_12H7
5ddd208f8e15b3086c0701a8,12430012063.Channel1.Program_Feed,0.200096086900019,2019-11-26 12:56:00.316,REIBEN.MPF,RA_12H7
5ddd208f8e15b3086c0701af,12430012063.Channel1.Program_Feed,0.200048044622252,2019-11-26 12:56:00.358,REIBEN.MPF,RA_12H7
5ddd208f8e15b3086c0701b0,12430012063.Channel1.Spindle_Speed,318.527221679688,2019-11-26 12:56:00.371,REIBEN.MPF,RA_12H7
5ddd208f8e15b3086c0701b4,12430012063.Channel1.Feed_Axis,63.6899845007187,2019-11-26 12:56:00.424,REIBEN.MPF,RA_12H7
5ddd208f8e15b3086c0701b5,12430012063.Channel1.Program_Feed,0.199951464634208,2019-11-26 12:56:00.431,REIBEN.MPF,RA_12H7
5ddd20908e15b3086c0701b9,12430012063.Channel1.Spindle_Speed,318.069458007812,2019-11-26 12:56:00.462,REIBEN.MPF,RA_12H7
5ddd20908e15b3086c0701bb,12430012063.Channel1.Feed_Axis,63.6289506124031,2019-11-26 12:56:00.475,REIBEN.MPF,RA_12H7
5ddd20908e15b3086c0701bc,12430012063.Channel1.Program_Feed,0.200047345038832,2019-11-26 12:56:00.530,REIBEN.MPF,RA_12H7
5ddd20908e15b3086c0701c0,12430012063.Channel1.Feed_Axis,63.5538151691073,2019-11-26 12:56:00.766,REIBEN.MPF,RA_12H7
5ddd20908e15b3086c0701c1,12430012063.Channel1.Program_Feed,0.200051048555361,2019-11-26 12:56:00.775,REIBEN.MPF,RA_12H7
5ddd20908e15b3086c0701c2,12430012063.Channel1.Spindle_Speed,317.68798828125,2019-11-26 12:56:00.777,REIBEN.MPF,RA_12H7
5ddd20908e15b3086c0701c9,12430012063.Channel1.Feed_Axis,63.5670156525371,2019-11-26 12:56:00.908,REIBEN.MPF,RA_12H7
5ddd20908e15b3086c0701ca,12430012063.Channel1.Program_Feed,0.199613221744354,2019-11-26 12:56:00.913,REIBEN.MPF,RA_12H7
5ddd20908e15b3086c0701cc,12430012063.Channel1.Spindle_Speed,318.450927734375,2019-11-26 12:56:00.914,REIBEN.MPF,RA_12H7
5ddd20908e15b3086c0701d1,12430012063.Channel1.Feed_Axis,63.6138916015625,2019-11-26 12:56:01.104,REIBEN.MPF,RA_12H7
5ddd20908e15b3086c0701d2,12430012063.Channel1.Program_Feed,0.199760421657882,2019-11-26 12:56:01.242,REIBEN.MPF,RA_12H7
5ddd20908e15b3086c0701d8,12430012063.Channel1.Feed_Axis,63.6140926477188,2019-11-26 12:56:01.310,REIBEN.MPF,RA_12H7
5ddd20908e15b3086c0701da,12430012063.Channel1.Program_Feed,0.200096624706547,2019-11-26 12:56:01.317,REIBEN.MPF,RA_12H7
5ddd20908e15b3086c0701d7,12430012063.Channel1.Spindle_Speed,317.916870117188,2019-11-26 12:56:01.318,REIBEN.MPF,RA_12H7
5ddd20918e15b3086c0701e1,12430012063.Channel1.Feed_Axis,63.601524078028,2019-11-26 12:56:01.699,REIBEN.MPF,RA_12H7
5ddd20918e15b3086c0701e2,12430012063.Channel1.Program_Feed,0.200249314531715,2019-11-26 12:56:01.717,REIBEN.MPF,RA_12H7
