Unnamed: 0,12430012063.A1_Axis.Actual_Power,12430012063.C1_Axis.Actual_Power,12430012063.Energy_Savings.Active_Power_Spindle1,12430012063.Energy_Savings.Active_Power_Z1,12430012063.Main_Spindle.Actual_Position_MCS,12430012063.Main_Spindle.Actual_Power,12430012063.Main_Spindle.Actual_Speed_Rate,12430012063.Main_Spindle.MPC_Peak,12430012063.Main_Spindle.MPC_Veff_Total,12430012063.Maintenance_Package.Tool_Usage_Main_lubriTOOL,12430012063.Tool_Control_Center.Axial_Force_Tension,12430012063.Tool_Control_Center.Bending_Moment,12430012063.Y1_Axis.Actual_Power,12430012063.Y1_Axis.Temperature_Y_Slide,12430012063.Z1_Axis.Actual_Feed_Rate,12430012063.Z1_Axis.Actual_Position_MCS,12430012063.Z1_Axis.Actual_Power,timeStamp,12430012063.Energy_Savings.Active_Power_X1,12430012063.X1_Axis.Actual_Feed_Rate,12430012063.X1_Axis.Actual_Position_MCS,12430012063.X1_Axis.Actual_Power,12430012063.Tool_Control_Center.Axial_Force_Compression,12430012063.Main_Spindle.Temperature_Spindle,12430012063.Energy_Savings.Active_Power_Y1,12430012063.Y1_Axis.Actual_Feed_Rate,12430012063.Y1_Axis.Actual_Position_MCS,Messschraube,Messtaster,Grenzlehrdorn,Ebene,Bohrung
10,7.0,,10.3544,250.42954545454552,179.23842857142853,0.5,317.25,1.0,0.8,,,0.5,0.7142857142857143,24.935,-117.75,-308.32086956521744,16.304347826086953,2019-11-27 09:19:55.901,-180.6815,0.0,366.68,6.5,0.13000000000000006,26.935,,,,i.O.,n.i.O.,i.O.,8,11
11,7.0,,8.336934782608695,-113.3394615384615,184.66157142857148,0.5,317.27777777777777,1.0,1.0,74.5,,0.5,0.75,24.935,258.54545454545456,-308.3288405797101,15.666666666666664,2019-11-27 09:20:09.813,387.7545,23.0,381.675,10.333333333333334,0.1176470588235294,26.92,,,,i.O.,n.i.O.,i.O.,8,12
12,7.5,,5.53123076923077,180.29125,172.92774647887313,0.4878048780487805,317.1333333333333,2.25,0.5,,,0.5,0.8,24.935,13.125,-306.93999999999994,13.555555555555555,2019-11-27 09:20:23.806,10.1505,5479.333333333333,397.5866666666666,1.75,0.12105263157894737,,,,,i.O.,i.O.,i.O.,8,13
13,7.5,,4.357931818181819,465.12253846153845,173.44399999999993,0.5,317.4,1.3333333333333333,1.0,,,0.5,0.8,24.935,-16.307692307692307,-308.14,16.5,2019-11-27 09:20:38.003,-156.32,57.5,411.68,7.5,0.14166666666666675,,,,,i.O.,n.i.O.,i.O.,8,14
14,7.2,,4.511745098039214,130.98607692307695,178.74042857142865,0.5135135135135135,317.2105263157895,0.75,1.0,74.49,,0.5,0.75,,4.333333333333333,-308.31768115942026,18.3125,2019-11-27 09:20:52.010,23.008000000000003,0.0,426.68,1.3333333333333333,0.1545454545454546,26.902,,,,i.O.,i.O.,i.O.,8,15
15,7.5,,5.229527272727274,-87.65872727272728,184.1632857142856,0.5,317.09090909090907,1.3333333333333333,0.5,,,0.5,0.8333333333333334,,186.66666666666663,-308.33710144927534,14.130434782608695,2019-11-27 09:21:06.017,349.8585,2766.666666666666,439.37,11.25,0.14800000000000008,,,,,i.O.,n.i.O.,i.O.,8,16
16,7.5,,6.669521739130436,444.8219,181.9904225352113,0.5,317.375,1.2,1.0,74.48,,,0.8,,-9.538461538461537,-306.9391428571428,14.421052631578947,2019-11-27 09:21:20.028,,0.0,456.68,1.0,0.15200000000000008,,,,,i.O.,n.i.O.,i.O.,8,17
17,7.5,,6.275418181818183,348.95670000000007,175.04521739130433,0.5,317.1,1.1666666666666667,0.5,,,0.5,2.2,,-77.52380952380952,-308.0061194029851,18.0,2019-11-27 09:21:34.209,-243.6155,-3304.0,470.2,3.8333333333333335,0.14761904761904768,26.866000000000003,,2227.0,,i.O.,n.i.O.,i.O.,8,18
18,7.5,2.5,4.451321428571427,-119.36509090909088,175.7595774647887,0.4883720930232558,317.23076923076917,1.8333333333333333,0.8,,,0.5,0.75,,99.375,-308.3144927536232,17.0,2019-11-27 09:21:48.218,-333.9562499999999,-12838.5,361.32,9.923076923076923,0.15000000000000008,26.87,16.44066666666667,1143.5,-384.55666666666673,i.O.,n.i.O.,i.O.,8,19
19,7.5,,9.000469387755102,119.36533333333334,182.2051428571429,0.5405405405405406,317.29411764705884,0.8,1.0,74.47,,0.5,0.8,,99.66666666666669,-308.34782608695656,13.588235294117649,2019-11-27 09:22:02.415,55.49,533.0,366.605,8.666666666666666,0.16190476190476194,,,,,i.O.,n.i.O.,i.O.,8,20
