Messungen Bohrung 12H7;;;;;
Bezeichnung:;;;;;
0101;> Ebene 1 Bohrung 1;;;;
0102;> Ebene 1 Bohrung 2;;;;
0201;> Ebene 2 Bohrung 1;;;;
;;;;;
;;;;;
Bezeichnung Bohrung;Messwert Innenmessschraube;Messwert Messtaster;Klassifizierung nach Messchraube;Klassifizierung nach Messtaster;Klassifizierung nach Grenzlehrdorn
0216;12,014;12,018;i.O.;i.O.;i.O.
0217;12,013;12,018;i.O.;i.O.;i.O.
0218;12,013;12,019;i.O.;n.i.O.;i.O.
0219;12,014;12,02;i.O.;n.i.O.;i.O.
0220;12,013;12,021;i.O.;n.i.O.;i.O.
0221;12,014;12,018;i.O.;i.O.;i.O.
0222;12,013;12,016;i.O.;i.O.;i.O.
0223;12,013;12,017;i.O.;i.O.;i.O.
0224;12,013;12,018;i.O.;i.O.;i.O.
0225;12,013;12,018;i.O.;i.O.;i.O.
0226;12,013;12,017;i.O.;i.O.;i.O.
0227;12,013;12,019;i.O.;n.i.O.;i.O.
0228;12,013;12,018;i.O.;i.O.;i.O.
0229;12,013;12,02;i.O.;n.i.O.;i.O.
0230;12,013;12,018;i.O.;i.O.;i.O.
0231;12,013;12,019;i.O.;n.i.O.;i.O.
0232;12,014;12,024;i.O.;n.i.O.;i.O.
0233;12,014;12,019;i.O.;n.i.O.;i.O.
0234;12,014;12,019;i.O.;n.i.O.;i.O.
0235;12,014;12,02;i.O.;n.i.O.;i.O.
0236;12,014;12,02;i.O.;n.i.O.;i.O.
0237;12,013;12,016;i.O.;i.O.;i.O.
0238;12,014;12,02;i.O.;n.i.O.;i.O.
0239;12,014;12,019;i.O.;n.i.O.;i.O.
0240;12,014;12,02;i.O.;n.i.O.;i.O.
0241;12,014;12,018;i.O.;i.O.;i.O.
0242;12,014;12,018;i.O.;i.O.;i.O.
0243;12,013;12,018;i.O.;i.O.;i.O.
0244;12,013;12,018;i.O.;i.O.;i.O.
0245;12,015;12,019;i.O.;n.i.O.;i.O.
0246;12,014;12,018;i.O.;i.O.;i.O.
0247;12,014;12,02;i.O.;n.i.O.;i.O.
0248;12,014;12,018;i.O.;i.O.;i.O.
0249;12,014;12,019;i.O.;n.i.O.;i.O.
0250;12,014;12,018;i.O.;i.O.;i.O.
0251;12,015;12,018;i.O.;i.O.;i.O.
0252;12,014;12,017;i.O.;i.O.;i.O.
0253;12,014;12,018;i.O.;i.O.;i.O.
0254;12,014;12,015;i.O.;i.O.;i.O.
0255;12,014;12,018;i.O.;i.O.;i.O.
0256;12,014;12,018;i.O.;i.O.;i.O.
0257;12,013;12,018;i.O.;i.O.;i.O.
0258;12,014;12,02;i.O.;n.i.O.;i.O.
0259;12,014;12,016;i.O.;i.O.;i.O.
0260;12,014;12,019;i.O.;n.i.O.;i.O.
0261;12,014;12,016;i.O.;i.O.;i.O.
0262;12,014;12,017;i.O.;i.O.;i.O.
0263;12,015;12,019;i.O.;n.i.O.;i.O.
0264;12,014;12,017;i.O.;i.O.;i.O.
0265;12,015;12,02;i.O.;n.i.O.;i.O.
0266;12,014;12,017;i.O.;i.O.;i.O.
0267;12,014;12,017;i.O.;i.O.;i.O.
0268;12,014;12,02;i.O.;n.i.O.;i.O.
0269;12,015;12,017;i.O.;i.O.;i.O.
0270;12,014;12,017;i.O.;i.O.;i.O.
0271;12,014;12,019;i.O.;n.i.O.;i.O.
0272;12,014;12,018;i.O.;i.O.;i.O.
0273;12,015;12,019;i.O.;n.i.O.;i.O.
0274;12,015;12,018;i.O.;i.O.;i.O.
0275;12,015;12,018;i.O.;i.O.;i.O.
0276;12,015;12,018;i.O.;i.O.;i.O.
0277;12,015;12,018;i.O.;i.O.;i.O.
0278;12,015;12,021;i.O.;n.i.O.;i.O.
0279;12,015;12,02;i.O.;n.i.O.;i.O.
0280;12,016;12,018;i.O.;i.O.;i.O.
0281;12,015;12,018;i.O.;i.O.;i.O.
0301;12,013;12,022;i.O.;n.i.O.;i.O.
0302;12,013;12,023;i.O.;n.i.O.;i.O.
0303;12,012;12,017;i.O.;i.O.;i.O.
0304;12,013;12,023;i.O.;n.i.O.;i.O.
0305;12,013;12,02;i.O.;n.i.O.;i.O.
0306;12,012;12,02;i.O.;n.i.O.;i.O.
0307;12,013;12,019;i.O.;n.i.O.;i.O.
0308;12,012;12,019;i.O.;n.i.O.;i.O.
0309;12,013;12,019;i.O.;n.i.O.;i.O.
0310;12,012;12,02;i.O.;n.i.O.;i.O.
0311;12,013;12,023;i.O.;n.i.O.;i.O.
0312;12,012;12,017;i.O.;i.O.;i.O.
0313;12,013;12,018;i.O.;i.O.;i.O.
0314;12,012;12,02;i.O.;n.i.O.;i.O.
0315;12,012;12,02;i.O.;n.i.O.;i.O.
0316;12,013;12,018;i.O.;i.O.;i.O.
0317;12,013;12,018;i.O.;i.O.;i.O.
0318;12,012;12,017;i.O.;i.O.;i.O.
0319;12,014;12,021;i.O.;n.i.O.;i.O.
0320;12,013;12,019;i.O.;n.i.O.;i.O.
0321;12,012;12,018;i.O.;i.O.;i.O.
0322;12,014;12,02;i.O.;n.i.O.;i.O.
0323;12,013;12,02;i.O.;n.i.O.;i.O.
0324;12,013;12,021;i.O.;n.i.O.;i.O.
0325;12,013;12,016;i.O.;i.O.;i.O.
0326;12,013;12,017;i.O.;i.O.;i.O.
0327;12,013;12,016;i.O.;i.O.;i.O.
0328;12,013;12,019;i.O.;n.i.O.;i.O.
0329;12,013;12,016;i.O.;i.O.;i.O.
0330;12,013;12,02;i.O.;n.i.O.;i.O.
0331;12,013;12,02;i.O.;n.i.O.;i.O.
0332;12,013;12,021;i.O.;n.i.O.;i.O.
0333;12,013;12,02;i.O.;n.i.O.;i.O.
0334;12,013;12,02;i.O.;n.i.O.;i.O.
0335;12,013;12,016;i.O.;i.O.;i.O.
0336;12,013;12,018;i.O.;i.O.;i.O.
0337;12,013;12,019;i.O.;n.i.O.;i.O.
0338;12,013;12,018;i.O.;i.O.;i.O.
0339;12,013;12,018;i.O.;i.O.;i.O.
0340;12,013;12,022;i.O.;n.i.O.;i.O.
0341;12,013;12,016;i.O.;i.O.;i.O.
0342;12,014;12,018;i.O.;i.O.;i.O.
0343;12,013;12,018;i.O.;i.O.;i.O.
0344;12,012;12,016;i.O.;i.O.;i.O.
0345;12,013;12,019;i.O.;n.i.O.;i.O.
0346;12,013;12,013;i.O.;i.O.;i.O.
0347;12,013;12,018;i.O.;i.O.;i.O.
0348;12,013;12,019;i.O.;n.i.O.;i.O.
0349;12,013;12,017;i.O.;i.O.;i.O.
0350;12,013;12,018;i.O.;i.O.;i.O.
0351;12,013;12,018;i.O.;i.O.;i.O.
0352;12,013;12,02;i.O.;n.i.O.;i.O.
0353;12,013;12,017;i.O.;i.O.;i.O.
0354;12,013;12,017;i.O.;i.O.;i.O.
0355;12,013;12,019;i.O.;n.i.O.;i.O.
0356;12,013;12,022;i.O.;n.i.O.;i.O.
0357;12,013;12,018;i.O.;i.O.;i.O.
0358;12,013;12,018;i.O.;i.O.;i.O.
0359;12,013;12,017;i.O.;i.O.;i.O.
0360;12,012;12,018;i.O.;i.O.;i.O.
0361;12,012;12,017;i.O.;i.O.;i.O.
0362;12,012;12,018;i.O.;i.O.;i.O.
0363;12,013;12,018;i.O.;i.O.;i.O.
0364;12,013;12,019;i.O.;n.i.O.;i.O.
0365;12,014;12,016;i.O.;i.O.;i.O.
0366;12,014;12,018;i.O.;i.O.;i.O.
0367;12,014;12,018;i.O.;i.O.;i.O.
0368;12,013;12,021;i.O.;n.i.O.;i.O.
0369;12,014;12,02;i.O.;n.i.O.;i.O.
0370;12,013;12,021;i.O.;n.i.O.;i.O.
0371;12,013;12,016;i.O.;i.O.;i.O.
0372;12,013;12,018;i.O.;i.O.;i.O.
0373;12,013;12,02;i.O.;n.i.O.;i.O.
0374;12,013;12,017;i.O.;i.O.;i.O.
0375;12,013;12,017;i.O.;i.O.;i.O.
0376;12,013;12,016;i.O.;i.O.;i.O.
0377;12,012;12,016;i.O.;i.O.;i.O.
0378;12,012;12,019;i.O.;n.i.O.;i.O.
0379;12,013;12,016;i.O.;i.O.;i.O.
0380;12,012;12,015;i.O.;i.O.;i.O.
0381;12,013;12,018;i.O.;i.O.;i.O.
0401;12,012;12,019;i.O.;n.i.O.;i.O.
0402;12,012;12,019;i.O.;n.i.O.;i.O.
0403;12,011;12,021;i.O.;n.i.O.;i.O.
0404;12,012;12,020;i.O.;n.i.O.;i.O.
0405;12,012;12,019;i.O.;n.i.O.;i.O.
0406;12,013;12,024;i.O.;n.i.O.;i.O.
0407;12,013;12,020;i.O.;n.i.O.;i.O.
0408;12,012;12,019;i.O.;n.i.O.;i.O.
0409;12,012;12,021;i.O.;n.i.O.;i.O.
0410;12,012;12,022;i.O.;n.i.O.;i.O.
0411;12,013;12,022;i.O.;n.i.O.;i.O.
0412;12,013;12,018;i.O.;i.O.;i.O.
0413;12,013;12,025;i.O.;n.i.O.;i.O.
0414;12,013;12,024;i.O.;n.i.O.;i.O.
0415;12,013;12,019;i.O.;n.i.O.;i.O.
0416;12,013;12,022;i.O.;n.i.O.;i.O.
0417;12,012;12,027;i.O.;n.i.O.;i.O.
0418;12,013;12,025;i.O.;n.i.O.;i.O.
0419;12,012;12,021;i.O.;n.i.O.;i.O.
0420;12,013;12,024;i.O.;n.i.O.;i.O.
0421;12,014;12,022;i.O.;n.i.O.;i.O.
0422;12,013;12,022;i.O.;n.i.O.;i.O.
0423;12,013;12,021;i.O.;n.i.O.;i.O.
0424;12,013;12,021;i.O.;n.i.O.;i.O.
0425;12,013;12,018;i.O.;i.O.;i.O.
0426;12,013;12,019;i.O.;n.i.O.;i.O.
0427;12,013;12,024;i.O.;n.i.O.;i.O.
0428;12,013;12,021;i.O.;n.i.O.;i.O.
0429;12,014;12,028;i.O.;n.i.O.;i.O.
0430;12,013;12,021;i.O.;n.i.O.;i.O.
0431;12,012;12,021;i.O.;n.i.O.;i.O.
0432;12,013;12,024;i.O.;n.i.O.;i.O.
0433;12,013;12,020;i.O.;n.i.O.;i.O.
0434;12,014;12,022;i.O.;n.i.O.;i.O.
0435;12,013;12,022;i.O.;n.i.O.;i.O.
0436;12,014;12,021;i.O.;n.i.O.;i.O.
0437;12,013;12,020;i.O.;n.i.O.;i.O.
0438;12,013;12,021;i.O.;n.i.O.;i.O.
0439;12,013;12,021;i.O.;n.i.O.;i.O.
0440;12,013;12,021;i.O.;n.i.O.;i.O.
0441;12,014;12,020;i.O.;n.i.O.;i.O.
0442;12,012;12,026;i.O.;n.i.O.;i.O.
0443;12,013;12,019;i.O.;n.i.O.;i.O.
0444;12,014;12,019;i.O.;n.i.O.;i.O.
0445;12,014;12,019;i.O.;n.i.O.;i.O.
0446;12,012;12,021;i.O.;n.i.O.;i.O.
0447;12,014;12,020;i.O.;n.i.O.;i.O.
0448;12,013;12,017;i.O.;i.O.;i.O.
0449;12,014;12,022;i.O.;n.i.O.;i.O.
0450;12,014;12,019;i.O.;n.i.O.;i.O.
0451;12,013;12,023;i.O.;n.i.O.;i.O.
0452;12,013;12,019;i.O.;n.i.O.;i.O.
0453;12,013;12,015;i.O.;i.O.;i.O.
0454;12,013;12,017;i.O.;i.O.;i.O.
0455;12,014;12,022;i.O.;n.i.O.;i.O.
0456;12,012;12,018;i.O.;i.O.;i.O.
0457;12,013;12,023;i.O.;n.i.O.;i.O.
0458;12,014;12,020;i.O.;n.i.O.;i.O.
0459;12,012;12,019;i.O.;n.i.O.;i.O.
0460;12,012;12,019;i.O.;n.i.O.;i.O.
0461;12,013;12,022;i.O.;n.i.O.;i.O.
0462;12,014;12,021;i.O.;n.i.O.;i.O.
0463;12,014;12,020;i.O.;n.i.O.;i.O.
0464;12,014;12,023;i.O.;n.i.O.;i.O.
0465;12,014;12,021;i.O.;n.i.O.;i.O.
0466;12,013;12,019;i.O.;n.i.O.;i.O.
0467;12,013;12,021;i.O.;n.i.O.;i.O.
0468;12,014;12,022;i.O.;n.i.O.;i.O.
0469;12,014;12,020;i.O.;n.i.O.;i.O.
0470;12,013;12,023;i.O.;n.i.O.;i.O.
0471;12,013;12,018;i.O.;i.O.;i.O.
0472;12,013;12,019;i.O.;n.i.O.;i.O.
0473;12,013;12,022;i.O.;n.i.O.;i.O.
0474;12,013;12,020;i.O.;n.i.O.;i.O.
0475;12,014;12,018;i.O.;i.O.;i.O.
0476;12,013;12,020;i.O.;n.i.O.;i.O.
0477;12,013;12,019;i.O.;n.i.O.;i.O.
0478;12,013;12,019;i.O.;n.i.O.;i.O.
0479;12,012;12,016;i.O.;i.O.;i.O.
0480;12,012;12,018;i.O.;i.O.;i.O.
0481;12,014;12,022;i.O.;n.i.O.;i.O.
0501;12,014;12,023;i.O.;n.i.O.;i.O.
0502;12,014;12,022;i.O.;n.i.O.;i.O.
0503;12,013;12,019;i.O.;n.i.O.;i.O.
0504;12,013;12,021;i.O.;n.i.O.;i.O.
0505;12,013;12,019;i.O.;n.i.O.;i.O.
0506;12,013;12,02;i.O.;n.i.O.;i.O.
0507;12,013;12,02;i.O.;n.i.O.;i.O.
0508;12,012;12,022;i.O.;n.i.O.;i.O.
0509;12,013;12,017;i.O.;i.O.;i.O.
0510;12,012;12,019;i.O.;n.i.O.;i.O.
0511;12,011;12,017;i.O.;i.O.;i.O.
0512;12,013;12,019;i.O.;n.i.O.;i.O.
0513;12,012;12,019;i.O.;n.i.O.;i.O.
0514;12,013;12,023;i.O.;n.i.O.;i.O.
0515;12,011;12,017;i.O.;i.O.;i.O.
0516;12,012;12,019;i.O.;n.i.O.;i.O.
0517;12,011;12,02;i.O.;n.i.O.;i.O.
0518;12,011;12,02;i.O.;n.i.O.;i.O.
0519;12,011;12,019;i.O.;n.i.O.;i.O.
0520;12,011;12,019;i.O.;n.i.O.;i.O.
0521;12,01;12,017;i.O.;i.O.;i.O.
0522;12,01;12,023;i.O.;n.i.O.;i.O.
0523;12,01;12,018;i.O.;i.O.;i.O.
0524;12,012;12,022;i.O.;n.i.O.;i.O.
0525;12,011;12,019;i.O.;n.i.O.;i.O.
0526;12,011;12,02;i.O.;n.i.O.;i.O.
0527;12,013;12,02;i.O.;n.i.O.;i.O.
0528;12,011;12,021;i.O.;n.i.O.;i.O.
0529;12,011;12,018;i.O.;i.O.;i.O.
0530;12,011;12,013;i.O.;i.O.;i.O.
0531;12,012;12,021;i.O.;n.i.O.;i.O.
0532;12,012;12,021;i.O.;n.i.O.;i.O.
0533;12,011;12,017;i.O.;i.O.;i.O.
0534;12,011;12,017;i.O.;i.O.;i.O.
0535;12,011;12,017;i.O.;i.O.;i.O.
0536;12,01;12,02;i.O.;n.i.O.;i.O.
0537;12,012;12,019;i.O.;n.i.O.;i.O.
0538;12,011;12,018;i.O.;i.O.;i.O.
0539;12,011;12,017;i.O.;i.O.;i.O.
