      Date;    Time;                         Program; Workpiece no.;     Testpoint;Plane;     Probe no.;         Cycle;        S_MVAR;               Measuring variant;Results:    ;      Setpoint;      Measured;    Difference;Unit
26.11.2019;15:16:17;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;15;14,98;-0,02;mm
26.11.2019;15:16:17;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;15;14,983;-0,017;mm
26.11.2019;15:16:17;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,022;0,013;mm
26.11.2019;15:16:22;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;30;29,985;-0,015;mm
26.11.2019;15:16:22;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;15;14,992;-0,008;mm
26.11.2019;15:16:22;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,02;0,011;mm
26.11.2019;15:16:27;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;45;44,975;-0,025;mm
26.11.2019;15:16:27;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;15;15,002;0,002;mm
26.11.2019;15:16:27;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,019;0,01;mm
26.11.2019;15:16:31;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;60;60,003;0,003;mm
26.11.2019;15:16:31;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;15;15;0;mm
26.11.2019;15:16:31;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,019;0,01;mm
26.11.2019;15:16:36;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;75;74,985;-0,015;mm
26.11.2019;15:16:36;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;15;15,002;0,002;mm
26.11.2019;15:16:36;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,02;0,011;mm
26.11.2019;15:16:41;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;90;90;0;mm
26.11.2019;15:16:41;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;15;14,999;0;mm
26.11.2019;15:16:41;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,019;0,01;mm
26.11.2019;15:16:46;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;105;104,994;-0,006;mm
26.11.2019;15:16:46;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;15;14,993;-0,007;mm
26.11.2019;15:16:46;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,027;0,018;mm
26.11.2019;15:16:51;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;120;120,004;0,004;mm
26.11.2019;15:16:51;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;15;14,985;-0,015;mm
26.11.2019;15:16:51;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,023;0,014;mm
26.11.2019;15:16:56;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;135;135,001;0;mm
26.11.2019;15:16:56;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;15;14,992;-0,008;mm
26.11.2019;15:16:56;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,021;0,012;mm
26.11.2019;15:17:04;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;15;14,978;-0,022;mm
26.11.2019;15:17:04;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;30;30,007;0,007;mm
26.11.2019;15:17:04;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,02;0,011;mm
26.11.2019;15:17:09;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;30;29,963;-0,037;mm
26.11.2019;15:17:09;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;30;29,998;-0,002;mm
26.11.2019;15:17:09;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,021;0,012;mm
26.11.2019;15:17:14;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;45;44,987;-0,013;mm
26.11.2019;15:17:14;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;30;29,995;-0,005;mm
26.11.2019;15:17:14;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,027;0,018;mm
26.11.2019;15:17:19;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;60;59,992;-0,008;mm
26.11.2019;15:17:19;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;30;29,995;-0,005;mm
26.11.2019;15:17:19;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,022;0,013;mm
26.11.2019;15:17:23;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;75;74,989;-0,011;mm
26.11.2019;15:17:23;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;30;30,005;0,005;mm
26.11.2019;15:17:23;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,02;0,011;mm
26.11.2019;15:17:28;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;90;89,993;-0,007;mm
26.11.2019;15:17:28;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;30;29,985;-0,015;mm
26.11.2019;15:17:28;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,025;0,016;mm
26.11.2019;15:17:33;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;105;104,992;-0,008;mm
26.11.2019;15:17:33;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;30;29,987;-0,013;mm
26.11.2019;15:17:33;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,021;0,012;mm
26.11.2019;15:17:38;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;120;119,993;-0,007;mm
26.11.2019;15:17:38;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;30;29,984;-0,016;mm
26.11.2019;15:17:38;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,022;0,013;mm
26.11.2019;15:17:43;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;135;134,999;0;mm
26.11.2019;15:17:43;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;30;30,003;0,003;mm
26.11.2019;15:17:43;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,027;0,018;mm
26.11.2019;15:17:51;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;15;14,994;-0,006;mm
26.11.2019;15:17:51;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;45;45,017;0,017;mm
26.11.2019;15:17:51;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,02;0,011;mm
26.11.2019;15:17:56;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;30;29,982;-0,018;mm
26.11.2019;15:17:56;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;45;44,989;-0,011;mm
26.11.2019;15:17:56;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,02;0,011;mm
26.11.2019;15:18:01;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;45;44,982;-0,018;mm
26.11.2019;15:18:01;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;45;45,013;0,013;mm
26.11.2019;15:18:01;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,021;0,012;mm
26.11.2019;15:18:06;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;60;59,976;-0,024;mm
26.11.2019;15:18:06;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;45;44,985;-0,015;mm
26.11.2019;15:18:06;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,018;0,009;mm
26.11.2019;15:18:11;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;75;75,009;0,009;mm
26.11.2019;15:18:11;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;45;45,006;0,006;mm
26.11.2019;15:18:11;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,021;0,012;mm
26.11.2019;15:18:16;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;90;89,992;-0,008;mm
26.11.2019;15:18:16;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;45;45,01;0,01;mm
26.11.2019;15:18:16;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,023;0,014;mm
26.11.2019;15:18:21;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;105;104,992;-0,008;mm
26.11.2019;15:18:21;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;45;45,004;0,004;mm
26.11.2019;15:18:21;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,009;12,028;0,019;mm
26.11.2019;15:18:25;                      REIBEN.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;120;119,992;-0,008;mm
