,12430012063.A1_Axis.Actual_Power,12430012063.Energy_Savings.Active_Power_Spindle1,12430012063.Energy_Savings.Active_Power_X1,12430012063.Energy_Savings.Active_Power_Z1,12430012063.Main_Spindle.Actual_Position_MCS,12430012063.Main_Spindle.Actual_Power,12430012063.Main_Spindle.Actual_Speed_Rate,12430012063.Main_Spindle.MPC_Peak,12430012063.Main_Spindle.MPC_Veff_Total,12430012063.Tool_Control_Center.Axial_Force_Compression,12430012063.Tool_Control_Center.Axial_Force_Tension,12430012063.Tool_Control_Center.Bending_Moment,12430012063.Tool_Control_Center.Symmetry,12430012063.Y1_Axis.Actual_Power,12430012063.Z1_Axis.Actual_Feed_Rate,12430012063.Z1_Axis.Actual_Position_MCS,12430012063.Z1_Axis.Actual_Power,timeStamp,12430012063.X1_Axis.Actual_Feed_Rate,12430012063.X1_Axis.Actual_Position_MCS,12430012063.X1_Axis.Actual_Power,12430012063.Maintenance_Package.Tool_Usage_Main_lubriTOOL,12430012063.Energy_Savings.Active_Power_Y1,12430012063.Main_Spindle.Temperature_Spindle,12430012063.Y1_Axis.Actual_Feed_Rate,12430012063.Y1_Axis.Actual_Position_MCS,12430012063.Y1_Axis.Temperature_Y_Slide,Label
0,6.0,13.945272727272725,110.98,160.08616666666666,183.5376,0.46153846153846156,951.5,1.0,0.75,0.05000000000000001,0.11000000000000001,4.0,0.13538461538461544,1.0,7800.75,-325.74869565217386,17.11111111111111,2019-12-16 10:30:32.157,,,,,,,,,,-
1,6.6,-5.899961538461536,0.0,-372.74957142857147,180.5639285714286,0.5,951.5,1.3333333333333333,0.0,,0.3428571428571429,5.5,0.13153846153846155,0.3333333333333333,164.875,-323.2625925925926,15.384615384615385,2019-12-16 10:30:37.100,1763.5,364.895,6.0,,,,,,,-
2,6.5,-0.7102592592592601,414.823,110.37899999999999,180.03965517241377,0.5,951.5,1.3333333333333333,0.8,,0.48333333333333334,7.0,0.11666666666666667,1.0,-32.875,-323.28,13.409090909090908,2019-12-16 10:30:42.745,23.0,380.33,0.5,,,,,,,-
3,6.5,-11.330499999999999,33.38433333333333,292.9873636363637,172.46310344827583,0.5,951.5,1.4,0.5,,0.6769230769230768,8.0,0.2057142857142857,0.8,219.7,-319.2496296296297,17.27777777777778,2019-12-16 10:30:48.502,1166.5,388.065,7.2,,,,,,,-
4,6.5,-8.59562068965517,412.116,-232.96545454545455,189.70965517241376,0.5,951.4705882352941,1.3333333333333333,0.75,,0.77,7.5,0.17666666666666667,1.0,413.9,-320.0467857142857,21.235294117647058,2019-12-16 10:30:54.300,3966.5,404.845,6.5,,,,,,,-
5,6.5,-12.783125000000004,119.7775,-18.117714285714232,182.13034482758624,0.5,951.5,0.3333333333333333,0.5,,0.8500000000000002,4.0,0.1992307692307692,0.8,166.125,-319.99821428571425,19.083333333333332,2019-12-16 10:31:00.104,4261.0,422.745,1.5,73.59,,,,,,-
6,,-6.848214285714285,0.0,781.702125,178.0578571428571,0.5,951.5,1.25,0.75,0.06999999999999999,0.042857142857142864,0.5,0.15571428571428572,0.3333333333333333,165.125,-323.26370370370375,14.866666666666667,2019-12-16 10:31:05.900,1763.5,439.895,10.0,,,,,,,-
7,,-12.072962962962963,-236.848,572.919,176.64999999999998,0.5,951.5,1.3333333333333333,0.0,0.05,0.05000000000000001,,0.18500000000000005,1.0,-32.375,-323.2837037037037,14.23076923076923,2019-12-16 10:31:11.504,23.0,455.33,0.0,,,,,,,-
8,,-3.967206896551728,0.0,135.13372727272727,181.48275862068965,0.5,951.5,1.75,0.8,0.06249999999999999,0.05000000000000001,1.5,0.14333333333333334,1.0,138.66666666666666,-319.24629629629635,18.4,2019-12-16 10:31:17.298,1166.5,463.065,7.2,,,,,,,-
9,6.8,-16.52996551724138,161.50766666666667,-228.7266363636364,190.58466666666672,0.5,951.5333333333333,1.8,0.75,0.05999999999999999,0.05,,0.12500000000000003,2.0,425.1,-320.0342857142856,22.714285714285715,2019-12-16 10:31:23.133,-12024.666666666666,395.2966666666666,17.0,,41.1015,27.48,1504.6666666666667,-402.80333333333334,23.21,-
10,6.5,-6.637423076923077,112.3335,-23.46883333333339,169.06137931034485,0.5,951.5,1.3333333333333333,0.5,0.06249999999999999,0.05000000000000001,,0.16466666666666668,0.7142857142857143,380.72727272727275,-320.0021428571428,17.105263157894736,2019-12-16 10:31:29.107,4261.0,362.745,1.5,,,27.486666666666665,,,23.21,-
11,6.5,-16.43557142857143,0.0,883.2491428571429,188.9303571428572,0.5384615384615384,951.5,1.0,0.75,0.05000000000000001,0.05,0.5,0.12166666666666666,0.5,52.142857142857146,-323.26370370370375,15.142857142857142,2019-12-16 10:31:34.910,1763.5,379.895,4.571428571428571,,,27.47,,,23.210000000000004,-
12,,-13.03884,-244.292,620.5124,175.9927586206897,0.4666666666666667,951.4,1.6,0.0,0.07,0.05,,0.15384615384615385,0.7142857142857143,-66.0,-323.2829629629629,14.76923076923077,2019-12-16 10:31:40.549,23.0,395.33,0.42857142857142855,73.58,,,,,23.21,-
13,6.5,-7.273137931034484,0.4509999999999981,123.40633333333334,180.8262068965517,0.5,951.4117647058823,1.3333333333333333,0.8,0.06999999999999999,0.05,0.5,0.18785714285714286,0.75,276.1818181818182,-319.2492592592593,22.09090909090909,2019-12-16 10:31:46.384,1166.5,403.065,14.0,,,27.455,,,23.210000000000004,-
14,6.5,-17.85237931034483,407.379,-234.83054545454544,185.66137931034484,0.5,951.5,1.6,0.5,0.05,0.05,0.5,0.14642857142857144,0.8,397.0,-320.0467857142857,24.8,2019-12-16 10:31:52.108,3966.5,419.845,2.6666666666666665,,,27.45,,,23.23,-
