,Unnamed: 0,12430012063.A1_Axis.Actual_Power,12430012063.C1_Axis.Actual_Power,12430012063.Energy_Savings.Active_Power_Spindle1,12430012063.Energy_Savings.Active_Power_X1,12430012063.Energy_Savings.Active_Power_Z1,12430012063.Main_Spindle.Actual_Position_MCS,12430012063.Main_Spindle.Actual_Power,12430012063.Main_Spindle.Actual_Speed_Rate,12430012063.Main_Spindle.MPC_Peak,12430012063.Main_Spindle.MPC_Veff_Total,12430012063.Tool_Control_Center.Axial_Force_Tension,12430012063.Tool_Control_Center.Bending_Moment,12430012063.Tool_Control_Center.Symmetry,12430012063.X1_Axis.Actual_Feed_Rate,12430012063.X1_Axis.Actual_Position_MCS,12430012063.X1_Axis.Actual_Power,12430012063.Y1_Axis.Actual_Power,12430012063.Z1_Axis.Actual_Feed_Rate,12430012063.Z1_Axis.Actual_Position_MCS,12430012063.Z1_Axis.Actual_Power,timeStamp,12430012063.Maintenance_Package.Tool_Usage_Main_lubriTOOL,12430012063.Main_Spindle.Temperature_Spindle,12430012063.Tool_Control_Center.Axial_Force_Compression,12430012063.Y1_Axis.Temperature_Y_Slide,12430012063.Energy_Savings.Active_Power_Y1,12430012063.Y1_Axis.Actual_Feed_Rate,12430012063.Y1_Axis.Actual_Position_MCS,Messschraube,Messtaster,Grenzlehrdorn,Ebene,Bohrung
0,0,3.5,3.6,27.890575757575753,414.14599999999996,967.977,186.2260526315789,0.4736842105263158,635.4,0.6666666666666666,0.5,0.18333333333333332,4.833333333333333,0.5453333333333333,8853.0,359.0,13.0,0.5,2871.090909090909,-297.7725714285715,19.90909090909091,2019-12-09 09:09:22.156,,,,,,,,i.O.,n.i.O.,i.O.,16,1
1,1,3.5,3.5,5.045947368421054,387.7545,643.8261,162.59179487179486,0.5,635.5,1.2,0.8,0.48,5.5,0.5910526315789473,4351.5,368.18,5.166666666666667,0.7142857142857143,-148.57142857142858,-293.29783783783785,19.764705882352946,2019-12-09 09:09:29.134,,,,,,,,n.i.O.,n.i.O.,i.O.,16,2
2,2,3.5,3.5,-7.064368421052631,350.5355,799.4981111111111,186.67615384615377,0.5,635.5,1.3333333333333333,0.8,0.6799999999999999,5.545454545454546,0.6327777777777778,3565.5,381.845,11.0,0.7142857142857143,-86.1111111111111,-293.2848648648647,18.5,2019-12-09 09:09:36.934,73.79,,,,,,,i.O.,n.i.O.,i.O.,16,3
3,3,4.0,3.4,7.569026315789475,81.882,679.0967777777779,173.8387179487179,0.5333333333333333,635.5384615384615,0.3333333333333333,1.25,0.8857142857142859,3.0,0.589375,2073.5,395.885,4.285714285714286,0.7142857142857143,-51.5,-293.7092105263157,14.75,2019-12-09 09:09:44.787,,28.365,,,,,,i.O.,n.i.O.,i.O.,16,4
4,4,,3.5,-4.424897435897437,4.0605,234.6273,190.2617948717949,0.4736842105263158,635.4545454545455,1.4,1.1666666666666667,0.4666666666666667,0.5714285714285714,0.363157894736842,705.5,410.44,6.0,0.75,95.33333333333331,-293.70684210526304,14.277777777777779,2019-12-09 09:09:52.654,,28.362,0.05,,,,,i.O.,n.i.O.,i.O.,16,5
5,5,,3.5,3.947852941176471,0.0,-176.97544444444443,181.91102564102562,0.5555555555555556,635.3846153846154,0.75,1.0,0.05,0.3333333333333333,0.3688235294117647,57.5,425.335,0.75,0.75,53.42105263157895,-293.7084210526315,14.125,2019-12-09 09:10:00.338,,,0.06999999999999999,,,,,i.O.,n.i.O.,i.O.,16,6
6,6,,3.5,-7.374923076923077,-1.3535,-431.3,178.3076923076923,0.4736842105263158,635.4848484848485,1.3333333333333333,0.8,0.05,0.6,0.4161111111111112,0.0,440.33,1.6666666666666667,0.8571428571428571,155.8125,-293.66605263157885,14.111111111111109,2019-12-09 09:10:08.140,,,0.05,,,,,i.O.,n.i.O.,i.O.,16,7
7,7,,3.6666666666666665,1.0653888888888885,-54.8135,-280.27072727272724,174.69846153846154,0.5555555555555556,635.4666666666667,1.0,0.8333333333333334,0.05,0.42857142857142855,0.4570588235294117,140.5,455.32,9.5,0.8,47.58333333333334,-293.62526315789466,13.26086956521739,2019-12-09 09:10:15.935,73.78,28.33,0.05000000000000001,23.73,,,,i.O.,n.i.O.,i.O.,16,8
8,8,,3.4285714285714284,-8.358153846153849,-244.292,-252.25224999999992,180.32410256410256,0.4736842105263158,635.5,1.0,0.5,0.05000000000000001,0.5,0.4211764705882354,939.0,470.16,8.0,0.8,159.64285714285714,-293.6255263157895,15.15,2019-12-09 09:10:23.751,,,0.05,23.730000000000004,,,,i.O.,n.i.O.,i.O.,16,9
9,9,3.8,3.555555555555556,2.191457142857144,1547.4086666666665,-10.512181818181736,182.7205,0.5384615384615384,635.5,1.5,0.3333333333333333,,0.6666666666666666,0.32611111111111113,-12002.333333333336,380.8666666666666,16.285714285714285,2.0,40.0,-293.7334210526316,17.0952380952381,2019-12-09 09:10:31.545,,28.296,0.05000000000000001,23.73181818181819,39.0465,1500.333333333333,-401.5,i.O.,n.i.O.,i.O.,16,10
